county,bank,regulator,id_type,id,assets_b,exam_date,overall,investment_test,service_test,target_county_in_aa,aa_evidence,disclosed_giving_in_target_aa,ask,outcome,note
Cook IL,Lakeside Bank,FDIC,CERT,19573,2.56,2023-12-04,Satisfactory,Low Satisfactory,Low Satisfactory,yes,"PE: 'Lakeside's designated AA includes the entirety of Cook County and DuPage County in Illinois'","32 donations and grants totaling $72,000",10000,TARGET,"cleanest structure in the roster — ONE assessment area, so both component gaps describe Cook directly"
Cook IL,First American Bank,FDIC,CERT,3657,7.07,2024-10-21,Satisfactory,Low Satisfactory,Low Satisfactory,yes,"PE AA table: Multistate MSA AA = 'Cook, DeKalb DuPage, Grundy, Kane, Kendall, McHenry, Will, Lake, and Kenosha'","166 donations and grants totaling $440,000 in the Multistate AA",15000,TARGET,"PE says Investment Test is Low Satisfactory IN THIS AA specifically. Kenosha WI excluded from figures. Also has Miami-Dade and Kankakee AAs — do not merge"
Kings NY,Habib American Bank,FDIC,CERT,25093,2.86,2025-07-14,Satisfactory,Low Satisfactory,NEEDS TO IMPROVE,yes,"PE: NY portion of the NY-NJ AA = 'Bronx, Kings, Nassau, New York, and Queens Counties'","22 donations totaling ~$205,000 in the NY-NJ rated area",15000,TARGET,"strongest documented gap in the roster — Service NTI, not merely Low Sat; NY-NJ carries the most weight; AA giving DECLINED $4.6M to $3.5M. Prior record understated the gap as Low Satisfactory"
Kings NY,Amalgamated Bank,FDIC,CERT,622,8.01,2024-03-25,Satisfactory,High Satisfactory,Low Satisfactory,yes,"PE: 'The New York assessment area consists of six contiguous counties, including Bronx, Kings, New York, Queens, and Westchester Counties ... and Nassau County'","49 grants totaling $369,000 in the NY AA",0,DOWNGRADED,"DEMOTED on reading the PE: the Service Test IS Low Satisfactory institution-wide but is rated HIGH SATISFACTORY in the New York assessment area — the gap lives in California or DC, not Kings. Prior record called Service 'the documented gap' for Kings; that was wrong"
Cook IL,BMO Bank NA,OCC,CHARTER,14583,252.00,2023-12,Outstanding,Outstanding,Outstanding,yes,,,0,NO GAP,largest bank in Illinois; no component gap
Cook IL,Wintrust Bank NA,OCC,CHARTER,25196,9.30,2026-03,Outstanding,Outstanding,Outstanding,yes,,,0,NO GAP,"Wintrust operates ~14 separately-chartered banks in the Chicago area, each with its own PE — only the lead charter was probed"
Cook IL,Beverly Bank & Trust NA,OCC,CHARTER,24466,2.70,2025-04,Outstanding,High Satisfactory,Outstanding,yes,,,0,NO GAP,Chicago south side; no gap
Cook IL,Midland States Bank,FED,RSSD,773247,7.78,2024-07-08,Satisfactory,Low Satisfactory,,no,"PE: the 'Chicago assessment area' is 'DeKalb, Kane, and Kendall counties ... the full Kankakee MSA ... and Grundy and Will counties'","",0,NO TARGET,"NEAR MISS — an assessment area named Chicago that does NOT include Cook County. Cook appears zero times in the PE"
Kings NY,Flagstar Bank NA,OCC,CHARTER,25282,87.10,2024-04,Satisfactory,Outstanding,High Satisfactory,unknown,"0 mentions of Kings in the PE",,0,NO GAP,pre-merger evaluation; no component gap
Kings NY,Ponce Bank NA,OCC,CHARTER,706509,3.30,2025-03,Outstanding,,,yes,,,0,NO GAP,Outstanding overall
Kings NY,Northfield Bank,OCC,CHARTER,718063,5.70,2023-10,Satisfactory,High Satisfactory,High Satisfactory,yes,,,0,NO GAP,"Staten Island; confirms the earlier retraction — Northfield has no Investment gap"
