rank,county,state,unenrolled_persons,method,n_pressured_banks,total_offices,largest_bank,largest_bank_assets_k,largest_bank_regulator,largest_bank_inv,largest_bank_svc,banks
1,Los Angeles,CA,796577,MODELED,10,81,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,2br,inv=Outstanding,svc=Low Satisfactory); Bank of Hope(FDIC,17br,inv=High Satisfactory,svc=Low Satisfactory); Hanmi Bank(FDIC,15br,inv=Low Satisfactory,svc=High Satisfactory); FIRST BANK(FED,15br,inv=-,svc=Low Satisfactory); CTBC Bank Corp. (USA)(FDIC,12br,inv=Substantial Non Complianc,svc=Substantial Non Complianc); Commercial Bank of California(FDIC,3br,inv=Low Satisfactory,svc=High Satisfactory); Habib American Bank(FDIC,2br,inv=Low Satisfactory,svc=Low Satisfactory); PCB Bank(FDIC,9br,inv=Low Satisfactory,svc=High Satisfactory); Shinhan Bank America(FDIC,2br,inv=Low Satisfactory,svc=Low Satisfactory); COMMONWEALTH BUSINESS BANK(FED,4br,inv=Low Satisfactory,svc=Low Satisfactory)"
2,Harris,TX,497207,survey-weighted,14,111,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,7br,inv=-,svc=Low Satisfactory); Bank OZK(FDIC,7br,inv=Outstanding,svc=Low Satisfactory); Prosperity Bank(FDIC,60br,inv=High Satisfactory,svc=Low Satisfactory); SIMMONS BANK(FED,2br,inv=-,svc=Low Satisfactory); Bank of Hope(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory); PLAINSCAPITAL BANK(FED,5br,inv=-,svc=Low Satisfactory); ORIGIN BANK(FED,9br,inv=Low Satisfactory,svc=Low Satisfactory); Hanmi Bank(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory); b1BANK(FDIC,4br,inv=Low Satisfactory,svc=Low Satisfactory); THIRD COAST BANK(FED,3br,inv=Low Satisfactory,svc=Low Satisfactory)"
3,Cook,IL,336202,survey-weighted,8,78,Bank of Hope,18082905,FDIC,High Satisfactory,Low Satisfactory,"Bank of Hope(FDIC,4br,inv=High Satisfactory,svc=Low Satisfactory); Hanmi Bank(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory); First American Bank(FDIC,22br,inv=Low Satisfactory,svc=Low Satisfactory); Parkway Bank and Trust Company(FDIC,16br,inv=Low Satisfactory,svc=Low Satisfactory); Republic Bank of Chicago(FDIC,13br,inv=Low Satisfactory,svc=High Satisfactory); Lakeside Bank(FDIC,8br,inv=Low Satisfactory,svc=Low Satisfactory); Peoples Bank(FDIC,10br,inv=Low Satisfactory,svc=High Satisfactory); First Bank Chicago(FDIC,3br,inv=Low Satisfactory,svc=Outstanding)"
4,Maricopa,AZ,333882,survey-weighted,10,30,Bank of Colorado,7572545,FDIC,Low Satisfactory,High Satisfactory,"Bank of Colorado(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory); First International Bank & Trust(FDIC,4br,inv=Low Satisfactory,svc=Low Satisfactory); Parkway Bank and Trust Company(FDIC,4br,inv=Low Satisfactory,svc=Low Satisfactory); Sunwest Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); Gulf Coast Bank and Trust Company(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); FIRST FIDELITY BANK(FED,6br,inv=Low Satisfactory,svc=Low Satisfactory); Banterra Bank(FDIC,4br,inv=Low Satisfactory,svc=Low Satisfactory); KS StateBank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); FIRST WESTERN BANK AND TRUST(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); Western State Bank(FDIC,6br,inv=Low Satisfactory,svc=High Satisfactory)"
5,Dallas,TX,248444,survey-weighted,25,86,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,2br,inv=-,svc=Low Satisfactory); Bank OZK(FDIC,4br,inv=Outstanding,svc=Low Satisfactory); Prosperity Bank(FDIC,27br,inv=High Satisfactory,svc=Low Satisfactory); SIMMONS BANK(FED,5br,inv=-,svc=Low Satisfactory); CENTENNIAL BANK(FED,1br,inv=-,svc=Low Satisfactory); Bank of Hope(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); NexBank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory); PLAINSCAPITAL BANK(FED,7br,inv=-,svc=Low Satisfactory); ORIGIN BANK(FED,5br,inv=Low Satisfactory,svc=Low Satisfactory); Hanmi Bank(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory)"
6,Kings,NY,205264,survey-weighted,6,27,Apple Bank for Savings,16888361,FDIC,Low Satisfactory,High Satisfactory,"Apple Bank for Savings(FDIC,17br,inv=Low Satisfactory,svc=High Satisfactory); ConnectOne Bank(FDIC,1br,inv=Outstanding,svc=Low Satisfactory); POPULAR BANK(FED,6br,inv=Low Satisfactory,svc=-); Amalgamated Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); CTBC Bank Corp. (USA)(FDIC,1br,inv=Substantial Non Complianc,svc=Substantial Non Complianc); Bankwell Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
7,San Diego,CA,203583,MODELED,4,6,Bank of Hope,18082905,FDIC,High Satisfactory,Low Satisfactory,"Bank of Hope(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); Hanmi Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); FIRST BANK(FED,3br,inv=-,svc=Low Satisfactory); Shinhan Bank America(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
8,Orange,CA,193939,MODELED,9,33,Bank of Hope,18082905,FDIC,High Satisfactory,Low Satisfactory,"Bank of Hope(FDIC,6br,inv=High Satisfactory,svc=Low Satisfactory); Hanmi Bank(FDIC,3br,inv=Low Satisfactory,svc=High Satisfactory); FIRST BANK(FED,8br,inv=-,svc=Low Satisfactory); CTBC Bank Corp. (USA)(FDIC,2br,inv=Substantial Non Complianc,svc=Substantial Non Complianc); Commercial Bank of California(FDIC,3br,inv=Low Satisfactory,svc=High Satisfactory); Sunwest Bank(FDIC,3br,inv=Low Satisfactory,svc=High Satisfactory); PCB Bank(FDIC,4br,inv=Low Satisfactory,svc=High Satisfactory); Shinhan Bank America(FDIC,2br,inv=Low Satisfactory,svc=Low Satisfactory); COMMONWEALTH BUSINESS BANK(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
9,Queens,NY,189984,survey-weighted,11,25,Bank of Hope,18082905,FDIC,High Satisfactory,Low Satisfactory,"Bank of Hope(FDIC,4br,inv=High Satisfactory,svc=Low Satisfactory); Apple Bank for Savings(FDIC,6br,inv=Low Satisfactory,svc=High Satisfactory); ConnectOne Bank(FDIC,3br,inv=Outstanding,svc=Low Satisfactory); POPULAR BANK(FED,4br,inv=Low Satisfactory,svc=-); Hanmi Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); CTBC Bank Corp. (USA)(FDIC,1br,inv=Substantial Non Complianc,svc=Substantial Non Complianc); Habib American Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); PCB Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); The Bank of Princeton(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); Shinhan Bank America(FDIC,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
10,Miami-Dade,FL,189669,survey-weighted,7,74,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,27br,inv=-,svc=Low Satisfactory); Bank OZK(FDIC,5br,inv=Outstanding,svc=Low Satisfactory); CENTENNIAL BANK(FED,3br,inv=-,svc=Low Satisfactory); POPULAR BANK(FED,10br,inv=Low Satisfactory,svc=-); First American Bank(FDIC,6br,inv=Low Satisfactory,svc=Low Satisfactory); Ocean Bank(FDIC,21br,inv=Low Satisfactory,svc=Low Satisfactory); Banco do Brasil Americas(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
