cert,name,city,state,overall,pub_date,assets_k,lending,investment,service,file_id,active,end_date
110,Bank OZK,LITTLE ROCK,AR,Satisfactory,06/01/2026,41606548,Low Satisfactory,Outstanding,Low Satisfactory,2025/110_251201.PDF,1,
16835,Prosperity Bank,EL CAMPO,TX,Satisfactory,11/01/2023,38274790,High Satisfactory,High Satisfactory,Low Satisfactory,2022/16835_220718.PDF,1,
20504,Ameris Bank,ATLANTA,GA,Satisfactory,05/01/2024,23591556,High Satisfactory,High Satisfactory,Low Satisfactory,2022/20504_221031.PDF,1,
3076,Independent Bank,MCKINNEY,TX,Satisfactory,12/01/2023,18252788,High Satisfactory,Low Satisfactory,Low Satisfactory,2023/3076_230424.PDF,0,01/01/2025
26610,Bank of Hope,LOS ANGELES,CA,Satisfactory,01/01/2025,18082905,High Satisfactory,High Satisfactory,Low Satisfactory,2024/26610_240708.PDF,1,
16068,Apple Bank for Savings,NEW YORK,NY,Satisfactory,01/01/2024,16888361,High Satisfactory,Low Satisfactory,High Satisfactory,2023/16068_230622.PDF,1,
57919,ConnectOne Bank,ENGLEWOOD CLIFFS,NJ,Satisfactory,07/01/2026,14013611,Low Satisfactory,Outstanding,Low Satisfactory,2025/57919_251230.PDF,1,
29209,NexBank,DALLAS,TX,Satisfactory,09/01/2025,13943020,Low Satisfactory,High Satisfactory,Low Satisfactory,2025/29209_250331.PDF,1,
31469,Oriental Bank,SAN JUAN,PR,Satisfactory,07/01/2024,9709667,High Satisfactory,Low Satisfactory,Low Satisfactory,2023/31469_230404.PDF,1,
27476,BancFirst,OKLAHOMA CITY,OK,Satisfactory,08/01/2021,9485506,,High Satisfactory,Low Satisfactory,2021/27476_210308.PDF,1,
13421,Union Bank and Trust Company,LINCOLN,NE,Satisfactory,07/01/2025,8799880,High Satisfactory,Low Satisfactory,Outstanding,2025/13421_250127.PDF,1,
622,Amalgamated Bank,NEW YORK,NY,Satisfactory,10/01/2024,8006087,Low Satisfactory,High Satisfactory,Low Satisfactory,2024/622_240325.PDF,1,
609,Tompkins Community Bank,ITHACA,NY,Satisfactory,09/01/2023,7842153,Outstanding,Low Satisfactory,High Satisfactory,2023/609_230417.PDF,1,
5903,BankPlus,BELZONI,MS,Satisfactory,09/01/2025,7790270,High Satisfactory,Outstanding,Low Satisfactory,2024/5903_240603.PDF,1,
4360,Horizon Bank,MICHIGAN CITY,IN,Satisfactory,04/01/2026,7621571,High Satisfactory,Low Satisfactory,High Satisfactory,2025/4360_251006.PDF,1,
