FIRST CITIZENS BANK|186744|MASON CITY|IA|Satisfactory|Jan 26, 2026|Large Bank|1905697|inv4+svc4
FIRST FIDELITY BANK|106359|OKLAHOMA CITY|OK|Satisfactory|Jan 12, 2026|Large Bank|2894984|inv4+svc4
ADIRONDACK TRUST COMPANY THE|645317|SARATOGA SPRINGS|NY|Satisfactory|Jun 30, 2025|Large Bank|1714346|inv4+svc4
AMERISERV FINANCIAL BANK|928618|JOHNSTOWN|PA|Satisfactory|Jun 09, 2025|Large Bank|1426921|inv4+svc4
BANK INDEPENDENT|539032|SHEFFIELD|AL|Satisfactory|Jul 14, 2025|Large Bank|2814773|inv4
CENTRAL TRUST BANK THE|853952|JEFFERSON CITY|MO|Satisfactory|Jun 23, 2025|Large Bank|19551204|inv4
COMMERCIAL BANK|497039|HARROGATE|TN|Satisfactory|Oct 06, 2025|Large Bank|2238247|inv4+inv5+svc4
ENCORE BANK|2594240|LITTLE ROCK|AR|Satisfactory|Oct 20, 2025|Large Bank|3705306|inv4+svc4
FARMERS & MERCHANTS BANK THE|677644|STUTTGART|AR|Satisfactory|Jan 13, 2025|Large Bank|1852126|inv4
FIRST FARMERS AND MERCHANTS BANK|150035|COLUMBIA|TN|Satisfactory|Mar 10, 2025|Large Bank|1763096|inv4+svc4
FIVE POINTS BANK|554857|GRAND ISLAND|NE|Satisfactory|Mar 17, 2025|Large Bank|2008090|inv4
ONE COMMUNITY BANK|247140|OREGON|WI|Satisfactory|Feb 24, 2025|Large Bank|2181049|inv4+svc5
ORIGIN BANK|667757|CHOUDRANT|LA|Satisfactory|Jan 27, 2025|Large Bank|9882221|inv4+svc4
RCB BANK|945053|CLAREMORE|OK|Satisfactory|Sep 08, 2025|Large Bank|3899432|inv4+svc4
TEXAS COMMUNITY BANK|528960|LAREDO|TX|Satisfactory|Nov 17, 2025|Large Bank|2104571|inv4+svc5
TEXAS REGIONAL BANK|380458|HARLINGEN|TX|Satisfactory|Jan 13, 2025|Large Bank|2660302|inv4
AMBOY BANK|9807|OLD BRIDGE|NJ|Satisfactory|Jun 10, 2024|Large Bank|2638667|inv4
BANCFIRST|1386251|OKLAHOMA CITY|OK|Satisfactory|Jul 15, 2024|Large Bank|10648000|inv4
BANK IOWA|187947|WEST DES MOINES|IA|Satisfactory|Sep 09, 2024|Large Bank|2117855|inv4+svc4
BANK OF MARION THE|858528|MARION|VA|Satisfactory|Mar 11, 2024|Large Bank|554162|inv4
BANK OF NEW HAMPSHIRE|265407|LACONIA|NH|Satisfactory|Dec 02, 2024|Large Bank|2583718|inv4
BANK RHODE ISLAND|2434113|PROVIDENCE|RI|Satisfactory|Sep 09, 2024|Large Bank|3378281|inv4
CENTRAL BANK|546544|STORM LAKE|IA|Satisfactory|Jan 22, 2024|Large Bank|2135960|inv4
CHOICEONE BANK|324340|SPARTA|MI|Satisfactory|Oct 21, 2024|Large Bank|2724240|inv4+svc4
COMMONWEALTH BUSINESS BANK|3337097|LOS ANGELES|CA|Satisfactory|Sep 23, 2024|Large Bank|1654826|inv4+svc4
FIRST WESTERN BANK AND TRUST|687951|MINOT|ND|Satisfactory|Sep 23, 2024|Large Bank|2208449|inv4+svc4
MIDLAND STATES BANK|773247|EFFINGHAM|IL|Satisfactory|Jul 08, 2024|Large Bank|7782095|inv4+svc4
ORANGE BANK & TRUST COMPANY|176101|MIDDLETOWN|NY|Satisfactory|Feb 26, 2024|Large Bank|2438041|inv4
PCSB BANK|24006|YORKTOWN HEIGHTS|NY|Satisfactory|Jan 22, 2024|Large Bank|1980866|inv4
TEXAS FIRST BANK|473266|TEXAS CITY|TX|Satisfactory|May 28, 2024|Large Bank|2179880|inv4
THIRD COAST BANK|3630323|HUMBLE|TX|Satisfactory|Aug 12, 2024|Large Bank|4650798|inv4+svc4
BANKFIRST FINANCIAL SERVICES|914648|MACON|MS|Satisfactory|Oct 30, 2023|Large Bank|2666230|inv4
CHEMUNG CANAL TRUST COMPANY|884303|ELMIRA|NY|Satisfactory|Sep 25, 2023|Large Bank|2649923|inv4
CUSTOMERS BANK|2354985|MALVERN|PA|Satisfactory|Apr 10, 2023|Large Bank|20879065|inv4+svc4
EAST CAMBRIDGE SAVINGS BANK|738303|CAMBRIDGE|MA|Satisfactory|Sep 11, 2023|Large Bank|1604208|inv4
EASTHAMPTON SAVINGS BANK|859002|EASTHAMPTON|MA|Satisfactory|Oct 16, 2023|Large Bank|1903686|inv4
FIRST BANK AND TRUST COMPANY THE|223322|LEBANON|VA|Satisfactory|May 01, 2023|Large Bank|3087425|inv4+svc4
FIRST BANK THE|2385514|HATTIESBURG|MS|Satisfactory|Aug 28, 2023|Large Bank|6463617|inv4+svc4
INTERBANK|1187001|OKLAHOMA CITY|OK|Satisfactory|Jul 10, 2023|Large Bank|4193164|inv4+inv5
LAKE CITY BANK|874845|WARSAW|IN|Satisfactory|Apr 10, 2023|Large Bank|6412535|inv4
POPULAR BANK|2736291|NEW YORK|NY|Satisfactory|Mar 06, 2023|Large Bank|11104847|inv4
PRIMIS BANK|3325759|TAPPAHANNOCK|VA|Satisfactory|Nov 27, 2023|Large Bank|3831355|inv4+svc4
BANKNEWPORT|546003|NEWPORT|RI|Satisfactory|Jan 24, 2022|Large Bank|2301356|inv4
FIRST CITIZENS COMMUNITY BANK|978118|MANSFIELD|PA|Satisfactory|Mar 28, 2022|Large Bank|2208830|inv4+inv5
FIRST PREMIER BANK|374653|SIOUX FALLS|SD|Satisfactory|Sep 12, 2022|Large Bank|3503723|inv4
MIDWEST BANKCENTRE|657459|SAINT LOUIS|MO|Outstanding|Feb 22, 2022|Large Bank|2374880|inv4
VANTAGE BANK TEXAS|26765|SAN ANTONIO|TX|Satisfactory|Aug 01, 2022|Large Bank|3276361|inv4+svc4
EQUITY BANK|139656|ANDOVER|KS|Satisfactory|Apr 19, 2021|Large Bank|3862184|inv4+svc4
FIRST FARMERS BANK & TRUST CO.|139843|CONVERSE|IN|Satisfactory|Sep 20, 2021|Large Bank|2298100|inv4
ORRSTOWN BANK|342410|SHIPPENSBURG|PA|Satisfactory|Jan 25, 2021|Large Bank|2780990|inv4+svc4
SMARTBANK|3532641|PIGEON FORGE|TN|Satisfactory|Sep 13, 2021|Large Bank|4606198|inv4+inv5+svc4
BANCO POPULAR DE PUERTO RICO|940311|SAN JUAN|PR|Outstanding|Jan 13, 2020|Large Bank|41627000|inv4
BROOKLINE BANK|782306|BROOKLINE|MA|Satisfactory|Feb 10, 2020|Large Bank|4966140|inv4+svc4
CENTRAL BANK OF THE MIDWEST|704559|LEE'S SUMMIT|MO|Satisfactory|Nov 02, 2020|Large Bank|3577679|inv4
ESSEX BANK|781028|RICHMOND|VA|Satisfactory|Oct 05, 2020|Large Bank|1614861|inv4+svc4
TERRITORIAL SAVINGS BANK|564977|HONOLULU|HI|Satisfactory|Jan 27, 2020|Large Bank|2085473|inv4
AMERICAN BANK|2580243|ALLENTOWN|PA|Satisfactory|Sep 23, 2019|Large Bank|636580|inv4+svc4
FARMERS BANK & TRUST COMPANY|12946|MAGNOLIA|AR|Satisfactory|Jul 08, 2019|Large Bank|1621234|inv4+svc4
HOMETRUST BANK|212577|ASHEVILLE|NC|Satisfactory|Mar 18, 2019|Large Bank|3409271|inv4+svc4
SOUTH SHORE BANK|772008|SOUTH WEYMOUTH|MA|Satisfactory|Oct 07, 2019|Large Bank|1482441|inv4
FIRST STATE BANK|435750|GAINESVILLE|TX|Satisfactory|Jul 24, 2023|Large Bank|1657003|inv5
FVCBANK|3614976|FAIRFAX|VA|Satisfactory|Jul 31, 2023|Large Bank|2338667|inv5
MASCOMA BANK|268006|LEBANON|NH|Outstanding|May 12, 2025|Large Bank|2886966|svc4
REGIONS BANK|233031|BIRMINGHAM|AL|Satisfactory|Mar 03, 2025|Large Bank|151314000|svc4
SIMMONS BANK|663245|PINE BLUFF|AR|Satisfactory|Jul 21, 2025|Large Bank|26749112|svc4
CITIZENS & NORTHERN BANK|895710|WELLSBORO|PA|Satisfactory|Nov 04, 2024|Large Bank|2656955|svc4
CORNERSTONE BANK|403151|YORK|NE|Satisfactory|Mar 25, 2024|Large Bank|2687176|svc4
FIRST BANK|169653|CREVE COEUR|MO|Satisfactory|Jan 29, 2024|Large Bank|6554829|svc4
FIRST COMMUNITY BANK|2353595|BLUEFIELD|VA|Satisfactory|May 13, 2024|Large Bank|3213604|svc4
SANDY SPRING BANK|506922|OLNEY|MD|Satisfactory|May 20, 2024|Large Bank|13883883|svc4
ATLANTIC UNION BANK|693224|RICHMOND|VA|Satisfactory|Oct 16, 2023|Large Bank|20495690|svc4
CENTENNIAL BANK|456045|CONWAY|AR|Satisfactory|Apr 03, 2023|Large Bank|22808174|svc4
CIVISTA BANK|542528|SANDUSKY|OH|Satisfactory|Jun 21, 2022|Large Bank|3006039|svc4
UNIVEST BANK AND TRUST CO.|354310|SOUDERTON|PA|Satisfactory|Dec 05, 2022|Large Bank|6892885|svc4
CAPSTAR BANK|3715444|NASHVILLE|TN|Satisfactory|Mar 22, 2021|Large Bank|2982350|svc4+svc5
INDEPENDENCE BANK OF KENTUCKY|648242|OWENSBORO|KY|Satisfactory|Oct 25, 2021|Large Bank|3062572|svc4
NBH BANK|4210227|GREENWOOD VILLAGE|CO|Satisfactory|Jul 19, 2021|Large Bank|6948775|svc4
PEAPACK-GLADSTONE BANK|236706|BEDMINSTER|NJ|Satisfactory|Jun 07, 2021|Large Bank|5892261|svc4
PLAINSCAPITAL BANK|637451|UNIVERSITY PARK|TX|Satisfactory|May 17, 2021|Large Bank|13674043|svc4
SYNOVUS BANK|395238|COLUMBUS|GA|Satisfactory|Jan 25, 2021|Large Bank|48103435|svc4
CUSTOMERS BANK|2354985|PHOENIXVILLE|PA|Satisfactory|Nov 02, 2020|Large Bank|17892526|svc4
NEEDHAM BANK|339773|NEEDHAM|MA|Satisfactory|Mar 19, 2020|Large Bank|2345536|svc4
