bank_key,bank,state,aa_land_sq_mi,min_circles_that_fit,verdict,counties_missing_from_gazetteer
habib_american_bank,Habib American Bank,NY,527,0.7,FATAL — one 15-mi circle already overflows the whole AA,
lakeside_bank,Lakeside Bank,IL,1273,1.8,TIGHT — heavy spill outside the AA,
ocean_bank,Ocean Bank,FL,1900,2.7,TIGHT — heavy spill outside the AA,
busey_bank,Busey Bank,IL,2527,3.6,WORKABLE — a few circles tile it with modest spill,
bank_of_marin,Bank of Marin,CA,2894,4.1,WORKABLE — a few circles tile it with modest spill,
banco_do_brasil_americas,Banco do Brasil Americas,FL,3103,4.4,WORKABLE — a few circles tile it with modest spill,
third_coast_bank,Third Coast Bank,TX,4112,5.8,WORKABLE — a few circles tile it with modest spill,
bank_irvine,Bank Irvine,CA,4853,6.9,WORKABLE — a few circles tile it with modest spill,
hanmi_bank,Hanmi Bank,CA,4853,6.9,WORKABLE — a few circles tile it with modest spill,
mega_bank,Mega Bank,CA,4853,6.9,WORKABLE — a few circles tile it with modest spill,
first_american_bank,First American Bank,IL,5045,7.1,WORKABLE — a few circles tile it with modest spill,
helm_bank,Helm Bank USA,FL,5067,7.2,WORKABLE — a few circles tile it with modest spill,
five_star_bank,Five Star Bank,CA,6328,9.0,WORKABLE — a few circles tile it with modest spill,
texas_first_bank,Texas First Bank,TX,7109,10.1,AMPLE — radius floor is not a constraint,
western_alliance,Western Alliance Bank,AZ,14569,20.6,AMPLE — radius floor is not a constraint,
american_business_bank,American Business Bank,CA,32131,45.5,AMPLE — radius floor is not a constraint,
city_national,City National Bank,CA,33971,48.1,AMPLE — radius floor is not a constraint,
