read_order,tier,bank,regulator,counties,branches,exposure,svc_gap,inv_gap,svc_known,top_county
1,1,Prosperity Bank,FDIC,97,406,48579651,True,False,True,Harris
2,1,REGIONS BANK,FED,226,597,25488177,True,False,True,Miami-Dade
3,1,Bank of Hope,FDIC,21,78,20856033,True,False,True,Los Angeles
4,1,FIRST BANK,FED,20,76,17010383,True,False,True,Los Angeles
5,1,Bank OZK,FDIC,110,271,16056545,True,False,True,Harris
6,1,CTBC Bank Corp. (USA),FDIC,7,20,10601206,True,True,True,Los Angeles
7,1,First American Bank,FDIC,16,76,9975055,True,True,True,Cook
8,1,CENTENNIAL BANK,FED,91,243,9326137,True,False,True,Broward
9,1,SIMMONS BANK,FED,96,229,9312985,True,False,True,Tarrant
10,1,PLAINSCAPITAL BANK,FED,15,57,7795354,True,False,True,Harris
11,1,ORIGIN BANK,FED,24,59,7005691,True,True,True,Harris
12,1,Parkway Bank and Trust Company,FDIC,5,27,6951148,True,True,True,Cook
13,1,International Bank of Commerce,FDIC,19,81,5306239,True,False,True,Hidalgo
14,1,Ameris Bank,FDIC,74,177,5183508,True,False,True,Fulton
15,1,Peoples Bank,FDIC,16,63,4615920,True,True,True,Cook
16,1,Ocean Bank,FDIC,4,25,4533083,True,True,True,Miami-Dade
17,1,COMMONWEALTH BUSINESS BANK,FED,3,9,3765964,True,True,True,Los Angeles
18,1,BROOKLINE BANK,FED,26,133,3614469,True,True,True,Middlesex
19,1,ConnectOne Bank,FDIC,15,57,3600939,True,False,True,Suffolk
20,1,FIRST FIDELITY BANK,FED,6,27,3060167,True,True,True,Maricopa
21,1,b1BANK,FDIC,30,59,3028908,True,True,True,Harris
22,1,Shinhan Bank America,FDIC,7,11,2805009,True,True,True,Los Angeles
23,1,Lakeside Bank,FDIC,2,11,2797988,True,True,True,Cook
24,1,THIRD COAST BANK,FED,14,22,2556144,True,True,True,Harris
25,1,UNIVEST BANK AND TRUST CO.,FED,15,51,2393589,True,False,True,Philadelphia
26,1,German American Bank,FDIC,41,96,2389405,True,True,True,Franklin
27,1,NBH BANK,FED,54,90,2312372,True,False,True,Tarrant
28,1,Great Southern Bank,FDIC,45,107,2295594,True,False,True,St. Louis
29,1,Habib American Bank,FDIC,5,6,1997642,True,True,True,Los Angeles
30,1,Union Savings Bank,FDIC,18,39,1994908,True,False,True,Franklin
31,1,Heritage Bank,FDIC,20,68,1898076,True,False,True,King
32,1,Gulf Coast Bank and Trust Company,FDIC,18,38,1639640,True,True,True,Maricopa
33,1,Banterra Bank,FDIC,21,43,1607269,True,True,True,Maricopa
34,1,The Bank of Princeton,FDIC,13,36,1545349,True,False,True,Philadelphia
35,1,The Fidelity Bank,FDIC,30,57,1496811,True,True,True,Wake
36,1,First International Bank & Trust,FDIC,17,28,1495515,True,True,True,Maricopa
37,1,American Momentum Bank,FDIC,18,30,1270326,True,False,True,Hillsborough
38,1,RCB BANK,FED,21,62,1150647,True,True,True,Oklahoma
39,1,Firstrust Savings Bank,FDIC,6,18,1120100,True,True,True,Philadelphia
40,1,BankPlus,FDIC,35,74,1113841,True,False,True,Hinds
41,1,Bank of Marin,FDIC,9,29,1083080,True,True,True,Sacramento
42,1,CHOICEONE BANK,FED,14,50,1048627,True,True,True,Genesee
43,1,First Community Bank,FDIC,27,58,1044346,True,True,True,Richland
44,1,ORRSTOWN BANK,FED,11,43,1006351,True,True,True,York
45,1,MIDLAND STATES BANK,FED,23,60,991629,True,True,True,St. Louis
46,1,"North Shore Bank, a Co-operative Bank",FDIC,6,30,975764,True,True,True,Essex
47,1,Northern Bank & Trust Company,FDIC,1,14,904708,True,False,True,Middlesex
48,1,EQUITY BANK,FED,48,83,883878,True,True,True,Jackson
49,1,ENCORE BANK,FED,14,16,881877,True,True,True,Bexar
50,1,SMARTBANK,FED,26,43,822713,True,True,True,Knox
51,1,Macatawa Bank,FDIC,3,28,809700,True,False,True,Kent
52,1,City Bank,FDIC,15,28,787460,True,True,True,Lubbock
53,1,TEXAS COMMUNITY BANK,FED,5,10,782411,True,True,True,Bexar
54,1,HOMETRUST BANK,FED,19,33,775820,True,True,True,Mecklenburg
55,1,"WaterStone Bank, SSB",FDIC,3,16,762401,True,False,True,Milwaukee
56,1,The Village Bank,FDIC,1,11,710842,True,True,True,Middlesex
57,1,NEEDHAM BANK,FED,6,21,676560,True,False,True,Norfolk
58,1,1st Security Bank of Washington,FDIC,13,31,674755,True,False,True,King
59,1,Banco do Brasil Americas,FDIC,3,4,656540,True,False,True,Miami-Dade
60,1,Southern Bank and Trust Company,FDIC,30,57,650970,True,False,True,Pitt
61,1,CIVISTA BANK,FED,18,42,629762,True,False,True,Franklin
62,1,Lake Ridge Bank,FDIC,4,20,621473,True,False,True,Dane
63,1,Amalgamated Bank,FDIC,5,6,613414,True,False,True,New York
64,1,UniBank for Savings,FDIC,2,15,569210,True,False,True,Worcester
65,1,Exchange Bank,FDIC,4,21,556305,True,True,True,Sonoma
66,1,Five Star Bank,FDIC,8,10,549840,True,False,True,Sacramento
67,1,Falcon International Bank,FDIC,7,16,522543,True,False,True,Hidalgo
68,1,Penn Community Bank,FDIC,3,22,518584,True,False,True,Bucks
69,1,Armstrong Bank,FDIC,15,29,509414,True,False,True,Tulsa
70,1,COMMERCIAL BANK,FED,17,40,508147,True,True,True,Knox
71,1,FIRST WESTERN BANK AND TRUST,FED,9,20,505618,True,True,True,Maricopa
72,1,Avidia Bank,FDIC,2,10,503320,True,True,True,Middlesex
73,1,NexBank,FDIC,1,2,496888,True,False,True,Dallas
74,1,Institution for Savings in Newburyport and Its Vicinity,FDIC,1,13,493207,True,False,True,Essex
75,1,Timberland Bank,FDIC,6,24,467310,True,False,True,Pierce
76,1,Morton Community Bank,FDIC,17,49,424096,True,False,True,Peoria
77,1,ACNB Bank,FDIC,7,33,421148,True,True,True,York
78,1,PEAPACK-GLADSTONE BANK,FED,6,19,409957,True,False,True,Morris
79,1,Country Bank for Savings,FDIC,3,15,400727,True,False,True,Worcester
80,1,Cache Valley Bank,FDIC,12,25,395577,True,False,True,Washington
81,1,West Coast Community Bank,FDIC,4,11,392846,True,False,True,Santa Clara
82,1,ONE COMMUNITY BANK,FED,6,20,383553,True,True,True,Dane
83,1,Parke Bank,FDIC,5,8,377064,True,True,True,Philadelphia
84,1,Bank of Tennessee,FDIC,10,25,376928,True,True,True,Washington
85,1,Meridian Bank,FDIC,6,7,357807,True,True,True,Philadelphia
86,1,First Guaranty Bank,FDIC,16,28,347859,True,True,True,Tangipahoa Parish
87,1,FIRST COMMUNITY BANK,FED,36,67,326917,True,False,True,Surry
88,1,Wayne Bank,FDIC,12,33,318428,True,False,True,Lancaster
89,1,"South Central Bank,  Inc.",FDIC,13,27,295649,True,True,True,Jefferson
90,1,FIRST FARMERS AND MERCHANTS BANK,FED,8,23,293816,True,True,True,Davidson
91,1,PRIMIS BANK,FED,19,28,286540,True,True,True,Prince George's
92,1,First Keystone Community Bank,FDIC,5,19,284262,True,True,True,Luzerne
