cert,name,state,assets_k,investment,service,severity,decision,why,best_county,best_rank,branches_there,pe_finding,outcome
110,Bank OZK,Arkansas,41606548,Outstanding,Low Satisfactory,one,OUT — TOKEN PRESENCE,2br in #1 Los Angeles,Los Angeles,1,2,,
16835,Prosperity Bank,Texas,38274790,High Satisfactory,Low Satisfactory,one,DEFER — SINGLE GAP,"#2 Harris, 60br",Harris,2,60,,
20504,Ameris Bank,Georgia,23591556,High Satisfactory,Low Satisfactory,one,OUT — TOKEN PRESENCE,2br in #24 Orange,Orange,24,2,,
3076,Independent Bank,Texas,18252788,Low Satisfactory,Low Satisfactory,both,DEAD,closed institution,,,,,
26610,Bank of Hope,California,18082905,High Satisfactory,Low Satisfactory,one,DEFER — SINGLE GAP,"#1 Los Angeles, 17br",Los Angeles,1,17,,
16068,Apple Bank,New York,16888361,Low Satisfactory,High Satisfactory,one,DEFER — SINGLE GAP,"#6 Kings, 17br",Kings,6,17,,
57919,ConnectOne Bank,New Jersey,14013611,Outstanding,Low Satisfactory,one,OUT — TOKEN PRESENCE,1br in #6 Kings,Kings,6,1,,
29209,NexBank,Texas,13943020,High Satisfactory,Low Satisfactory,one,OUT — TOKEN PRESENCE,2br in #5 Dallas,Dallas,5,2,,
31469,Oriental Bank,Puerto Rico,9709667,Low Satisfactory,Low Satisfactory,both,OUT — NO RANKED COUNTY,footprint touches no county in the need index,,,,,
27476,BancFirst,Oklahoma,9485506,High Satisfactory,Low Satisfactory,one,DEFER — SINGLE GAP,"#49 Oklahoma, 22br",Oklahoma,49,22,,
13421,Union Bank and Trust Company,Nebraska,8799880,Low Satisfactory,Outstanding,one,OUT — LOW NEED,best county ranks #132,Douglas,132,2,,
622,Amalgamated Bank,New York,8006087,High Satisfactory,Low Satisfactory,one,OUT — TOKEN PRESENCE,1br in #6 Kings,Kings,6,1,,
609,Tompkins Bank & Trust,New York,7842153,Low Satisfactory,High Satisfactory,one,OUT — TOKEN PRESENCE,1br in #18 Philadelphia,Philadelphia,18,1,,
5903,BankPlus,Mississippi,7790270,Outstanding,Low Satisfactory,one,OUT — LOW NEED,best county ranks #128,Mobile,128,2,,
