cert,name,holding_co,regulator,state,assets_k,offices,investment,service,active,website,cra_page_try,hq,cra_email,main_phone,source_page,harvest_status
31469,Oriental Bank,OFG BCORP,FDIC,Puerto Rico,9709667,45,Low Satisfactory,Low Satisfactory,1,http://www.orientalbank.com,https://orientalbank.com/cra,"254 Munoz Rivera, San Juan Puerto Rico 00918",,,,URLError
622,Amalgamated Bank,WORKERS UNITED,FDIC,New York,8006087,6,High Satisfactory,Low Satisfactory,1,http://AMALGAMATEDBANK.COM,https://AMALGAMATEDBANK.COM/cra,"275 7th Ave, New York New York 10001",,(800) 662-0860,https://AMALGAMATEDBANK.COM,HTTPError
27476,BancFirst,BANCFIRST CORP,FDIC+FED,Oklahoma,9485506,119,High Satisfactory,Low Satisfactory,1,www.bancfirst.bank,https://bancfirst.bank/cra,"100 N Broadway Ave, Oklahoma City Oklahoma 73102",,(405) 372-3059,https://www.bancfirst.bank,HTTPError
13421,Union Bank and Trust Company,FARMERS&MERCHANTS INV INC,FDIC,Nebraska,8799880,37,Low Satisfactory,Outstanding,1,www.ubt.com,https://ubt.com/cra,"3643 S 48th St, Lincoln Nebraska 68506",,(800) 297-2837,https://www.ubt.com,HTTPError
16835,Prosperity Bank,PROSPERITY BANCSHARES INC,FDIC,Texas,38274790,406,High Satisfactory,Low Satisfactory,1,www.prosperitybankusa.com,https://prosperitybankusa.com/cra,"1301 N Mechanic St, El Campo Texas 77437",,,,HTTPError
26610,Bank of Hope,HOPE BCORP INC,FDIC,California,18082905,78,High Satisfactory,Low Satisfactory,1,www.bankofhope.com,https://bankofhope.com/cra,"3200 Wilshire Blvd, Los Angeles California 90010",,(855) 325-2226,https://www.bankofhope.com,HTTPError
24170,Hanmi Bank,HANMI FINANCIAL CORP,FDIC,California,7407990,34,Low Satisfactory,High Satisfactory,1,www.hanmi.com,https://hanmi.com/cra,"3660 Wilshire Blvd Ste Ph-A, Los Angeles California 90010",,(855) 773-8778,https://www.hanmi.com,ok
34697,WEX Bank,,FDIC,Utah,7597943,1,Low Satisfactory,Low Satisfactory,1,www.wexinc.com,https://wexinc.com/cra,"111 E Sego Lily Dr, Sandy Utah 84070",,(842) 672-1226,https://www.wexinc.com,HTTPError
29012,Heritage Bank,HERITAGE FINANCIAL CORP,FDIC,Washington,7233406,68,High Satisfactory,Low Satisfactory,1,www.heritagebanknw.com,https://heritagebanknw.com/cra,"201 5th Ave Sw, Olympia Washington 98501",,(800) 455-6126,https://www.heritagebanknw.com,HTTPError
16980,Bank of Colorado,PINNACLE BCORP INC,FDIC,Colorado,7572545,60,Low Satisfactory,High Satisfactory,1,www.bankofcolorado.com,https://bankofcolorado.com/cra,"1609 E Harmony Rd, Fort Collins Colorado 80525",,,,HTTPError
