county,state,cert,name,regulator,charter,rssd,assets_b,offices,pressure_flag
Fresno,CA,628,"JPMorgan Chase Bank, National Association",OCC,8,852218,4016.57,11,
Fresno,CA,3510,"Bank of America, National Association",OCC,13044,480228,2672.19,13,
Fresno,CA,7213,"Citibank, National Association",OCC,1461,476810,1933.62,8,
Fresno,CA,3511,"Wells Fargo Bank, National Association",OCC,1,451965,1852.24,11,
Fresno,CA,6548,U.S. Bank National Association,OCC,24,504713,683.38,9,
Fresno,CA,6384,"PNC Bank, National Association",OCC,1316,817824,567.95,2,
Fresno,CA,6672,"Fifth Third Bank, National Association",OCC,25190,723112,296.12,1,
Fresno,CA,16571,BMO Bank National Association,OCC,14583,75633,251.96,7,
Fresno,CA,2270,"Zions Bancorporation, N.A.",OCC,4341,276579,87.96,2,
Fresno,CA,8273,"UMB Bank, National Association",OCC,23920,936855,72.35,1,
Fresno,CA,24045,Banc of California,FED,0,494261,34.64,1,
Fresno,CA,1768,Mechanics Bank,FDIC,0,936462,21.4,2,
Fresno,CA,21716,"Citizens Business Bank, National Association",OCC,25382,933966,15.51,2,
Fresno,CA,21943,Tri Counties Bank,FDIC,0,100562,9.95,1,
Kern,CA,628,"JPMorgan Chase Bank, National Association",OCC,8,852218,4016.57,10,
Kern,CA,3510,"Bank of America, National Association",OCC,13044,480228,2672.19,9,
Kern,CA,7213,"Citibank, National Association",OCC,1461,476810,1933.62,2,
Kern,CA,3511,"Wells Fargo Bank, National Association",OCC,1,451965,1852.24,10,
Kern,CA,6548,U.S. Bank National Association,OCC,24,504713,683.38,7,
Kern,CA,16571,BMO Bank National Association,OCC,14583,75633,251.96,2,
Kern,CA,2270,"Zions Bancorporation, N.A.",OCC,4341,276579,87.96,1,
Kern,CA,24045,Banc of California,FED,0,494261,34.64,1,
Kern,CA,1768,Mechanics Bank,FDIC,0,936462,21.4,4,
Kern,CA,21716,"Citizens Business Bank, National Association",OCC,25382,933966,15.51,4,
Kern,CA,21943,Tri Counties Bank,FDIC,0,100562,9.95,4,
Kern,CA,3430,Westamerica Bank,FED,0,697763,5.83,3,
Kern,CA,22597,Bank of the Sierra,FDIC,0,662369,3.75,7,
Kern,CA,23030,Community West Bank,FDIC,0,703767,3.7,3,
Pima,AZ,628,"JPMorgan Chase Bank, National Association",OCC,8,852218,4016.57,31,
Pima,AZ,3510,"Bank of America, National Association",OCC,13044,480228,2672.19,19,
Pima,AZ,3511,"Wells Fargo Bank, National Association",OCC,1,451965,1852.24,25,
Pima,AZ,6548,U.S. Bank National Association,OCC,24,504713,683.38,6,
Pima,AZ,6384,"PNC Bank, National Association",OCC,1316,817824,567.95,11,
Pima,AZ,16571,BMO Bank National Association,OCC,14583,75633,251.96,10,
Pima,AZ,11063,First-Citizens Bank & Trust Company,FDIC,0,491224,235.52,1,
Pima,AZ,913,The Northern Trust Company,FED,0,210434,173.84,1,
Pima,AZ,57512,Western Alliance Bank,FED,0,3138146,98.77,2,
Pima,AZ,2270,"Zions Bancorporation, N.A.",OCC,4341,276579,87.96,7,
Pima,AZ,17266,Columbia Bank,FDIC,0,143662,66.01,2,
Pima,AZ,30788,Glacier Bank,FDIC,0,2634191,31.72,1,
Pima,AZ,28088,WaFd Bank,FDIC,0,656377,27.55,7,
Pima,AZ,16450,Busey Bank,FED,0,416245,18.01,1,
St. Louis,MO,628,"JPMorgan Chase Bank, National Association",OCC,8,852218,4016.57,16,
St. Louis,MO,3510,"Bank of America, National Association",OCC,13044,480228,2672.19,19,
St. Louis,MO,6548,U.S. Bank National Association,OCC,24,504713,683.38,31,
St. Louis,MO,6384,"PNC Bank, National Association",OCC,1316,817824,567.95,14,
St. Louis,MO,6560,The Huntington National Bank,OCC,7745,12311,284.14,1,
St. Louis,MO,16571,BMO Bank National Association,OCC,14583,75633,251.96,7,
St. Louis,MO,913,The Northern Trust Company,FED,0,210434,173.84,1,
St. Louis,MO,12368,Regions Bank,FED,0,233031,159.43,22,PRESSURED
St. Louis,MO,8273,"UMB Bank, National Association",OCC,23920,936855,72.35,7,
St. Louis,MO,33306,CIBC Bank USA,FED,0,1842065,65.13,1,
St. Louis,MO,5296,"Associated Bank, National Association",OCC,23695,917742,45.54,1,
St. Louis,MO,24998,Commerce Bank,FED,0,601050,35.54,22,
St. Louis,MO,3890,Simmons Bank,FED,0,663245,24.65,13,PRESSURED
St. Louis,MO,12633,The Central Trust Bank,FED,0,853952,20.47,10,PRESSURED
Clark,NV,628,"JPMorgan Chase Bank, National Association",OCC,8,852218,4016.57,42,
Clark,NV,3510,"Bank of America, National Association",OCC,13044,480228,2672.19,39,
Clark,NV,7213,"Citibank, National Association",OCC,1461,476810,1933.62,8,
Clark,NV,3511,"Wells Fargo Bank, National Association",OCC,1,451965,1852.24,60,
Clark,NV,6548,U.S. Bank National Association,OCC,24,504713,683.38,29,
Clark,NV,16571,BMO Bank National Association,OCC,14583,75633,251.96,4,
Clark,NV,11063,First-Citizens Bank & Trust Company,FDIC,0,491224,235.52,3,
Clark,NV,913,The Northern Trust Company,FED,0,210434,173.84,1,
Clark,NV,17281,City National Bank,OCC,14695,63069,99.95,4,
Clark,NV,57512,Western Alliance Bank,FED,0,3138146,98.77,10,
Clark,NV,2270,"Zions Bancorporation, N.A.",OCC,4341,276579,87.96,25,
Clark,NV,31628,East West Bank,FED,0,197478,82.47,1,
Clark,NV,17266,Columbia Bank,FDIC,0,143662,66.01,3,
Clark,NV,4063,MidFirst Bank,OCC,714191,595270,42.11,1,
