state,county,unenrolled_hh,non_enroll_rate,banks,tier_a,pool_potential,bank_detail
TX,Harris,205366,0.641,2,1,12500,"Pearland State Bank (A, $2,500) | International Bank of Commerce (B, $10,000)"
AZ,Maricopa,154213,0.718,1,1,2500,"Zenith Bank & Trust (A, $2,500)"
TX,Dallas,100768,0.692,2,1,5000,"Oakwood Bank (A, $5,000) | Texas Capital Bank (C, $10,000)"
NY,Kings,93632,0.429,3,2,45000,"Apple Bank (A, $15,000) | The Berkshire Bank (A, $10,000) | Northfield Bank (B, $20,000)"
FL,Miami-Dade,90893,0.509,3,2,40000,"Banco do Brasil Americas (A, $10,000) | Helm Bank USA (A, $5,000) | Ocean Bank (B, $25,000)"
NY,Queens,84573,0.557,1,1,15000,"Apple Bank (A, $15,000)"
FL,Broward,84038,0.695,3,2,40000,"Banco do Brasil Americas (A, $10,000) | Helm Bank USA (A, $5,000) | Ocean Bank (B, $25,000)"
TX,Bexar,80878,0.613,1,0,10000,"International Bank of Commerce (B, $10,000)"
PA,Philadelphia,72336,0.443,2,0,25000,"First National Bank of Pennsylvania (B, $25,000) | ESSA Bank & Trust (C, $7,500)"
TX,Tarrant,72199,0.692,1,0,0,"Texas Exchange Bank (C, $5,000)"
NY,New York,69164,0.502,2,2,25000,"Apple Bank (A, $15,000) | The Berkshire Bank (A, $10,000)"
FL,Palm Beach,57482,0.720,1,1,5000,"Helm Bank USA (A, $5,000)"
NY,Bronx,55727,0.309,1,1,15000,"Apple Bank (A, $15,000)"
FL,Orange,51257,0.635,3,2,40000,"Banco do Brasil Americas (A, $10,000) | Helm Bank USA (A, $5,000) | Ocean Bank (B, $25,000)"
PA,Allegheny,44346,0.559,1,0,25000,"First National Bank of Pennsylvania (B, $25,000)"
TN,Davidson,33602,0.761,2,1,12500,"Sonata Bank (A, $2,500) | FirstBank Nashville (B, $10,000)"
NJ,Essex,30617,0.543,1,0,0,"Provident Bank (C, $20,000)"
NJ,Hudson,22957,0.462,1,0,0,"Provident Bank (C, $20,000)"
TX,Lubbock,18379,0.710,1,1,10000,"City Bank (A, $10,000)"
NY,Richmond,17962,0.619,1,0,20000,"Northfield Bank (B, $20,000)"
FL,Alachua,17626,0.737,1,0,0,"First Federal Bank FL (C, $5,000)"
FL,Osceola,13897,0.679,2,2,15000,"Banco do Brasil Americas (A, $10,000) | Helm Bank USA (A, $5,000)"
FL,Seminole,13531,0.659,1,1,5000,"Helm Bank USA (A, $5,000)"
TX,Brazoria,11340,0.713,1,1,2500,"Pearland State Bank (A, $2,500)"
TX,Webb,11012,0.500,1,0,10000,"International Bank of Commerce (B, $10,000)"
PA,Monroe,5438,0.670,1,0,0,"ESSA Bank & Trust (C, $7,500)"
FL,Columbia,2969,0.611,1,0,0,"First Federal Bank FL (C, $5,000)"
CA,Los Angeles,,,4,2,130000,"City National Bank (A, $75,000) | Mega Bank (A, $5,000) | American Business Bank (B, $25,000) | Hanmi Bank (B, $25,000)"
CA,Orange,,,3,1,55000,"Bank Irvine (A, $5,000) | American Business Bank (B, $25,000) | Hanmi Bank (B, $25,000)"
CA,San Francisco,,,2,0,35000,"Bank of Marin (B, $10,000) | Hanmi Bank (B, $25,000)"
CA,San Diego,,,1,0,25000,"Hanmi Bank (B, $25,000)"
CA,Santa Clara,,,1,0,25000,"Hanmi Bank (B, $25,000)"
CA,San Bernardino,,,1,0,25000,"American Business Bank (B, $25,000)"
CA,Riverside,,,1,0,25000,"American Business Bank (B, $25,000)"
CA,Sacramento,,,1,0,25000,"Five Star Bank (B, $25,000)"
CA,Placer,,,1,0,25000,"Five Star Bank (B, $25,000)"
CA,El Dorado,,,1,0,25000,"Five Star Bank (B, $25,000)"
CA,Yolo,,,1,0,25000,"Five Star Bank (B, $25,000)"
CA,Marin,,,1,0,10000,"Bank of Marin (B, $10,000)"
CA,Napa,,,1,0,10000,"Bank of Marin (B, $10,000)"
CA,Sonoma,,,1,0,10000,"Bank of Marin (B, $10,000)"
