cert,name,state,city,method,pe_date,overall,assets_k,inv,svc,file_id,svc_gap,in_old_universe
9846,Truist Bank,NC,CHARLOTTE,Large Bank Evaluation,01/01/2025,Outstanding,546228000.0,Outstanding,Outstanding,2023/9846_230410.PDF,False,False
59017,First Republic Bank,CA,SAN FRANCISCO,Large Bank Evaluation,04/01/2022,Satisfactory,172570503.0,High Satisfactory,Outstanding,2021/59017_210726.PDF,False,False
57053,Signature Bank,NY,NEW YORK,Large Bank Evaluation,10/01/2022,Satisfactory,115966803.0,Substantial Non Complianc,Substantial Non Complianc,2022/57053_220321.PDF,True,False
57565,UBS Bank USA,UT,SALT LAKE CITY,Strategic Plan Evaluation,07/01/2024,Outstanding,114351610.0,,,2024/57565_240108.PDF,False,False
5649,Discover Bank,DE,GREENWOOD,Strategic Plan Evaluation,10/01/2022,Satisfactory,113025156.0,,,2022/PPE5649-000000013.PDF,False,False
11063,First-Citizens Bank & Trust Company,NC,RALEIGH,Large Bank Evaluation,08/01/2023,Satisfactory,107542088.0,High Satisfactory,High Satisfactory,2022/11063_220719.PDF,False,False
3514,Bank of the West,CA,SAN FRANCISCO,Large Bank Evaluation,05/01/2021,Outstanding,96057998.0,Outstanding,Outstanding,2020/3514_200921.PDF,False,False
16022,New York Community Bank,NY,HICKSVILLE,Large Bank Evaluation,05/01/2021,Satisfactory,56282514.0,High Satisfactory,High Satisfactory,2020/16022_200924.PDF,False,False
17266,Umpqua Bank,OR,ROSEBURG,Large Bank Evaluation,07/01/2024,Satisfactory,51974259.0,Outstanding,High Satisfactory,2023/17266_231218.PDF,False,False
11813,Cadence Bank,MS,TUPELO,Large Bank Evaluation,08/01/2023,Outstanding,47753105.0,Outstanding,Outstanding,2022/11813_220815.PDF,False,False
33306,CIBC Bank USA,IL,CHICAGO,Large Bank Evaluation,02/01/2022,Outstanding,45859037.0,Outstanding,Outstanding,2021/33306_210823.PDF,False,False
57203,Barclays Bank Delaware,DE,WILMINGTON,Strategic Plan Evaluation,02/01/2026,Outstanding,44013000.0,,,2025/57203_251020.PDF,False,False
35583,Pinnacle Bank,TN,NASHVILLE,Large Bank Evaluation,01/01/2024,Satisfactory,41842515.0,Outstanding,High Satisfactory,2023/35583_230510.PDF,False,False
110,Bank OZK,AR,LITTLE ROCK,Large Bank Evaluation,06/01/2026,Satisfactory,41606548.0,Outstanding,Low Satisfactory,2025/110_251201.PDF,True,True
16835,Prosperity Bank,TX,EL CAMPO,Large Bank Evaluation,11/01/2023,Satisfactory,38274790.0,High Satisfactory,Low Satisfactory,2022/16835_220718.PDF,True,True
12441,Hancock Whitney Bank,MS,GULFPORT,Large Bank Evaluation,07/01/2025,Outstanding,35392436.0,Outstanding,Outstanding,2024/12441_241007.PDF,False,False
24045,Pacific Western Bank,CA,BEVERLY HILLS,Large Bank Evaluation,07/01/2021,Outstanding,29454911.0,Outstanding,Outstanding,2021/24045_210125.PDF,False,False
30788,Glacier Bank,MT,KALISPELL,Large Bank Evaluation,03/01/2026,Satisfactory,28986503.0,High Satisfactory,High Satisfactory,2025/30788_250819.PDF,False,False
34383,Texas Capital Bank,TX,DALLAS,Large Bank Evaluation,02/01/2024,Satisfactory,28591507.0,High Satisfactory,Outstanding,2023/34383_230724.PDF,False,False
58177,Sallie Mae Bank,UT,SALT LAKE CITY,Strategic Plan Evaluation,03/01/2024,Outstanding,27667921.0,,,2023/58177_230808.PDF,False,False
28892,Investors Bank,NJ,SHORT HILLS,Large Bank Evaluation,02/01/2022,Satisfactory,27286123.0,High Satisfactory,Outstanding,2020/28892_201201.PDF,False,False
32773,Eastern Bank,MA,BOSTON,Large Bank Evaluation,09/01/2025,Outstanding,25493211.0,Outstanding,Outstanding,2025/32773_250121.PDF,False,False
12010,Provident Bank,NJ,JERSEY CITY,Large Bank Evaluation,01/01/2026,Satisfactory,24052216.0,Outstanding,High Satisfactory,2024/12010_241007.PDF,False,False
17985,First Hawaiian Bank,HI,HONOLULU,Large Bank Evaluation,12/01/2025,Outstanding,23747623.0,Outstanding,Outstanding,2025/17985_250602.PDF,False,False
18503,Cathay Bank,CA,LOS ANGELES,Large Bank Evaluation,02/01/2026,Satisfactory,23709143.0,Outstanding,High Satisfactory,2025/18503_250818.PDF,False,False
20504,Ameris Bank,GA,ATLANTA,Large Bank Evaluation,05/01/2024,Satisfactory,23591556.0,High Satisfactory,Low Satisfactory,2022/20504_221031.PDF,True,True
28088,WaFd Bank,WA,SEATTLE,Large Bank Evaluation,03/01/2026,Satisfactory,22637277.0,High Satisfactory,High Satisfactory,2024/28088_240326.PDF,False,False
57408,"Optum Bank, Inc.",UT,DRAPER,Strategic Plan Evaluation,06/01/2026,Outstanding,20824000.0,,,2026/57408_260126.PDF,False,False
9712,Rockland Trust Company,MA,ROCKLAND,Large Bank Evaluation,04/01/2024,Outstanding,19405648.0,Outstanding,High Satisfactory,2023/9712_230822.PDF,False,False
8056,Merchants Bank of Indiana,IN,CARMEL,Strategic Plan Evaluation,07/01/2026,Satisfactory,19296676.0,,,2026/8056_260105.PDF,False,False
30387,FirstBank Puerto Rico,PR,SANTURCE,Large Bank Evaluation,02/01/2026,Satisfactory,18852409.0,Outstanding,High Satisfactory,2024/30387_241029.PDF,False,False
1768,Mechanics Bank,CA,WALNUT CREEK,Large Bank Evaluation,11/01/2022,Satisfactory,18616778.0,Outstanding,Substantial Non Complianc,2022/1768_220418.PDF,True,False
4365,First Merchants Bank,IN,MUNCIE,Large Bank Evaluation,10/01/2025,Satisfactory,18335693.0,Outstanding,High Satisfactory,2024/4365_241209.PDF,False,False
3076,Independent Bank,TX,MCKINNEY,Large Bank Evaluation,12/01/2023,Satisfactory,18252788.0,Low Satisfactory,Low Satisfactory,2023/3076_230424.PDF,True,True
26610,Bank of Hope,CA,LOS ANGELES,Large Bank Evaluation,01/01/2025,Satisfactory,18082905.0,High Satisfactory,Low Satisfactory,2024/26610_240708.PDF,True,True
33682,State Bank of India,NY,NEW YORK,Wholesale Bank Evaluation,10/01/2024,Satisfactory,17619486.0,,,2024/33682_240617.PDF,False,False
57993,ServisFirst Bank,AL,BIRMINGHAM,Large Bank Evaluation,07/01/2026,Satisfactory,17582987.0,High Satisfactory,High Satisfactory,2025/57993_251201.PDF,False,False
35095,TowneBank,VA,PORTSMOUTH,Large Bank Evaluation,02/01/2026,Outstanding,17511883.0,Outstanding,Outstanding,2025/35095_250707.PDF,False,False
12437,Renasant Bank,MS,TUPELO,Large Bank Evaluation,12/01/2024,Satisfactory,17224614.0,High Satisfactory,High Satisfactory,2023/12437_230918.PDF,False,False
16889,United Community Bank,GA,BLAIRSVILLE,Large Bank Evaluation,03/01/2021,Satisfactory,17126721.0,High Satisfactory,High Satisfactory,2020/16889_200803.PDF,False,False
16068,Apple Bank for Savings,NY,NEW YORK,Large Bank Evaluation,01/01/2024,Satisfactory,16888361.0,Low Satisfactory,High Satisfactory,2023/16068_230622.PDF,False,True
21716,Citizens Business Bank,CA,ONTARIO,Large Bank Evaluation,08/01/2023,Satisfactory,16758546.0,High Satisfactory,Outstanding,2023/21716_230227.PDF,False,False
803,"WesBanco Bank, Inc.",WV,WHEELING,Large Bank Evaluation,07/01/2023,Outstanding,16752817.0,,Outstanding,2022/803_221114.PDF,False,False
28489,Banner Bank,WA,WALLA WALLA,Large Bank Evaluation,07/01/2025,Outstanding,16199722.0,Outstanding,Outstanding,2024/28489_241217.PDF,False,False
4239,First United Bank and Trust Company,OK,DURANT,Large Bank Evaluation,06/01/2024,Satisfactory,15970712.0,High Satisfactory,High Satisfactory,2023/4239_231106.PDF,False,False
