name,rssd,location,overall,exam_date,public_date,method,assets,svc_rating,inv_rating,cd_rating
1ST SOURCE BANK,991340,"SOUTH BEND, IN",Outstanding,"Sep 25, 2023","Jan 10, 2025",Large Bank,"$8,411,706",High Satisfactory,Needs to Improve,
AMBOY BANK,9807,"OLD BRIDGE, NJ",Satisfactory,"Jun 10, 2024","Dec 20, 2024",Large Bank,"$2,638,667",Low Satisfactory,Low Satisfactory,
ARVEST BANK,311845,"FAYETTEVILLE, AR",Satisfactory,"Sep 27, 2021","May 15, 2022",Large Bank,"$26,237,693",Low Satisfactory,Needs to Improve,
BNB BANK,23504,"BRIDGEHAMPTON, NY",Satisfactory,"Jul 30, 2018","Mar 28, 2019",Large Bank,"$4,446,676",High Satisfactory,High Satisfactory,
BOSTON PRIVATE BANK & TRUST COMPANY,964700,"BOSTON, MA",Outstanding,"Apr 23, 2018","Mar 17, 2019",Large Bank,"$8,167,632",Outstanding,Outstanding,
CENTENNIAL BANK,456045,"CONWAY, AR",Satisfactory,"Sep 10, 2018","Sep 16, 2019",Large Bank,"$14,904,936",Low Satisfactory,Low Satisfactory,Satisfactory
CENTRAL BANK OF BOONE COUNTY,299046,"COLUMBIA, MO",Outstanding,"Mar 26, 2018","Jul 02, 2018",Large Bank,"$1,879,308",High Satisfactory,Low Satisfactory,
CENTRAL BANK OF ST. LOUIS,506249,"CLAYTON, MO",Satisfactory,"Jul 23, 2018","Nov 29, 2018",Large Bank,"$1,855,708",Low Satisfactory,Outstanding,
"CENTRAL TRUST BANK, THE",853952,"JEFFERSON CITY, MO",Satisfactory,"Oct 01, 2018","Feb 25, 2019",Large Bank,"$2,333,498",High Satisfactory,Low Satisfactory,
CHOICEONE BANK,324340,"SPARTA, MI",Satisfactory,"Oct 21, 2024","Mar 03, 2025",Large Bank,"$2,724,240",Low Satisfactory,Low Satisfactory,Satisfactory
COMERICA BANK,60143,"DALLAS, TX",Outstanding,"Jun 23, 2025","Jan 16, 2026",Large Bank,"$77,698,000",Low Satisfactory,High Satisfactory,
COMPASS BANK,697633,"BIRMINGHAM, AL",Outstanding,"Apr 02, 2018","Jan 22, 2019",Large Bank,"$86,504,843",Needs to Improve,Low Satisfactory,
CORNERSTONE BANK,403151,"YORK, NE",Satisfactory,"May 02, 2022","Aug 15, 2022",Large Bank,"$2,056,362",Low Satisfactory,Outstanding,Satisfactory
EAGLEBANK,2652092,"BETHESDA, MD",Satisfactory,"Oct 28, 2024","Jul 24, 2025",Large Bank,"$11,228,331",Low Satisfactory,Low Satisfactory,Satisfactory
FARMERS AND MERCHANTS BANK OF LONG BEACH,871769,"LONG BEACH, CA",Satisfactory,"Sep 17, 2018","Jun 03, 2019",Large Bank,"$7,274,369",Outstanding,Low Satisfactory,
FIRST BANK,169653,"CREVE COEUR, MO",Satisfactory,"Jan 29, 2024","Jun 23, 2024",Large Bank,"$6,554,829",Low Satisfactory,Low Satisfactory,
"FIRST BANK AND TRUST COMPANY, THE",223322,"LEBANON, VA",Satisfactory,"Oct 19, 2020","Mar 11, 2021",Large Bank,"$2,319,799",Low Satisfactory,Low Satisfactory,Satisfactory
FIRST COMMUNITY BANK,2353595,"BLUEFIELD, VA",Satisfactory,"Sep 10, 2018","Apr 05, 2019",Large Bank,"$2,344,033",Low Satisfactory,High Satisfactory,
FIRST FIDELITY BANK,106359,"OKLAHOMA CITY, OK",Satisfactory,"Nov 30, 2020","Mar 11, 2021",Large Bank,"$2,082,534",Low Satisfactory,Low Satisfactory,
FIRST FINANCIAL BANK,165628,"CINCINNATI, OH",Outstanding,"Jun 12, 2023","May 09, 2025",Large Bank,"$16,915,645",High Satisfactory,Low Satisfactory,
FRANDSEN BANK & TRUST,751656,"LONSDALE, MN",Outstanding,"May 21, 2018","Dec 10, 2018",Large Bank,"$1,730,669",High Satisfactory,High Satisfactory,
FRANKLIN SYNERGY BANK,3635533,"FRANKLIN, TN",Satisfactory,"Aug 13, 2018","Dec 01, 2018",Large Bank,"$4,080,827",Low Satisfactory,Outstanding,Satisfactory
FROST BANK,682563,"SAN ANTONIO, TX",Satisfactory,"Mar 04, 2024","Nov 25, 2024",Large Bank,"$48,799,477",High Satisfactory,Outstanding,
HERITAGE BANK OF COMMERCE,2209553,"SAN JOSE, CA",Satisfactory,"Jun 24, 2024","Dec 28, 2024",Large Bank,"$5,254,044",High Satisfactory,Low Satisfactory,
INDEPENDENCE BANK OF KENTUCKY,648242,"OWENSBORO, KY",Satisfactory,"Oct 25, 2021","Feb 07, 2022",Large Bank,"$3,062,572",Low Satisfactory,High Satisfactory,
INDEPENDENT BANK,636771,"GRAND RAPIDS, MI",Satisfactory,"Oct 30, 2023","Dec 30, 2024",Large Bank,"$5,195,890",Low Satisfactory,Low Satisfactory,
JOHNSON BANK,58243,"RACINE, WI",Satisfactory,"Sep 29, 2025","Mar 16, 2026",Large Bank,"$7,045,570",High Satisfactory,Low Satisfactory,
LIBERTYVILLE BANK & TRUST COMPANY,2339795,"LIBERTYVILLE, IL",Outstanding,"Jan 22, 2018","Nov 24, 2018",Large Bank,"$1,374,035",Low Satisfactory,Low Satisfactory,
MARQUETTE BANK,716833,"CHICAGO, IL",Outstanding,"Sep 16, 2024","Apr 24, 2025",Large Bank,"$2,106,093",High Satisfactory,Low Satisfactory,
MASCOMA BANK,268006,"LEBANON, NH",Outstanding,"Nov 02, 2020","Feb 25, 2021",Large Bank,"$2,154,572",Low Satisfactory,Low Satisfactory,
NBH BANK,4210227,"GREENWOOD VILLAGE, CO",Satisfactory,"Sep 17, 2018","May 20, 2019",Large Bank,"$5,623,365",Low Satisfactory,Low Satisfactory,
PACIFIC PREMIER BANK,431172,"IRVINE, CA",Outstanding,"May 07, 2018","Oct 12, 2018",Large Bank,"$8,022,800",High Satisfactory,High Satisfactory,Satisfactory
