rssd,cert,name,location,method,exam_date,overall,assets,svc_rating,inv_rating,cd_rating,branches_topneed,exposure,top_county
233031,12368,REGIONS BANK,"BIRMINGHAM, AL",Large Bank,"Mar 04, 2019",Satisfactory,"$123,928,444",Low Satisfactory,High Satisfactory,,255,344778,"Harris, TX"
210434,913,"NORTHERN TRUST COMPANY, THE","CHICAGO, IL",Wholesale,"Oct 15, 2018",Outstanding,"$134,656,952",High Satisfactory,Outstanding,,31,217485,"Maricopa, AZ"
485559,4977,FIRST HORIZON BANK,"MEMPHIS, TN",Large Bank,"Nov 30, 2020",Satisfactory,"$82,688,692",High Satisfactory,Outstanding,,100,209537,"Harris, TX"
663245,3890,SIMMONS BANK,"PINE BLUFF, AR",Large Bank,"Sep 06, 2022",Satisfactory,"$27,171,310",Low Satisfactory,Low Satisfactory,,74,172332,"Harris, TX"
456045,11241,CENTENNIAL BANK,"CONWAY, AR",Large Bank,"Sep 10, 2018",Satisfactory,"$14,904,936",Low Satisfactory,Low Satisfactory,Satisfactory,57,170656,"Travis, TX"
416245,16450,BUSEY BANK,"CHAMPAIGN, IL",Large Bank,"Oct 14, 2025",Satisfactory,"$18,866,438",High Satisfactory,Outstanding,,29,155463,"Maricopa, AZ"
4210227,59052,NBH BANK,"GREENWOOD VILLAGE, CO",Large Bank,"Sep 17, 2018",Satisfactory,"$5,623,365",Low Satisfactory,Low Satisfactory,,38,149215,"Travis, TX"
682563,5510,FROST BANK,"SAN ANTONIO, TX",Large Bank,"Mar 04, 2024",Satisfactory,"$48,799,477",High Satisfactory,Outstanding,,143,139172,"Harris, TX"
601050,24998,COMMERCE BANK,"KANSAS CITY, MO",Large Bank,"Nov 28, 2022",Outstanding,"$34,838,342",Outstanding,Outstanding,,78,134010,"Maricopa, AZ"
637451,17491,PLAINSCAPITAL BANK,"UNIVERSITY PARK, TX",Large Bank,"May 17, 2021",Satisfactory,"$13,674,043",Low Satisfactory,Needs to Improve,,34,126091,"Harris, TX"
2594240,34562,ENCORE BANK,"LITTLE ROCK, AR",Large Bank,"Oct 20, 2025",Satisfactory,"$3,705,306",Low Satisfactory,Low Satisfactory,,12,121938,"Travis, TX"
380458,26906,TEXAS REGIONAL BANK,"HARLINGEN, TX",Int Small Bank,"May 28, 2019",Satisfactory,"$866,562",High Satisfactory,Low Satisfactory,Satisfactory,15,111809,"Harris, TX"
3630323,58716,THIRD COAST BANK,"HUMBLE, TX",Large Bank,"Aug 12, 2024",Satisfactory,"$4,650,798",Low Satisfactory,Low Satisfactory,Satisfactory,12,107425,"Harris, TX"
197478,31628,EAST WEST BANK,"PASADENA, CA",Large Bank,"Mar 08, 2021",Outstanding,"$52,225,880",Low Satisfactory,Needs to Improve,,20,101137,"Harris, TX"
965789,34885,SUSSER BANK,"DALLAS, TX",Int Small Bank,"Feb 28, 2022",Satisfactory,"$1,458,568",,,Satisfactory,9,99894,"Harris, TX"
