cert,bank,target_aa,pe_date,scope,outcome,detail
9846,Truist Bank,Houston MSA,2023-04-10,full,LOADED,"49 grants totaling $1.9M — AA-scoped"
5510,Frost Bank,Houston Metropolitan,2024-03-04,full,LOADED,"Table 45 donations 144 / $639K; AA excludes 4 Houston MSA counties"
258,Stock Yards Bank & Trust,Louisville MSA,2024-01-24,full,LOADED,"110 grants & donations / $805K; AA rated Outstanding above the institution"
110,Bank OZK,Houston MSA,2025-11-24,limited,LOADED,"Donations 20 / $95K vs $15.37M investments — service partnership"
11063,First-Citizens Bank & Trust,Phoenix MSA,2022-07-19,full,LOADED,"7 donations / $59,149 — prose, not a table"
23627,Republic Bank & Trust,Louisville MSA,2026-02-02,full,LOADED,"173 grants & donations / $1,113K; Louisville is its own rated area, Outstanding"
27237,Enterprise Bank & Trust,Phoenix,2023-06-05,full,LOADED,"Donations 27 / $263K; CA rated area is Low Sat on all three"
21716,Citizens Business Bank,Los Angeles,2023-02-27,full,LOADED,"377 grants & donations / $3,401K; OCC — no successor PE published"
16835,Prosperity Bank,Houston MSA,2022-07-18,limited,BLOCKED,"no Houston donations row; only full-scope areas get one"
30788,Glacier Bank,Phoenix,2025-08-18,limited,BLOCKED,"Phoenix row is investments only; grants reported statewide"
28088,WaFd Bank,Phoenix-Mesa-Chandler,2024-03-26,full,BLOCKED,"Phoenix row above the grants line; grants are rated-area only"
35583,Pinnacle Bank,Nashville MSA,2023-05-08,full,BLOCKED,"Nashville row combines investments and donations"
19629,International Bank of Commerce,Houston MSA,2024-06-04,limited,BLOCKED,"$1.2M donations sentence belongs to LAREDO; Houston row combined"
9123,Western State Bank,Phoenix,2023-11-27,full,BLOCKED,"AZ rated area = Phoenix AA; 67 items / $1,417K combined, no donations row"
953,Bankers Trust Company,Phoenix,2025-09-22,full,BLOCKED,"no donations row anywhere in the document"
57922,Harmony Bank,Dallas MD,2025-03-03,full,BLOCKED,"no donations row; ISB, CD Test only"
16068,Apple Bank for Savings,New York,2023-06-22,full,BLOCKED,"no donations row; Investment Low Sat but Service clean"
5633,First Security Bank,Little Rock MSA,2020-08-17,full,BLOCKED,"Little Rock row 319 / $29,004K combined; donations only at institution level (644 / $839K). PE is six years old."
17393,German American Bank,Franklin OH,2024-04-22,n/a,PHANTOM,"20 Ohio branches but PE rated areas are Indiana and Kentucky; Ohio appears once, Franklin never"
17266,Umpqua / Columbia Bank,Maricopa AZ,2023-12-18,n/a,PHANTOM,"Arizona/Phoenix/Maricopa appear ZERO times; rated areas WA OR CA ID NV Lewiston"
13303,Bank of England,Maricopa AZ,,n/a,PHANTOM,"caught by the pre-filter before any read — Arizona=1, Maricopa=0"
