cert,bank,state,regulator,assets_k,exam_method,inv_rating,svc_rating,pe_date,route,contact,channel,address
628,"JPMorgan Chase Bank, National Association",OH,OCC,4091315000,Large Bank,,,03/11/2024,role,CRA Officer,www.jpmorganchase.com,"1111 Polaris Pkwy, Columbus, OH 43240"
3510,"Bank of America, National Association",NC,OCC,2654645000,Large Bank,,,01/03/2022,role,CRA Officer,www.bankofamerica.com,"100 N Tryon St, Charlotte, NC 28202"
7213,"Citibank, National Association",SD,OCC,1976180000,Large Bank,,,05/06/2024,role,CRA Officer,www.citibank.com,"5800 S Corporate Pl, Sioux Falls, SD 57108"
3511,"Wells Fargo Bank, National Association",SD,OCC,1907928000,Large Bank,,,02/06/2023,role,CRA Officer,www.wellsfargo.com,"3201 N 4th Ave, Sioux Falls, SD 57104"
33124,Goldman Sachs Bank USA,NY,FED,758788000,Wholesale,,,"Jul 08, 2019",role,CRA Officer,www.marcus.com,"200 West St, New York, NY 10282"
6548,U.S. Bank National Association,OH,OCC,705554946,Large Bank,,,01/18/2022,role,CRA Officer,www.usbank.com,"425 Walnut St, Cincinnati, OH 45202"
4297,"Capital One, National Association",VA,OCC,662157000,Large Bank,,,08/28/2023,role,CRA Officer,www.capitalone.com,"1680 Capital One Dr, Mclean, VA 22102"
6384,"PNC Bank, National Association",DE,OCC,609771726,Large Bank,,,06/06/2022,role,CRA Officer,www.pnc.com,"222 Delaware Ave, Wilmington, DE 19801"
9846,Truist Bank,NC,FDIC,548346000,Large Bank Evaluation,Outstanding,Outstanding,01/01/2025,role,CRA Officer,www.Truist.com,"214 N Tryon St, Charlotte, NC 28202"
639,The Bank of New York Mellon,NY,FED,425115000,Wholesale,Outstanding,Low Satisfactory,"Nov 19, 2018",role,CRA Officer,www.bny.com,"240 E Greenwich St, New York, NY 10007"
32992,"Morgan Stanley Bank, National Association",UT,OCC,419318000,Strategic Plan,,,02/13/2023,role,CRA Officer,,"201 S Main St, Salt Lake City, UT 84111"
14,State Street Bank and Trust Company,MA,FED,412620000,Wholesale,,,"Sep 27, 2021",role,CRA Officer,www.statestreet.com,"One Congress Street, Boston, MA 02114"
18409,"TD Bank, National Association",DE,OCC,342803746,Large Bank,,,07/01/2024,role,CRA Officer,www.td.com/us/en/personal-banking/,"2035 Limestone Rd, Wilmington, DE 19808"
6672,"Fifth Third Bank, National Association",OH,OCC,299177000,Large Bank,,,07/07/2025,role,CRA Officer,www.53.com,"38 Fountain Square Plz, Cincinnati, OH 45202"
6560,The Huntington National Bank,OH,OCC,283073605,Large Bank,,,07/31/2023,role,CRA Officer,www.huntington.com,"17 S High St, Columbus, OH 43215"
