cert,name,state,city,method,pe_date,overall,assets_k,inv,svc,file_id,svc_gap,in_old_universe,branches_topneed,exposure,n_topneed_counties,top_county
9846,Truist Bank,NC,CHARLOTTE,Large Bank Evaluation,01/01/2025,Outstanding,546228000.0,Outstanding,Outstanding,2023/9846_230410.PDF,False,False,351,334717,31,"Harris, TX"
11063,First-Citizens Bank & Trust Company,NC,RALEIGH,Large Bank Evaluation,08/01/2023,Satisfactory,107542088.0,High Satisfactory,High Satisfactory,2022/11063_220719.PDF,False,False,92,309319,26,"Maricopa, AZ"
13303,Bank of England,AR,ENGLAND,Intermediate Small Bank Evaluation,06/01/2025,Satisfactory,412782.0,,,2024/13303_240401.PDF,False,False,45,280319,22,"Maricopa, AZ"
110,Bank OZK,AR,LITTLE ROCK,Large Bank Evaluation,06/01/2026,Satisfactory,41606548.0,Outstanding,Low Satisfactory,2025/110_251201.PDF,True,True,76,222278,18,"Harris, TX"
30788,Glacier Bank,MT,KALISPELL,Large Bank Evaluation,03/01/2026,Satisfactory,28986503.0,High Satisfactory,High Satisfactory,2025/30788_250819.PDF,False,False,45,197987,14,"Maricopa, AZ"
35583,Pinnacle Bank,TN,NASHVILLE,Large Bank Evaluation,01/01/2024,Satisfactory,41842515.0,Outstanding,High Satisfactory,2023/35583_230510.PDF,False,False,110,187462,19,"Dallas, TX"
16450,Busey Bank,IL,CHAMPAIGN,Large Bank Evaluation,12/01/2022,Satisfactory,12453067.0,,Substantial Non Complianc,2022/16450_220325.PDF,True,False,29,155463,13,"Maricopa, AZ"
12441,Hancock Whitney Bank,MS,GULFPORT,Large Bank Evaluation,07/01/2025,Outstanding,35392436.0,Outstanding,Outstanding,2024/12441_241007.PDF,False,False,22,151047,10,"Harris, TX"
16835,Prosperity Bank,TX,EL CAMPO,Large Bank Evaluation,11/01/2023,Satisfactory,38274790.0,High Satisfactory,Low Satisfactory,2022/16835_220718.PDF,True,True,169,147599,10,"Harris, TX"
32974,Gulf Coast Bank and Trust Company,LA,NEW ORLEANS,Large Bank Evaluation,08/01/2023,Satisfactory,2927905.0,Low Satisfactory,Low Satisfactory,2023/32974_230313.PDF,True,True,7,138631,7,"Maricopa, AZ"
28088,WaFd Bank,WA,SEATTLE,Large Bank Evaluation,03/01/2026,Satisfactory,22637277.0,High Satisfactory,High Satisfactory,2024/28088_240326.PDF,False,False,35,121298,7,"Maricopa, AZ"
18297,Southside Bank,TX,TYLER,Large Bank Evaluation,04/01/2025,Satisfactory,8353301.0,Outstanding,High Satisfactory,2024/18297_240930.PDF,False,False,17,107425,6,"Harris, TX"
