assessment_area,grants,usd
Washington Multistate CSA,661,164200000
New York Multistate CSA,908,95700000
San Jose CSA,"1,366",88500000
Los Angeles CSA,"1,051",80000000
Salt Lake City CSA,220,55500000
Philadelphia Multistate CSA,416,51000000
Atlanta CSA,435,39800000
Minneapolis Multistate CSA,317,38000000
Charlotte Multistate CSA,353,31600000
Phoenix CSA,275,19900000
Raleigh CSA,247,17200000
Dallas MSA,309,14500000
Portland Multistate CSA,285,13700000
San Diego MSA,265,11000000
Albuquerque CSA,166,10700000
Orlando CSA,204,8000000
Des Moines CSA,195,6900000
Virginia Beach MSA,25,6900000
Austin MSA,137,6800000
Seattle CSA,258,6800000
Milwaukee CSA,103,6300000
Mississippi. Jackson MSA,47,6200000
Lancaster MSA,22,6200000
Fresno CSA,106,5500000
Omaha Multistate MSA,118,4800000
Anchorage MSA,159,4000000
Birmingham CSA,167,3800000
Oregon Combined Non-MSA,26,3500000
Charleston MSA,67,3400000
Richmond MSA,133,3200000
Missoula MSA,48,3100000
Greensboro CSA,187,3000000
Nashville MSA,76,2500000
Las Vegas CSA,143,2400000
Jacksonville MSA,166,2300000
Greenville CSA,79,2000000
Boise City CSA,86,1600000
Reno CSA,82,1500000
Asheville CSA,63,1500000
El Paso MSA,74,1300000
Memphis Multistate MSA,50,1200000
Tucson CSA,90,1100000
Wyoming Combined Non-MSA,55,961000
Fargo Multistate CSA,41,945000
New Mexico Combined Non-MSA,17,674000
Allentown Multistate MSA,64,670000
Spokane MSA,56,653000
Montana Combined Non-MSA,45,620000
Alaska Combined Non-MSA,59,581900
Mobile CSA,82,572000
Augusta Multistate MSA,33,518000
Columbus Multistate CSA,33,498000
South Dakota Combined Non-MSA,51,491000
Davenport Multistate MSA,45,489000
Myrtle Beach Multistate CSA,39,475000
Rapid City CSA,24,464000
Harrisburg CSA,23,446000
Gulfport MSA,38,442000
Lincoln MSA,32,376000
Eugene MSA,34,360000
Minnesota Combined Non-MSA,40,320000
Madison CSA,18,276000
Lynchburg MSA,22,221000
Iowa Combined Non-MSA,25,183000
Bend CSA,28,176000
Kansas. Wichita MSA,11,168000
North Dakota Combined Non-MSA,13,156000
Logan Multistate MSA,14,149000
Cheyenne MSA,16,141000
Grand Forks Multistate MSA,12,134000
Chattanooga CSA,14,73000
