geoid,county,state,pop_poverty_universe,pop_under_130_fpl,pop_under_200_fpl,snap_hh,poor_hh,eligible_unenrolled,method
06037,"Los Angeles County, CA",CA,9656697,1820083,2984091,493104.0,477681.0,251560,FNS state total allocated by share of under-130% FPL population
48201,"Harris County, TX",TX,4786324,1047567,1679755,235477.0,262833.0,186774,FNS state total allocated by share of under-130% FPL population
04013,"Maricopa County, AZ",AZ,4489967,673710,1157731,148499.0,178458.0,103061,FNS state total allocated by share of under-130% FPL population
48113,"Dallas County, TX",TX,2588967,506815,874422,103078.0,126108.0,90361,FNS state total allocated by share of under-130% FPL population
12086,"Miami-Dade County, FL",FL,2698120,554926,938509,222489.0,155575.0,80452,FNS state total allocated by share of under-130% FPL population
48029,"Bexar County, TX",TX,2027961,413475,691908,103965.0,105648.0,73720,FNS state total allocated by share of under-130% FPL population
06073,"San Diego County, CA",CA,3198446,448171,745140,116541.0,115837.0,61943,FNS state total allocated by share of under-130% FPL population
48439,"Tarrant County, TX",TX,2136011,334790,585690,74867.0,83640.0,59691,FNS state total allocated by share of under-130% FPL population
06059,"Orange County, CA",CA,3126062,416625,701873,91924.0,105401.0,57583,FNS state total allocated by share of under-130% FPL population
48215,"Hidalgo County, TX",TX,883207,312797,460727,75177.0,68350.0,55769,FNS state total allocated by share of under-130% FPL population
06071,"San Bernardino County, CA",CA,2156389,399986,697297,106798.0,89620.0,55283,FNS state total allocated by share of under-130% FPL population
06065,"Riverside County, CA",CA,2443638,370996,675828,97172.0,84094.0,51277,FNS state total allocated by share of under-130% FPL population
12011,"Broward County, FL",FL,1958597,336041,577934,99630.0,97944.0,48719,FNS state total allocated by share of under-130% FPL population
36047,"Kings County, NY",NY,2604790,640891,944541,231177.0,185803.0,41354,FNS state total allocated by share of under-130% FPL population
48141,"El Paso County, TX",TX,856719,224464,371903,57900.0,58704.0,40020,FNS state total allocated by share of under-130% FPL population
12057,"Hillsborough County, FL",FL,1494451,263034,439938,77704.0,74887.0,38134,FNS state total allocated by share of under-130% FPL population
12095,"Orange County, FL",FL,1433107,259876,456761,72240.0,68153.0,37676,FNS state total allocated by share of under-130% FPL population
06067,"Sacramento County, CA",CA,1575171,265650,434672,81145.0,68493.0,36716,FNS state total allocated by share of under-130% FPL population
12099,"Palm Beach County, FL",FL,1508059,238375,410830,60523.0,67525.0,34559,FNS state total allocated by share of under-130% FPL population
06019,"Fresno County, CA",CA,999115,246778,391710,70903.0,57069.0,34108,FNS state total allocated by share of under-130% FPL population
48453,"Travis County, TX",TX,1304589,182150,292622,32506.0,59521.0,32476,FNS state total allocated by share of under-130% FPL population
06029,"Kern County, CA",CA,891050,233738,373618,57456.0,51370.0,32306,FNS state total allocated by share of under-130% FPL population
04019,"Pima County, AZ",AZ,1032494,202121,331308,53119.0,60186.0,30920,FNS state total allocated by share of under-130% FPL population
36005,"Bronx County, NY",NY,1374967,478476,677838,206275.0,151659.0,30874,FNS state total allocated by share of under-130% FPL population
06001,"Alameda County, CA",CA,1621569,200621,321897,59416.0,58251.0,27729,FNS state total allocated by share of under-130% FPL population
12031,"Duval County, FL",FL,1000290,190667,318405,59377.0,57149.0,27643,FNS state total allocated by share of under-130% FPL population
36081,"Queens County, NY",NY,2296816,412726,683431,133891.0,112134.0,26631,FNS state total allocated by share of under-130% FPL population
48061,"Cameron County, TX",TX,422446,140134,212341,34273.0,33198.0,24985,FNS state total allocated by share of under-130% FPL population
05119,"Pulaski County, AR",AR,391984,86681,137779,17233.0,27958.0,24384,FNS state total allocated by share of under-130% FPL population
06085,"Santa Clara County, CA",CA,1869227,176210,293346,43418.0,47303.0,24355,FNS state total allocated by share of under-130% FPL population
21111,"Jefferson County, KY",KY,768974,147514,237260,36575.0,46422.0,24337,FNS state total allocated by share of under-130% FPL population
12105,"Polk County, FL",FL,774119,156972,277504,42205.0,40943.0,22758,FNS state total allocated by share of under-130% FPL population
47157,"Shelby County, TN",TN,902923,211387,338116,56268.0,60699.0,22480,FNS state total allocated by share of under-130% FPL population
12103,"Pinellas County, FL",FL,944399,152786,254424,36876.0,49813.0,22151,FNS state total allocated by share of under-130% FPL population
36061,"New York County, NY",NY,1578522,320634,448375,112139.0,121633.0,20689,FNS state total allocated by share of under-130% FPL population
15003,"Honolulu County, HI",HI,969622,121023,199266,34575.0,31570.0,19571,FNS state total allocated by share of under-130% FPL population
12071,"Lee County, FL",FL,804385,131657,230000,27154.0,38444.0,19087,FNS state total allocated by share of under-130% FPL population
06077,"San Joaquin County, CA",CA,785218,133123,226593,38226.0,30081.0,18399,FNS state total allocated by share of under-130% FPL population
48085,"Collin County, TX",TX,1154388,102533,179915,12768.0,26488.0,18281,FNS state total allocated by share of under-130% FPL population
06013,"Contra Costa County, CA",CA,1155874,131085,215632,35128.0,34626.0,18118,FNS state total allocated by share of under-130% FPL population
48157,"Fort Bend County, TX",TX,886828,94408,176346,19922.0,23263.0,16832,FNS state total allocated by share of under-130% FPL population
48121,"Denton County, TX",TX,967766,93641,162095,15679.0,25918.0,16696,FNS state total allocated by share of under-130% FPL population
06107,"Tulare County, CA",CA,473100,120516,201892,34511.0,23265.0,16657,FNS state total allocated by share of under-130% FPL population
48339,"Montgomery County, TX",TX,680151,91541,152355,16304.0,23835.0,16321,FNS state total allocated by share of under-130% FPL population
06075,"San Francisco County, CA",CA,817138,117902,175889,41556.0,42654.0,16296,FNS state total allocated by share of under-130% FPL population
49035,"Salt Lake County, UT",UT,1179694,137701,254225,22043.0,35480.0,15962,FNS state total allocated by share of under-130% FPL population
45079,"Richland County, SC",SC,395120,88828,138431,17881.0,28188.0,15874,FNS state total allocated by share of under-130% FPL population
24510,"Baltimore city, MD",MD,553387,142078,208122,59197.0,51676.0,15092,FNS state total allocated by share of under-130% FPL population
45045,"Greenville County, SC",SC,535929,82444,146567,16773.0,24452.0,14734,FNS state total allocated by share of under-130% FPL population
06099,"Stanislaus County, CA",CA,548756,105236,183459,27603.0,24248.0,14545,FNS state total allocated by share of under-130% FPL population
