geoid,state,county,total_hh,poor_hh,snap_hh,coverage_ratio,unserved_poor_hh
04013,AZ,"Maricopa County, AZ",1730696.0,178458.0,148499.0,0.832,29959
48201,TX,"Harris County, TX",1757164.0,262833.0,235477.0,0.896,27356
48453,TX,"Travis County, TX",583747.0,59521.0,32506.0,0.546,27015
48113,TX,"Dallas County, TX",982737.0,126108.0,103078.0,0.817,23030
47037,TN,"Davidson County, TN",324907.0,41807.0,26860.0,0.642,14947
48085,TX,"Collin County, TX",416646.0,26488.0,12768.0,0.482,13720
48041,TX,"Brazos County, TX",91087.0,21501.0,7858.0,0.365,13643
06059,CA,"Orange County, CA",1082960.0,105401.0,91924.0,0.872,13477
49035,UT,"Salt Lake County, UT",426245.0,35480.0,22043.0,0.621,13437
12001,FL,"Alachua County, FL",116786.0,23971.0,10714.0,0.447,13257
39049,OH,"Franklin County, OH",553099.0,73602.0,60349.0,0.82,13253
12103,FL,"Pinellas County, FL",428473.0,49813.0,36876.0,0.74,12937
29095,MO,"Jackson County, MO",306798.0,43358.0,31623.0,0.729,11735
12071,FL,"Lee County, FL",327803.0,38444.0,27154.0,0.706,11290
05119,AR,"Pulaski County, AR",172409.0,27958.0,17233.0,0.616,10725
27053,MN,"Hennepin County, MN",539493.0,54431.0,43784.0,0.804,10647
45079,SC,"Richland County, SC",167961.0,28188.0,17881.0,0.634,10307
48121,TX,"Denton County, TX",360392.0,25918.0,15679.0,0.605,10239
39061,OH,"Hamilton County, OH",354739.0,53262.0,43374.0,0.814,9888
21111,KY,"Jefferson County, KY",331554.0,46422.0,36575.0,0.788,9847
49049,UT,"Utah County, UT",203018.0,17999.0,8173.0,0.454,9826
20091,KS,"Johnson County, KS",249531.0,14634.0,5014.0,0.343,9620
17019,IL,"Champaign County, IL",85472.0,17337.0,7764.0,0.448,9573
36061,NY,"New York County, NY",778281.0,121633.0,112139.0,0.922,9494
18157,IN,"Tippecanoe County, IN",75808.0,14864.0,5470.0,0.368,9394
48439,TX,"Tarrant County, TX",782419.0,83640.0,74867.0,0.895,8773
18105,IN,"Monroe County, IN",59236.0,12224.0,3564.0,0.292,8660
21067,KY,"Fayette County, KY",139715.0,20513.0,11918.0,0.581,8595
45019,SC,"Charleston County, SC",178975.0,19989.0,11493.0,0.575,8496
48303,TX,"Lubbock County, TX",126225.0,21905.0,13478.0,0.615,8427
18097,IN,"Marion County, IN",400432.0,58215.0,49932.0,0.858,8283
37183,NC,"Wake County, NC",460175.0,36903.0,28628.0,0.776,8275
20173,KS,"Sedgwick County, KS",206768.0,27539.0,19278.0,0.7,8261
34003,NJ,"Bergen County, NJ",355127.0,27135.0,18954.0,0.699,8181
29189,MO,"St. Louis County, MO",413849.0,41309.0,33196.0,0.804,8113
12073,FL,"Leon County, FL",122597.0,22318.0,14294.0,0.64,8024
05143,AR,"Washington County, AR",97184.0,13390.0,5413.0,0.404,7977
45051,SC,"Horry County, SC",158779.0,19863.0,11900.0,0.599,7963
13059,GA,"Clarke County, GA",54454.0,13013.0,5127.0,0.394,7886
48209,TX,"Hays County, TX",99849.0,12897.0,5032.0,0.39,7865
26161,MI,"Washtenaw County, MI",150550.0,20595.0,12830.0,0.623,7765
08013,CO,"Boulder County, CO",137008.0,15787.0,8034.0,0.509,7753
47093,TN,"Knox County, TN",201146.0,25666.0,17979.0,0.7,7687
45045,SC,"Greenville County, SC",220565.0,24452.0,16773.0,0.686,7679
12115,FL,"Sarasota County, FL",212204.0,18660.0,11108.0,0.595,7552
48339,TX,"Montgomery County, TX",247541.0,23835.0,16304.0,0.684,7531
13135,GA,"Gwinnett County, GA",327043.0,32731.0,25467.0,0.778,7264
01081,AL,"Lee County, AL",69436.0,14171.0,6949.0,0.49,7222
34029,NJ,"Ocean County, NJ",243843.0,22900.0,15692.0,0.685,7208
16001,ID,"Ada County, ID",202543.0,17459.0,10389.0,0.595,7070
04019,AZ,"Pima County, AZ",437827.0,60186.0,53119.0,0.883,7067
12021,FL,"Collier County, FL",165875.0,16276.0,9273.0,0.57,7003
12099,FL,"Palm Beach County, FL",605430.0,67525.0,60523.0,0.896,7002
29019,MO,"Boone County, MO",76562.0,11989.0,5088.0,0.424,6901
13067,GA,"Cobb County, GA",295714.0,25170.0,18374.0,0.73,6796
08031,CO,"Denver County, CO",335428.0,36320.0,29550.0,0.814,6770
22071,LA,"Orleans Parish, LA",155821.0,35297.0,28835.0,0.817,6462
19103,IA,"Johnson County, IA",63341.0,10111.0,3824.0,0.378,6287
51121,VA,"Montgomery County, VA",36961.0,8067.0,1782.0,0.221,6285
08069,CO,"Larimer County, CO",154232.0,18084.0,11813.0,0.653,6271
28049,MS,"Hinds County, MS",89578.0,19456.0,13226.0,0.68,6230
55025,WI,"Dane County, WI",251529.0,26402.0,20385.0,0.772,6017
22033,LA,"East Baton Rouge Parish, LA",177295.0,34153.0,28210.0,0.826,5943
37119,NC,"Mecklenburg County, NC",466527.0,46316.0,40445.0,0.873,5871
26065,MI,"Ingham County, MI",117096.0,19956.0,14161.0,0.71,5795
01125,AL,"Tuscaloosa County, AL",90052.0,15551.0,9798.0,0.63,5753
72127,PR,"San Juan Municipio, PR",153632.0,60866.0,55158.0,0.906,5708
29077,MO,"Greene County, MO",130951.0,18739.0,13120.0,0.7,5619
26125,MI,"Oakland County, MI",530460.0,46404.0,40881.0,0.881,5523
31055,NE,"Douglas County, NE",238430.0,28221.0,22724.0,0.805,5497
20045,KS,"Douglas County, KS",50406.0,8100.0,2652.0,0.327,5448
36059,NY,"Nassau County, NY",458166.0,28181.0,22835.0,0.81,5346
19169,IA,"Story County, IA",38904.0,6936.0,1780.0,0.257,5156
48491,TX,"Williamson County, TX",252323.0,16202.0,11096.0,0.685,5106
51059,VA,"Fairfax County, VA",414101.0,23076.0,17970.0,0.779,5106
31109,NE,"Lancaster County, NE",134126.0,16329.0,11241.0,0.688,5088
01089,AL,"Madison County, AL",165031.0,17538.0,12536.0,0.715,5002
48309,TX,"McLennan County, TX",97338.0,16579.0,11783.0,0.711,4796
22055,LA,"Lafayette Parish, LA",100903.0,17335.0,12598.0,0.727,4737
47065,TN,"Hamilton County, TN",154181.0,19215.0,14488.0,0.754,4727
45083,SC,"Spartanburg County, SC",131672.0,19112.0,14389.0,0.753,4723
34025,NJ,"Monmouth County, NJ",251712.0,18401.0,13702.0,0.745,4699
40119,OK,"Payne County, OK",32609.0,7808.0,3303.0,0.423,4505
45077,SC,"Pickens County, SC",52414.0,8807.0,4369.0,0.496,4438
47157,TN,"Shelby County, TN",362741.0,60699.0,56268.0,0.927,4431
12081,FL,"Manatee County, FL",176747.0,17739.0,13315.0,0.751,4424
18141,IN,"St. Joseph County, IN",107252.0,14851.0,10469.0,0.705,4382
04025,AZ,"Yavapai County, AZ",111157.0,13478.0,9130.0,0.677,4348
54061,WV,"Monongalia County, WV",44629.0,8489.0,4169.0,0.491,4320
18003,IN,"Allen County, IN",156570.0,18582.0,14273.0,0.768,4309
05007,AR,"Benton County, AR",111919.0,8554.0,4337.0,0.507,4217
06079,CA,"San Luis Obispo County, CA",109503.0,13169.0,8972.0,0.681,4197
36109,NY,"Tompkins County, NY",43263.0,8054.0,3869.0,0.48,4185
34027,NJ,"Morris County, NJ",193245.0,11232.0,7093.0,0.631,4139
38017,ND,"Cass County, ND",83945.0,9345.0,5219.0,0.558,4126
01003,AL,"Baldwin County, AL",98574.0,10666.0,6568.0,0.616,4098
28105,MS,"Oktibbeha County, MS",21840.0,6664.0,2571.0,0.386,4093
20161,KS,"Riley County, KS",27695.0,5913.0,1843.0,0.312,4070
40143,OK,"Tulsa County, OK",272422.0,39008.0,34993.0,0.897,4015
37135,NC,"Orange County, NC",57342.0,7359.0,3352.0,0.455,4007
42027,PA,"Centre County, PA",59013.0,8917.0,4910.0,0.551,4007
05045,AR,"Faulkner County, AR",49309.0,7390.0,3499.0,0.473,3891
06085,CA,"Santa Clara County, CA",659353.0,47303.0,43418.0,0.918,3885
51013,VA,"Arlington County, VA",112027.0,8346.0,4480.0,0.537,3866
47179,TN,"Washington County, TN",56759.0,8744.0,4886.0,0.559,3858
22051,LA,"Jefferson Parish, LA",177003.0,28620.0,24876.0,0.869,3744
51810,VA,"Virginia Beach city, VA",179851.0,15599.0,11892.0,0.762,3707
34005,NJ,"Burlington County, NJ",177222.0,12388.0,8705.0,0.703,3683
04005,AZ,"Coconino County, AZ",55118.0,9524.0,5857.0,0.615,3667
39173,OH,"Wood County, OH",54257.0,7423.0,3766.0,0.507,3657
37147,NC,"Pitt County, NC",74533.0,14974.0,11320.0,0.756,3654
13057,GA,"Cherokee County, GA",101514.0,7172.0,3534.0,0.493,3638
06081,CA,"San Mateo County, CA",264419.0,17036.0,13399.0,0.787,3637
34013,NJ,"Essex County, NJ",319788.0,51078.0,47471.0,0.929,3607
45013,SC,"Beaufort County, SC",82333.0,7860.0,4306.0,0.548,3554
13121,GA,"Fulton County, GA",462481.0,57308.0,53763.0,0.938,3545
45007,SC,"Anderson County, SC",83904.0,12405.0,8864.0,0.715,3541
37189,NC,"Watauga County, NC",21198.0,5115.0,1589.0,0.311,3526
12109,FL,"St. Johns County, FL",115794.0,8411.0,4890.0,0.581,3521
06083,CA,"Santa Barbara County, CA",149608.0,19709.0,16287.0,0.826,3422
18039,IN,"Elkhart County, IN",72309.0,8494.0,5087.0,0.599,3407
47187,TN,"Williamson County, TN",92214.0,5122.0,1728.0,0.337,3394
49053,UT,"Washington County, UT",69786.0,6494.0,3112.0,0.479,3382
29183,MO,"St. Charles County, MO",161311.0,9251.0,5871.0,0.635,3380
30031,MT,"Gallatin County, MT",51215.0,4792.0,1448.0,0.302,3344
48157,TX,"Fort Bend County, TX",292713.0,23263.0,19922.0,0.856,3341
18057,IN,"Hamilton County, IN",137252.0,6700.0,3433.0,0.512,3267
28059,MS,"Jackson County, MS",57647.0,8538.0,5291.0,0.62,3247
45091,SC,"York County, SC",113785.0,10633.0,7393.0,0.695,3240
27137,MN,"St. Louis County, MN",87115.0,12110.0,8885.0,0.734,3225
48329,TX,"Midland County, TX",67651.0,7953.0,4750.0,0.597,3203
