rank,lei,name,il_originations_2024
1,549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",9338
2,549300U3721PJGQZYY68,"GUARANTEED RATE, INC.",9021
3,549300HW662MN1WU8550,"UNITED SHORE FINANCIAL SERVICES, LLC",8956
4,549300VZVN841I2ILS84,"CROSSCOUNTRY MORTGAGE, INC.",5020
5,549300MGPZBLQDIL7538,Fairway Independent Mortgage Corporation,3963
6,549300AG64NHILB7ZP05,"Loandepot.Com, LLC",3521
7,549300E2UX99HKDBR481,"Broker Solutions, Inc.",2907
8,549300DD5QQUHO6PCH70,"Mortgage Research Center, LLC",2729
9,549300AQ3T62GXDU7D76,GUILD MORTGAGE COMPANY,2505
10,549300KIOYNU323LVJ37,AMERICAN PACIFIC MORTGAGE CORPORATION,2215
11,549300FNXYY540N23N64,NEWREZ LLC,1712
12,549300LXKO1O7CSK5J52,"FLAT BRANCH MORTGAGE, INC.",1632
13,RVDPPPGHCGZ40J4VQ731,"PENNYMAC LOAN SERVICES, LLC",1572
14,549300LBCBNR1OT00651,NATIONSTAR MORTGAGE LLC,1499
15,549300YAYQAARPBTRA72,"PROPER RATE, LLC",1411
16,549300VJ7C5JB4W87F48,"KEY MORTGAGE SERVICES, INC.",1392
17,549300LYRWPSYPK6S325,FREEDOM MORTGAGE CORPORATION,1171
18,549300ANF834QIIFUE57,"A & N MORTGAGE SERVICES, INC.",1162
19,254900UL88QFG0E40516,FIGURE LENDING LLC,1112
20,549300RN01LBYR8ZVX74,"LOWER, LLC",1108
21,5493000F6NFDOVVZP043,"FIRST STATE MORTGAGE SERVICES, LLC",1095
22,254900DTLHVWQ7NP7R34,"THE LOAN STORE, INC.",1079
23,549300RPOGWJRH63HS39,UNION HOME MORTGAGE CORP.,1072
24,549300R7HGHP2I754087,TOWNE MORTGAGE COMPANY,1043
25,549300OPCWU6E72WUT29,"MUTUAL OF OMAHA MORTGAGE, INC.",1033
26,254900RUCO27MVGTO768,Loan Funder LLC,993
27,54930001NSTOD85LT125,"GUARANTEED RATE AFFINITY, LLC",984
28,549300V8CF81JGIV7038,"COMPASS MORTGAGE, INC.",977
29,549300PL8ER6H23P0Z91,BAY EQUITY LLC,902
30,549300H3IZO24NSOO931,"LENNAR MORTGAGE, LLC",901
31,549300PIL8LFAQ04XC20,"SPRING EQ, LLC",874
32,5493001SXWZ4OFP8Z903,"DHI MORTGAGE COMPANY, LTD.",831
33,5493004T9SQFCNRQ2L76,DELMAR FINANCIAL COMPANY,616
34,5493004WMLN60ZJ2ON46,PULTE MORTGAGE LLC,598
35,549300AG10BX85DF5S49,MLD MORTGAGE INC.,590
36,549300323EON4W3CCM44,"RESICENTRAL, LLC",574
37,254900O2K17TNH5CL873,"RF RENOVO MANAGEMENT COMPANY, LLC",571
38,549300121SF0K2LN2804,"PRIMELENDING, A PLAINSCAPITAL COMPANY",537
39,5493000NYUJT9UC6G261,LEADERONE FINANCIAL CORPORATION,526
40,549300YIQ7S7Z8PIHE53,AmeriSave Mortgage Corporation,521
41,549300PXL1KA5TOL2O82,"M/I FINANCIAL, LLC",489
42,549300JYXTZDSPJEPI44,"PLAZA HOME MORTGAGE, INC.",475
43,25490066WMF8ZMQXQB18,"Lendage, LLC",443
44,2549007JZSAICH4GZJ60,POINT MORTGAGE CORPORATION,441
45,549300UKYJZO6CZXIX60,"UNITED HOME LOANS, INC.",437
46,5493005PKOSG7MYX0B34,"Prosperity Home Mortgage, LLC",409
47,5493001GDRY0EL7VG372,"ARK-LA-TEX FINANCIAL SERVICES, LLC.",408
48,549300R9S3MVDV4MGF56,"CARRINGTON MORTGAGE SERVICES, LLC",391
49,549300GKFNPRWNS0GF29,"CMG MORTGAGE, INC.",384
