name,hq,exam_date,exam_year,rating,ma_originations_2024,pe_url
"Rocket Mortgage, LLC","Detroit, MI",10/30/2025,2025,HS,5027,https://www.mass.gov/doc/rocket-mortgage-llc-mlci-performance-evaluation/download
"Guaranteed Rate, Inc.","Chicago, IL",7/20/2021,2021,S,4444,https://www.mass.gov/doc/guaranteed-rate-inc-mlci-performance-evaluation/download
"United Shore Financial Services, LLC d/b/a United Wholesale Mortgage","Pontiac, MI",9/9/2024,2024,S,3842,https://www.mass.gov/doc/united-wholesale-mortgage-llc-mlci-performance-evaluation/download
"CrossCountry Mortgage, LLC","Cleveland, OH",1/22/2025,2025,HS,3233,https://www.mass.gov/doc/crosscountry-mortgage-llc-mlci-performance-evaluation/download
Guild Mortgage Company LLC,"San Diego, CA",9/17/2024,2024,HS,2301,https://www.mass.gov/doc/guild-mortgage-company-llc-mlci-performance-evaluation/download
Fairway Independent Mortgage Corporation,"Madison, WI",9/3/2019,2019,S,2100,https://www.mass.gov/doc/fairway-independent-mortgage-corporation-mlci-public-evaluation-0/download
"Movement Mortgage, LLC","Indian Land, SC",12/3/2024,2024,S,1763,https://www.mass.gov/doc/movement-mortgage-llc-mlci-performance-evaluation/download
"CMG Mortgage, Inc.","San Ramon, CA",11/7/2023,2023,S,1625,https://www.mass.gov/doc/cmg-mortgage-inc-mlci-performance-evaluation/download
"Total Mortgage Services, LLC","Milford, CT",1/13/2014,2014,S,1327,https://www.mass.gov/doc/total-mortgage-services-mlci-public-evaluation/download
"loanDepot.com, LLC","Irvine, CA",3/21/2022,2022,S,1206,https://www.mass.gov/doc/loandepotcom-llc-mlci-performance-evaluation/download
NewRez LLC,"Fort Washington, PA",3/26/2019,2019,S,951,https://www.mass.gov/doc/newrez-llc-mlci-public-evaluation/download
Nationstar Mortgage LLC,"Dallas, TX",11/7/2024,2024,S,874,https://www.mass.gov/doc/nationstar-mortgage-llc-mlci-performance-evaluation/download
"PennyMac Loan Services, LLC","Westlake Village, CA",11/5/2025,2025,S,812,https://www.mass.gov/doc/pennymac-loan-services-llc-mlci-performance-evaluation/download
Freedom Mortgage Corporation,"Boca Raton, FL",1/16/2026,2026,S,740,https://www.mass.gov/doc/freedom-mortgage-corporation-mlci-performance-evaluation-0/download
"Guaranteed Rate Affinity, LLC","Chicago, IL",9/23/2021,2021,S,664,https://www.mass.gov/doc/guaranteed-rate-affinity-llc-mlci-performance-evaluation/download
"Radius Financial Group, Inc.","Norwell, MA",5/22/2026,2026,HS,594,https://www.mass.gov/doc/radius-financial-group-inc-mlci-performance-evaluation-0/download
"MSA Mortgage, LLC","Winthrop, MA",5/1/2025,2025,S,539,https://www.mass.gov/doc/msa-mortgage-llc-mlci-performance-evaluation/download
"Mutual of Omaha Mortgage, Inc.","San Diego, CA",9/8/2025,2025,S,510,https://www.mass.gov/doc/mutual-of-omaha-mortgage-inc-mlci-performance-evaluation/download
Figure Lending LLC,"Charlotte, NC",11/17/2022,2022,S,496,https://www.mass.gov/doc/figure-lending-llc-mlci-performance-evaluation/download
"Mortgage Research Center, LLC","Columbia, MO",7/14/2025,2025,S,492,https://www.mass.gov/doc/mortgage-research-center-llc-mlci-performance-evaluation/download
emm loans llc,"Cherry Hill, NJ",5/23/2022,2022,S,439,https://www.mass.gov/doc/emm-loans-llc-mlci-performance-evaluation/download
"Mortgage Equity Partners, LLC","Lynnfield, MA",2/17/2022,2022,S,431,https://www.mass.gov/doc/mortgage-equity-partners-llc-mlci-performance-evaluation/download
Washington Trust Mortgage Company LLC,"Westerly, RI",1/7/2025,2025,S,403,https://www.mass.gov/doc/washington-trust-mortgage-company-llc-mlci-performance-evaluation/download
New Fed Mortgage Corp.,"Danvers, MA",10/7/2025,2025,S,402,https://www.mass.gov/doc/new-fed-mortgage-corp-mlci-performance-evaluation-0/download
"Northpoint Mortgage, Inc.","Sturbridge, MA",11/8/2021,2021,S,316,https://www.mass.gov/doc/northpoint-mortgage-inc-mlci-performance-evaluation/download
"American Neighborhood Mortgage Acceptance Company, LLC","Mount Laurel, NJ",11/15/2021,2021,S,313,https://www.mass.gov/doc/american-neighborhood-mortgage-acceptance-company-llc-mlci-performance-evaluation/download
Amerisave Mortgage Corporation,"Atlanta, GA",7/20/2022,2022,S,304,https://www.mass.gov/doc/amerisave-mortgage-corporation-mlci-performance-evaluation/download
"OCMBC, INC.","Irvine, CA",11/14/2025,2025,S,271,https://www.mass.gov/doc/ocmbc-inc-mlci-performance-evaluation/download
"Lakeview Loan Servicing, LLC","Coral Gables, FL",1/17/2025,2025,S,257,https://www.mass.gov/doc/lakeview-loan-servicing-mlci-performance-evaluation/download
Bay Equity LLC,"Corte Madera, CA",8/15/2024,2024,S,249,https://www.mass.gov/doc/bay-equity-llc-mlci-performance-evaluation/download
"PrimeLending, a PlainsCapital Company","Dallas, TX",11/4/2024,2024,HS,246,https://www.mass.gov/doc/primelending-a-plainscapital-company-mlci-performance-evaluation/download
"NFM, Inc.","Linthicum, MD",1/3/2022,2022,S,226,https://www.mass.gov/doc/nfm-inc-mlci-performance-evaluation/download
