lender,hq,ma_originations_2024,ma_rating,exam_year,service_test,zero_cd_investment,strongly_encouraged,disclosed_giving,pe_url
"Movement Mortgage, LLC","Indian Land, SC",1763,S,2024,Needs to Improve,,,,https://www.mass.gov/doc/movement-mortgage-llc-mlci-performance-evaluation/download
"CMG Mortgage, Inc.","San Ramon, CA",1625,S,2023,Needs to Improve,,yes,,https://www.mass.gov/doc/cmg-mortgage-inc-mlci-performance-evaluation/download
"loanDepot.com, LLC","Irvine, CA",1206,S,2022,Needs to Improve,,yes,,https://www.mass.gov/doc/loandepotcom-llc-mlci-performance-evaluation/download
NewRez LLC,"Fort Washington, PA",951,S,2019,Needs to Improve,,yes,,https://www.mass.gov/doc/newrez-llc-mlci-public-evaluation/download
Nationstar Mortgage LLC,"Dallas, TX",874,S,2024,Needs to Improve,,yes,,https://www.mass.gov/doc/nationstar-mortgage-llc-mlci-performance-evaluation/download
"PennyMac Loan Services, LLC","Westlake Village, CA",812,S,2025,Needs to Improve,,yes,,https://www.mass.gov/doc/pennymac-loan-services-llc-mlci-performance-evaluation/download
Figure Lending LLC,"Charlotte, NC",496,S,2022,Needs to Improve,,,,https://www.mass.gov/doc/figure-lending-llc-mlci-performance-evaluation/download
emm loans llc,"Cherry Hill, NJ",439,S,2022,Needs to Improve,yes,yes,,https://www.mass.gov/doc/emm-loans-llc-mlci-performance-evaluation/download
New Fed Mortgage Corp.,"Danvers, MA",402,S,2025,Needs to Improve,,yes,,https://www.mass.gov/doc/new-fed-mortgage-corp-mlci-performance-evaluation-0/download
"American Neighborhood Mortgage Acceptance Company, LLC","Mount Laurel, NJ",313,S,2021,Needs to Improve,,,,https://www.mass.gov/doc/american-neighborhood-mortgage-acceptance-company-llc-mlci-performance-evaluation/download
Amerisave Mortgage Corporation,"Atlanta, GA",304,S,2022,Needs to Improve,,,,https://www.mass.gov/doc/amerisave-mortgage-corporation-mlci-performance-evaluation/download
"OCMBC, INC.","Irvine, CA",271,S,2025,Needs to Improve,,yes,,https://www.mass.gov/doc/ocmbc-inc-mlci-performance-evaluation/download
"William Raveis Mortgage, LLC","Shelton, CT",197,S,2024,Needs to Improve,,yes,,https://www.mass.gov/doc/william-raveis-mortgage-llc-mlci-performance-evaluation-0/download
"Paramount Residential Mortgage Group, Inc.","Corona, CA",186,S,2023,Needs to Improve,,yes,,https://www.mass.gov/doc/paramount-residential-mortgage-group-inc-mlci-performance-evaluation/download
"American Financial Network, Inc.","Brea, CA",173,S,2023,Needs to Improve,,yes,,https://www.mass.gov/doc/american-financial-network-inc-mlci-performance-evaluation/download
"Envoy Mortgage, LTD","Houston, TX",162,S,2021,Needs to Improve,,yes,,https://www.mass.gov/doc/envoy-mortgage-ltd-mlci-performance-evaluation/download
Finance of America Reverse LLC d/b/a FAR,"Tulsa, OK",150,S,2022,Needs to Improve,,yes,,https://www.mass.gov/doc/finance-of-america-reverse-llc-mlci-performance-evaluation/download
"Sierra Pacific Mortgage Company, Inc.","Folsom, CA",144,S,2024,Needs to Improve,,yes,,https://www.mass.gov/doc/sierra-pacific-mortgage-company-inc-mlci-performance-evaluation/download
"Semper Home Loans, LLC","Providence, RI",107,S,2024,Needs to Improve,,yes,,https://www.mass.gov/doc/semper-home-loans-inc-mlci-performance-evaluation/download
"Primary Residential Mortgage, Inc.","Salt Lake City, UT",99,S,2022,Needs to Improve,,yes,,https://www.mass.gov/doc/primary-residential-mortgage-inc-mlci-performance-evaluation/download
Arc Home LLC,"Moorestown, NJ",90,S,2024,Needs to Improve,,yes,,https://www.mass.gov/doc/arc-home-llc-mlci-performance-evaluation/download
LeaderOne Financial Corporation,"Overland Park, KS",90,S,2022,Needs to Improve,,,,https://www.mass.gov/doc/leaderone-financial-corporation-mlci-performance-evaluation/download
"MLD Mortgage, Inc.","Florham Park, NJ",84,NI,2022,Needs to Improve,,yes,,https://www.mass.gov/doc/mld-mortgage-inc-mlci-performance-evaluation/download
"Reliance First Capital, LLC","Melville, NY",83,S,2022,Needs to Improve,,yes,,https://www.mass.gov/doc/reliance-first-capital-llc-mlci-performance-evaluation/download
Nations Lending Corporation,"Independence, OH",78,S,2022,Needs to Improve,,yes,,https://www.mass.gov/doc/nations-lending-corporation-mlci-performance-evaluation/download
"Guidance Residential, LLC","Reston, VA",59,S,2023,Needs to Improve,,yes,,https://www.mass.gov/doc/guidance-residential-llc-mlci-performance-evaluation/download
"Allied Mortgage Group, Inc.","Bala Cynwyd, PA",55,S,2023,Needs to Improve,,yes,,https://www.mass.gov/doc/allied-mortgage-group-inc-mlci-performance-evaluation/download
Academy Mortgage Corporation,"Draper, UT",0,S,2023,Needs to Improve,,,,https://www.mass.gov/doc/academy-mortgage-corporation-mlci-performance-evaluation/download
"American Internet Mortgage, Inc.","San Diego, CA",0,S,2020,Needs to Improve,,,,https://www.mass.gov/doc/american-internet-mortgage-inc-mlci-public-evaluation-0/download
"Caliber Home Loans, Inc.","Coppell, TX",0,S,2023,Needs to Improve,,yes,,https://www.mass.gov/doc/caliber-home-loans-inc-mlci-performance-evaluation/download
"Everett Financial, Inc.","Dallas, TX",0,S,2024,Needs to Improve,,yes,,https://www.mass.gov/doc/everett-financial-inc-mlci-performance-evaluation/download
Finance of America Mortgage LLC,"Conshohocken, PA",0,S,2022,Needs to Improve,,,,https://www.mass.gov/doc/finance-of-america-mortgage-llc-mlci-performance-evaluation/download
First Guaranty Mortgage Corporation,"Dallas, TX",0,S,2022,Needs to Improve,,yes,,https://www.mass.gov/doc/first-guaranty-mortgage-corporation-mlci-performance-evaluation/download
Homespire Mortgage Corporation,"Gaithersburg, MD",0,S,2023,Needs to Improve,,yes,,https://www.mass.gov/doc/homespire-mortgage-corporation-mlci-performance-evaluation/download
"Keller Mortgage, LLC","Dublin, OH",0,S,2023,Needs to Improve,,,,https://www.mass.gov/doc/keller-mortgage-llc-mlci-performance-evaluation/download
"New Day Financial, LLC","Fulton, MD",0,S,2020,Needs to Improve,,,,https://www.mass.gov/doc/new-day-financial-llc-mlci-public-evaluation/download
"Northeast Home Loan, LLC","West Chesterfield, NH",0,NI,2021,Needs to Improve,yes,yes,,https://www.mass.gov/doc/northeast-home-loan-llc-mlci-performance-evaluation/download
"Provident Funding Associates, LP","Santa Rosa, CA",0,NI,2023,Needs to Improve,,yes,,https://www.mass.gov/doc/provident-funding-associates-lp-mlci-performance-evaluation/download
"Rocket Mortgage, LLC","Detroit, MI",5027,HS,2025,,,,~$2.6M financial contributions,https://www.mass.gov/doc/rocket-mortgage-llc-mlci-performance-evaluation/download
"Guaranteed Rate, Inc.","Chicago, IL",4444,S,2021,Satisfactory,,,"$74,824 MA + $6.7M national (Feeding America, Baby2Baby)",https://www.mass.gov/doc/guaranteed-rate-inc-mlci-performance-evaluation/download
"United Shore Financial Services, LLC d/b/a United Wholesale Mortgage","Pontiac, MI",3842,S,2024,,,,,https://www.mass.gov/doc/united-wholesale-mortgage-llc-mlci-performance-evaluation/download
"CrossCountry Mortgage, LLC","Cleveland, OH",3233,HS,2025,,,,,https://www.mass.gov/doc/crosscountry-mortgage-llc-mlci-performance-evaluation/download
Guild Mortgage Company LLC,"San Diego, CA",2301,HS,2024,High Satisfactory,,yes,"$5,000/yr to MMBA",https://www.mass.gov/doc/guild-mortgage-company-llc-mlci-performance-evaluation/download
Fairway Independent Mortgage Corporation,"Madison, WI",2100,S,2019,,,,,https://www.mass.gov/doc/fairway-independent-mortgage-corporation-mlci-public-evaluation-0/download
"Total Mortgage Services, LLC","Milford, CT",1327,S,2014,,yes,yes,none,https://www.mass.gov/doc/total-mortgage-services-mlci-public-evaluation/download
Freedom Mortgage Corporation,"Boca Raton, FL",740,S,2026,Satisfactory,,yes,,https://www.mass.gov/doc/freedom-mortgage-corporation-mlci-performance-evaluation-0/download
"Guaranteed Rate Affinity, LLC","Chicago, IL",664,S,2021,Satisfactory,,,"$74,824 MA + $6.7M national (Feeding America, Baby2Baby)",https://www.mass.gov/doc/guaranteed-rate-affinity-llc-mlci-performance-evaluation/download
"Radius Financial Group, Inc.","Norwell, MA",594,HS,2026,,,yes,,https://www.mass.gov/doc/radius-financial-group-inc-mlci-performance-evaluation-0/download
"MSA Mortgage, LLC","Winthrop, MA",539,S,2025,,,,,https://www.mass.gov/doc/msa-mortgage-llc-mlci-performance-evaluation/download
"Mutual of Omaha Mortgage, Inc.","San Diego, CA",510,S,2025,,,,,https://www.mass.gov/doc/mutual-of-omaha-mortgage-inc-mlci-performance-evaluation/download
"Mortgage Research Center, LLC","Columbia, MO",492,S,2025,Satisfactory,,,,https://www.mass.gov/doc/mortgage-research-center-llc-mlci-performance-evaluation/download
"Mortgage Equity Partners, LLC","Lynnfield, MA",431,S,2022,Satisfactory,,,"~$1,600",https://www.mass.gov/doc/mortgage-equity-partners-llc-mlci-performance-evaluation/download
Washington Trust Mortgage Company LLC,"Westerly, RI",403,S,2025,,,,,https://www.mass.gov/doc/washington-trust-mortgage-company-llc-mlci-performance-evaluation/download
"Northpoint Mortgage, Inc.","Sturbridge, MA",316,S,2021,,,,,https://www.mass.gov/doc/northpoint-mortgage-inc-mlci-performance-evaluation/download
"Lakeview Loan Servicing, LLC","Coral Gables, FL",257,S,2025,,,,,https://www.mass.gov/doc/lakeview-loan-servicing-mlci-performance-evaluation/download
Bay Equity LLC,"Corte Madera, CA",249,S,2024,High Satisfactory,,,"~$8,030",https://www.mass.gov/doc/bay-equity-llc-mlci-performance-evaluation/download
"PrimeLending, a PlainsCapital Company","Dallas, TX",246,HS,2024,High Satisfactory,,,"~$18,250",https://www.mass.gov/doc/primelending-a-plainscapital-company-mlci-performance-evaluation/download
"NFM, Inc.","Linthicum, MD",226,S,2022,,,,,https://www.mass.gov/doc/nfm-inc-mlci-performance-evaluation/download
"Norwich Commercial Group, Inc.","Avon, CT",209,HS,2023,,,,,https://www.mass.gov/doc/norwich-commercial-group-inc-mlci-performance-evaluation/download
First Home Mortgage Corporation,"Baltimore, MD",206,S,2015,,,,,https://www.mass.gov/doc/first-home-mortgage-corporation/download
"Embrace Home Loans, Inc.","Middletown, RI",201,S,2024,,,,,https://www.mass.gov/doc/embrace-home-loans-inc-mlci-performance-evaluation/download
"Drew Mortgage Associates, Inc.","Shrewsbury, MA",171,S,2025,,,,,https://www.mass.gov/doc/drew-mortgage-associates-inc-mlci-performance-evaluation/download
"HomeBridge Financial Services, Inc.","Iselin, NJ",163,S,2021,,,,,https://www.mass.gov/doc/homebridge-financial-services-inc-mlci-performance-evaluation/download
Homestead Funding Corp.,"Albany, NY",163,S,2023,,,yes,,https://www.mass.gov/doc/homestead-funding-corp-mlci-performance-evaluation/download
"Longbridge Financial, LLC","Mahwah, NJ",162,S,2022,,,,,https://www.mass.gov/doc/longbridge-financial-llc-mlci-performance-evaluation/download
"Member Advantage Mortgage, LLC","Grand Rapids, MI",139,S,2019,,,,,https://www.mass.gov/doc/member-advantage-mortgage-llc-mlci-public-evaluation-0/download
"Plaza Home Mortgage, Inc.","San Diego, CA",135,S,2021,,,,,https://www.mass.gov/doc/plaza-home-mortgage-inc-mlci-performance-evaluation/download
"Ark-La-Tex Financial Services, LLC","Plano, TX",125,S,2015,,,,,https://www.mass.gov/doc/ark-la-tex-financial-services-llc-mlci-public-evaluation/download
"Cardinal Financial Company, Limited Partnership","Charlotte, NC",124,S,2024,,,,,https://www.mass.gov/doc/cardinal-financial-company-limited-partnership-mlci-performance-evaluation/download
"Pulte Mortgage, LLC","Englewood, CO",124,S,2023,,,,,https://www.mass.gov/doc/pulte-mortgage-llc-mlci-performance-evaluation/download
PHH Mortgage Corporation,"Mount Laurel, NJ",118,S,2023,,,,,https://www.mass.gov/doc/phh-mortgage-corporation-mlci-performance-evaluation/download
"Members Mortgage Company, Inc.","Stoneham, MA",96,S,2021,,,,,https://www.mass.gov/doc/members-mortgage-company-inc-mlci-performance-evaluation/download
"Ross Mortgage Company, Inc.","Westborough, MA",85,S,2025,,,,,https://www.mass.gov/doc/ross-mortgage-company-inc-mlci-performance-evaluation/download
"Province Mortgage Associates, Inc.","East Providence, RI",79,S,2025,,,,,https://www.mass.gov/doc/province-mortgage-associates-inc-mlci-performance-evaluation-0/download
AmWest Funding Corp.,"Brea, CA",77,S,2026,,,,,https://www.mass.gov/doc/amwest-funding-corp-mlci-performance-evaluation/download
"Geneva Financial, LLC","Chandler, AZ",69,S,2025,,,,,https://www.mass.gov/doc/geneva-financial-llc-mlci-performance-evaluation/download
"Equity Resources, Inc.","Newark, OH",60,S,2024,,,,,https://www.mass.gov/doc/equity-resources-inc-mlci-performance-evaluation/download
Republic State Mortgage Co.,"Houston, TX",57,S,2024,,,,,https://www.mass.gov/doc/republic-state-mortgage-co-mlci-performance-evaluation-0/download
"American Financial Resources, Inc.","Parsippany, NJ",0,S,2016,,,,,https://www.mass.gov/doc/american-financial-resources-mlci-public-evaluation/download
American Financing Corporation,"Aurora, CO",0,S,2024,,,,,https://www.mass.gov/doc/american-financing-corporation-mlci-performance-evaluation/download
"American Nationwide Mortgage Company, Inc.","Tampa, FL",0,S,2020,,,,,https://www.mass.gov/doc/american-nationwide-mortgage-company-inc-mlci-performance-evaluation/download
"Conway Financial Services, LLC","Norwell, MA",0,S,2019,,,,,https://www.mass.gov/doc/conway-financial-services-llc-mlci-public-evaluation/download
Draper and Kramer Mortgage Corp.,"Downers Grove, IL",0,S,2021,,,,,https://www.mass.gov/doc/draper-and-kramer-mortgage-corp-mlci-performance-evaluation/download
"Equity Prime Mortgage, LLC","Atlanta, GA",0,HS,2019,,,,,https://www.mass.gov/doc/equity-prime-mortgage-llc-mlci-public-evaluation/download
"FBC Mortgage, LLC","Orlando, FL",0,NI,2022,,,yes,,https://www.mass.gov/doc/fbc-mortgage-llc-mlci-performance-evaluation/download
Home Point Financial Corporation,"Ann Arbor, MI",0,S,2022,,,yes,,https://www.mass.gov/doc/home-point-financial-corporation-mlci-performance-evaluation/download
"J.G. Wentworth Home Lending, LLC","Woodbridge, VA",0,S,2019,,,,,https://www.mass.gov/doc/jg-wentworth-home-lending-llc-mlci-public-evaluation/download
"LendUS, LLC","Alamo, CA",0,S,2020,,,,,https://www.mass.gov/doc/lendus-llc-mlci-public-evaluation/download
Luxury Mortgage Corp.,"Stamford, CT",0,S,2021,,,yes,,https://www.mass.gov/doc/luxury-mortgage-corp-mlci-performance-evaluation/download
Mid-Island Mortgage Corp.,"Westbury, NY",0,S,2021,,,,,https://www.mass.gov/doc/mid-island-mortgage-corp-mlci-performance-evaluation/download
"MiLend, Inc.","Atlanta, GA",0,NI,2017,,yes,,,https://www.mass.gov/doc/milend-inc-cra-public-evaluation/download
"Monument Mortgage Company, Inc.","Lexington, MA",0,S,2009,,,,,https://www.mass.gov/doc/monument-mortgage-co-mlci-public-evaluation/download
"Mortgage Network, Inc.","Danvers, MA",0,S,2021,,,,,https://www.mass.gov/doc/mortgage-network-inc-mlci-performance-evaluation/download
"New American Funding, LLC","Santa Ana, CA",0,S,2026,,,,,https://www.mass.gov/doc/new-american-funding-llc-mlci-performance-evaluation/download
"Poli Mortgage Group, Inc.","Norwood, MA",0,NI,2023,,,,,https://www.mass.gov/doc/poli-mortgage-group-inc-mlci-performance-evaluation/download
Shamrock Financial Corporation,"East Providence, RI",0,S,2021,,,,,https://www.mass.gov/doc/shamrock-home-loans-inc-mlci-performance-evaluation/download
"Top Flite Financial, Inc.","Williamston, MI",0,S,2025,,,,,https://www.mass.gov/doc/top-flite-financial-inc-mlci-performance-evaluation/download
Toll Brothers Mortgage Company,"Fort Washington, PA",0,NI,2023,,,,,https://www.mass.gov/doc/toll-brothers-mortgage-company-mlci-performance-evaluation/download
"Zillow Home Loans, LLC","Overland Park, KS",0,S,2013,,,,,https://www.mass.gov/doc/mortgage-lenders-of-america-llc-mlci-public-evaluation/download
