rank,lei,name,originations_2024
1,549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",5027
2,549300U3721PJGQZYY68,"GUARANTEED RATE, INC.",4444
3,549300HW662MN1WU8550,"UNITED SHORE FINANCIAL SERVICES, LLC",3842
4,549300VZVN841I2ILS84,"CROSSCOUNTRY MORTGAGE, INC.",3233
5,549300AQ3T62GXDU7D76,GUILD MORTGAGE COMPANY,2301
6,549300MGPZBLQDIL7538,Fairway Independent Mortgage Corporation,2100
7,549300DD4R4SYK5RAQ92,"MOVEMENT MORTGAGE, LLC",1763
8,549300GKFNPRWNS0GF29,"CMG MORTGAGE, INC.",1625
9,549300VJQJVZKJBDWS17,"TOTAL MORTGAGE SERVICES, LLC",1327
10,549300H8H31LPYGJEW50,"SALEM FIVE MORTGAGE COMPANY, LLC",1256
11,549300AG64NHILB7ZP05,"Loandepot.Com, LLC",1206
12,549300FNXYY540N23N64,NEWREZ LLC,951
13,549300LBCBNR1OT00651,NATIONSTAR MORTGAGE LLC,874
14,549300E2UX99HKDBR481,"Broker Solutions, Inc.",850
15,RVDPPPGHCGZ40J4VQ731,"PENNYMAC LOAN SERVICES, LLC",812
16,549300DAUXQ2DCY4H838,"HARBORONE MORTGAGE, LLC",759
17,549300LYRWPSYPK6S325,FREEDOM MORTGAGE CORPORATION,740
18,54930001NSTOD85LT125,"GUARANTEED RATE AFFINITY, LLC",664
19,549300SYR11CYON0JE74,"BAYCOAST MORTGAGE COMPANY, LLC",610
20,549300GCEUZLVML1J263,RADIUS FINANCIAL GROUP INC.,594
21,549300CHBB3GN7JFXU86,"MSA MORTGAGE, LLC",539
22,549300OPCWU6E72WUT29,"MUTUAL OF OMAHA MORTGAGE, INC.",510
23,254900UL88QFG0E40516,FIGURE LENDING LLC,496
24,549300DD5QQUHO6PCH70,"Mortgage Research Center, LLC",492
25,549300EMNDEK4BA8WB53,EMM LOANS LLC,439
26,549300GE8KIGZVQV1223,MORTGAGE EQUITY PARTNERS LLC,431
27,549300L0OVX5O63S8C68,WASHINGTON TRUST MORTGAGE COMPANY LLC,403
28,549300TB3TMP4RV5T078,"NEW FED MORTGAGE, CORP.",402
29,549300S0KDQNIC08M074,UMASSFIVE COLLEGE,356
30,5493008PQSMR41Y70C36,"AMERANT MORTGAGE, LLC",345
31,254900O2K17TNH5CL873,"RF RENOVO MANAGEMENT COMPANY, LLC",342
32,549300JI0UWY4QIWDV89,"NORTHPOINT MORTGAGE, INC.",316
33,549300F8C5JA44WNMI75,AMERICAN NEIGHBORHOOD MORTGAGE ACCEPTANCE COMPANY LLC,313
34,549300YIQ7S7Z8PIHE53,AmeriSave Mortgage Corporation,304
35,549300QKL5FUBZ8LSF50,"NATIONS DIRECT MORTGAGE, LLC",296
36,549300J7I82PNDVU8H22,"OCMBC, INC.",271
37,549300NOCASXPA34X033,"LAKEVIEW LOAN SERVICING, LLC",257
38,549300PL8ER6H23P0Z91,BAY EQUITY LLC,249
39,549300121SF0K2LN2804,"PRIMELENDING, A PLAINSCAPITAL COMPANY",246
40,549300MCIFZSDHUT8X63,"NFM, INC.",226
41,549300T5QSL6MC8M4D04,"NORWICH COMMERCIAL GROUP, INC.",209
42,549300GPO6DWUZR4UY30,FIRST HOME MORTGAGE CORPORATION,206
43,549300PIL8LFAQ04XC20,"SPRING EQ, LLC",203
44,213800QUAI2VH5YM6310,"EMBRACE HOME LOANS, INC.",201
45,549300R0SXC1JU7ZU290,"FIRST COMMUNITY MORTGAGE, INC.",198
46,5493009OLY1HC3F0SB77,"WILLIAM RAVEIS MORTGAGE, LLC",197
