lender,service_test,zero_cd_investment,limited_cd,strongly_encouraged,disclosed_giving
Rocket Mortgage,,,,,~$2.6M financial contributions
Guaranteed Rate,Satisfactory,,,,"$74,824 MA + $6.7M national (Feeding America, Baby2Baby)"
PrimeLending,High Satisfactory,,,,"~$18,250"
Bay Equity,High Satisfactory,,,,"~$8,030"
Guild Mortgage,High Satisfactory,,,yes,"$5,000/yr to MMBA"
Mortgage Equity Partners,Satisfactory,,,,"~$1,600"
Total Mortgage Services,,yes,,yes,none
EMM Loans,Needs to Improve,yes,,yes,
NFM Inc,Needs to Improve,yes,,yes,
MiLend,,yes,,,
Northeast Home Loan,Needs to Improve,yes,,yes,
Zillow Home Loans (Mortgage Lenders of America),,yes,,,
loanDepot.com,Needs to Improve,,yes,yes,
NewRez,Needs to Improve,,yes,yes,
Movement Mortgage,Needs to Improve,,,,
CMG Mortgage,Needs to Improve,,,yes,
Nationstar Mortgage,Needs to Improve,,,yes,
PennyMac Loan Services,Needs to Improve,,,yes,
Figure Lending,Needs to Improve,,,,
New Fed Mortgage,Needs to Improve,,yes,yes,
American Neighborhood Mortgage,Needs to Improve,,,,
Amerisave Mortgage,Needs to Improve,,,,
OCMBC,Needs to Improve,,,yes,
William Raveis Mortgage,Needs to Improve,,yes,yes,
Paramount Residential Mortgage,Needs to Improve,,yes,yes,
American Financial Network,Needs to Improve,,,yes,
Envoy Mortgage,Needs to Improve,,,yes,
Finance of America Reverse,Needs to Improve,,,yes,
Sierra Pacific Mortgage,Needs to Improve,,,yes,
Semper Home Loans,Needs to Improve,,,yes,
Primary Residential Mortgage,Needs to Improve,,yes,yes,
Arc Home,Needs to Improve,,,yes,
LeaderOne Financial,Needs to Improve,,,,
MLD Mortgage,Needs to Improve,,,yes,
Reliance First Capital,Needs to Improve,,,yes,
Nations Lending,Needs to Improve,,,yes,
Guidance Residential,Needs to Improve,,,yes,
Allied Mortgage Group,Needs to Improve,,,yes,
Academy Mortgage,Needs to Improve,,,,
American Internet Mortgage,Needs to Improve,,,,
Caliber Home Loans,Needs to Improve,,,yes,
Everett Financial,Needs to Improve,,,yes,
Finance of America Mortgage,Needs to Improve,,,,
First Guaranty Mortgage,Needs to Improve,,,yes,
Homespire Mortgage,Needs to Improve,,,yes,
JG Wentworth Home Lending,Needs to Improve,,,,
Keller Mortgage,Needs to Improve,,,,
New Day Financial,Needs to Improve,,,,
Provident Funding Associates,Needs to Improve,,,yes,
Homestead Funding,,,yes,yes,
First Home Mortgage,,,yes,,
Radius Financial Group,,,,yes,
Freedom Mortgage,Satisfactory,,,yes,
Home Point Financial,,,,yes,
Luxury Mortgage,,,,yes,
FBC Mortgage,,,,yes,
Mortgage Research Center,Satisfactory,,,,
