rank,lei,name,originations_2024
1,549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",11366
2,549300HW662MN1WU8550,"UNITED SHORE FINANCIAL SERVICES, LLC",10994
3,254900XN7UWEWK13RO81,PREMIUM MORTGAGE CORPORATION,4738
4,549300VZVN841I2ILS84,"CROSSCOUNTRY MORTGAGE, INC.",4716
5,549300T3F9S1MKFKHC53,HOMESTEAD FUNDING CORP.,3966
6,549300LLKEKXL2RM1F61,CONTOUR MORTGAGE CORPORATION,2069
7,549300FNXYY540N23N64,NEWREZ LLC,1907
8,549300DD4R4SYK5RAQ92,"MOVEMENT MORTGAGE, LLC",1860
9,254900RUCO27MVGTO768,Loan Funder LLC,1851
10,549300CLRXFVF83ZL806,"NATIONWIDE MORTGAGE BANKERS, INC.",1703
11,549300AG64NHILB7ZP05,"Loandepot.Com, LLC",1626
12,549300JYXTZDSPJEPI44,"PLAZA HOME MORTGAGE, INC.",1616
13,RVDPPPGHCGZ40J4VQ731,"PENNYMAC LOAN SERVICES, LLC",1451
14,549300ZGZ9WQMJLEPH17,"1ST PRIORITY MORTGAGE, INC.",1424
15,549300121SF0K2LN2804,"PRIMELENDING, A PLAINSCAPITAL COMPANY",1387
16,549300BRR67NLTQSBT29,"HOME TOWN FUNDING, INC.",1051
17,549300U3721PJGQZYY68,"GUARANTEED RATE, INC.",1044
18,549300T5QSL6MC8M4D04,"NORWICH COMMERCIAL GROUP, INC.",970
19,549300VORTI31GZTJL53,"CARDINAL FINANCIAL COMPANY, LIMITED PARTNERSHIP",969
20,5493008TO7JB5Q4IKZ94,HUNT MORTGAGE CORPORATION,914
21,549300GKFNPRWNS0GF29,"CMG MORTGAGE, INC.",895
22,549300LBCBNR1OT00651,NATIONSTAR MORTGAGE LLC,866
23,5493005ICQ3QGEIWV618,UNITED MORTGAGE CORP.,863
24,2549008X67CV1MNM7747,MEADOWBROOK FINANCIAL MORTGAGE BANKERS CORP.,858
25,549300MGPZBLQDIL7538,Fairway Independent Mortgage Corporation,814
26,549300HTMO7FGRKRLV06,"CLIFFCO, INC.",809
27,254900ACUWEGW702BR80,"FM Home Loans, LLC",772
28,549300NWYTCEH9RSSW54,SUFFOLK,766
29,5493008NWHQT1R22C024,"AMERICAN FINANCIAL NETWORK, INC.",752
30,2549005SIVTHG14U2905,A&D Mortgage LLC,743
31,549300DD5QQUHO6PCH70,"Mortgage Research Center, LLC",735
32,549300XWUSRVVOHPRY47,"EVERETT FINANCIAL, INC.",711
33,549300LI3FDGO7UKFF39,EAST COAST CAPITAL CORP.,702
34,549300TCY9QY8BRDQJ12,UNITED NORTHERN MORTGAGE BANKERS LIMITED,691
35,5493001WHVQBGRSWEU75,"HOMEBRIDGE FINANCIAL SERVICES, INC.",688
36,5493008VCYW25D52ZC98,"ARK MORTGAGE, INC.",596
37,213800QUAI2VH5YM6310,"EMBRACE HOME LOANS, INC.",578
38,2549002VH9C0PKB8K153,Logan Finance Corporation,566
39,549300YW2UBCMDRMBT48,"RELIANCE FIRST CAPITAL, LLC",550
40,5493007G2SOD8W9RK547,FIRST NEW YORK,473
41,549300EZIROI6ZF7B419,FAMILY FIRST OF NY,422
42,549300XQVJ1XBNFA5536,21st Mortgage Corporation,386
43,549300S5NLOTO329NX77,"Farm Credit East, ACA",379
44,549300R9S3MVDV4MGF56,"CARRINGTON MORTGAGE SERVICES, LLC",375
45,5493006VAGP3GQ8FJT49,"Kiavi Funding, Inc.",373
46,549300S5YL3OH0IVCS62,FINANCE OF AMERICA REVERSE LLC,371
47,549300JZD4L02YZI3Z50,NJ LENDERS CORP.,367
48,254900VE4XTOQUE8NZ77,ICE LENDER HOLDINGS LLC,362
49,549300RA3E0BUFO7YZ21,"Hometown Equity Mortgage, LLC",355
50,254900JXCS783CPF1D02,"RCN Capital, LLC",354
51,54930048P8RWCQHQM310,ARC HOME LLC,346
52,549300E2UX99HKDBR481,"Broker Solutions, Inc.",342
53,549300F8C5JA44WNMI75,AMERICAN NEIGHBORHOOD MORTGAGE ACCEPTANCE COMPANY LLC,333
54,549300LYRWPSYPK6S325,FREEDOM MORTGAGE CORPORATION,328
55,549300CB67L6KPJLHE19,"TRIAD FINANCIAL SERVICES, INC.",315
56,549300VGMMXKSX821O69,"HARTFORD FUNDING, LTD.",305
57,54930001NSTOD85LT125,"GUARANTEED RATE AFFINITY, LLC",294
58,549300QPD4M26VIOFU53,SUMMIT MORTGAGE BANKERS INC.,293
59,54930039IUN6515TBG78,US MORTGAGE CORPORATION,277
60,984500F6E6940CCB6A60,Emporium TPO LLC,276
61,549300TA4MQM8WN2XG31,"VELOCITY COMMERCIAL CAPITAL, LLC",276
62,549300U4FBW37LFHW771,JET DIRECT FUNDING CORP,271
63,2549004Z576VEJBK3N72,"NQM FUNDING, LLC",265
64,549300NZ2IPWRMLAYZ30,MID-ISLAND MORTGAGE CORP.,259
65,5493005PD34O8ZT7QT17,"BPL MORTGAGE TRUST, LLC",244
66,549300UG7QXKM7KGV847,ROYAL UNITED MORTGAGE LLC,243
67,549300D4ZYLSQ5LMTV35,ABSOLUTE HOME MORTGAGE CORPORATION,240
68,2549001NJY765EZWDI06,"RELIANT HOME FUNDING, INC",228
69,254900GXB4AVD3FPHO33,Investor Mortgage Finance LLC,214
70,54930021WPEXNHYZUL09,"PLANET HOME LENDING, LLC",205
