lender,states_covered,ma,ny,il,total
"Rocket Mortgage, LLC",3,5027,11366,9338,25731
"UNITED SHORE FINANCIAL SERVICES, LLC",3,3842,10994,8956,23792
"GUARANTEED RATE, INC.",3,4444,1044,9021,14509
"CROSSCOUNTRY MORTGAGE, INC.",3,3233,4716,5020,12969
Fairway Independent Mortgage Corporation,3,2100,814,3963,6877
"Loandepot.Com, LLC",3,1206,1626,3521,6353
NEWREZ LLC,3,951,1907,1712,4570
"Broker Solutions, Inc.",3,850,342,2907,4099
"MOVEMENT MORTGAGE, LLC",3,1763,1860,380,4003
"Mortgage Research Center, LLC",3,492,735,2729,3956
"PENNYMAC LOAN SERVICES, LLC",3,812,1451,1572,3835
NATIONSTAR MORTGAGE LLC,3,874,866,1499,3239
Loan Funder LLC,3,114,1851,993,2958
"CMG MORTGAGE, INC.",3,1625,895,384,2904
FREEDOM MORTGAGE CORPORATION,3,740,328,1171,2239
"PLAZA HOME MORTGAGE, INC.",3,135,1616,475,2226
"PRIMELENDING, A PLAINSCAPITAL COMPANY",3,246,1387,537,2170
"GUARANTEED RATE AFFINITY, LLC",3,664,294,984,1942
"CARDINAL FINANCIAL COMPANY, LIMITED PARTNERSHIP",3,124,969,266,1359
"NORWICH COMMERCIAL GROUP, INC.",3,209,970,53,1232
"AMERICAN FINANCIAL NETWORK, INC.",3,173,752,286,1211
"HOMEBRIDGE FINANCIAL SERVICES, INC.",3,163,688,141,992
A&D Mortgage LLC,3,72,743,99,914
"Kiavi Funding, Inc.",3,171,373,347,891
"RCN Capital, LLC",3,144,354,292,790
AMERICAN NEIGHBORHOOD MORTGAGE ACCEPTANCE COMPANY LLC,3,313,333,66,712
FINANCE OF AMERICA REVERSE LLC,3,150,371,101,622
"VELOCITY COMMERCIAL CAPITAL, LLC",3,54,276,146,476
GUILD MORTGAGE COMPANY,2,2301,0,2505,4806
HOMESTEAD FUNDING CORP.,2,163,3966,0,4129
FIGURE LENDING LLC,2,496,0,1112,1608
"MUTUAL OF OMAHA MORTGAGE, INC.",2,510,0,1033,1543
"LOWER, LLC",2,83,0,1108,1191
BAY EQUITY LLC,2,249,0,902,1151
UNION HOME MORTGAGE CORP.,2,69,0,1072,1141
"SPRING EQ, LLC",2,203,0,874,1077
"RF RENOVO MANAGEMENT COMPANY, LLC",2,342,0,571,913
AmeriSave Mortgage Corporation,2,304,0,521,825
"EMBRACE HOME LOANS, INC.",2,201,578,0,779
"CARRINGTON MORTGAGE SERVICES, LLC",2,0,375,391,766
"EVERETT FINANCIAL, INC.",2,0,711,53,764
PULTE MORTGAGE LLC,2,124,0,598,722
21st Mortgage Corporation,2,0,386,332,718
MLD MORTGAGE INC.,2,84,0,590,674
"TRIAD FINANCIAL SERVICES, INC.",2,0,315,339,654
"OCMBC, INC.",2,271,0,372,643
"RELIANCE FIRST CAPITAL, LLC",2,83,550,0,633
"BPL MORTGAGE TRUST, LLC",2,0,244,378,622
LEADERONE FINANCIAL CORPORATION,2,90,0,526,616
"ARK-LA-TEX FINANCIAL SERVICES, LLC.",2,125,0,408,533
ROYAL UNITED MORTGAGE LLC,2,0,243,277,520
"LAKEVIEW LOAN SERVICING, LLC",2,257,0,257,514
"Prosperity Home Mortgage, LLC",2,94,0,409,503
T2 FINANCIAL LLC,2,153,0,350,503
"PLANET HOME LENDING, LLC",2,0,205,234,439
ARC HOME LLC,2,90,346,0,436
"Hometown Equity Mortgage, LLC",2,0,355,50,405
"Paramount Residential Mortgage Group, Inc.",2,186,0,203,389
"NATIONS DIRECT MORTGAGE, LLC",2,296,0,65,361
"ENVOY MORTGAGE, LTD",2,162,0,199,361
VILLAGE CAPITAL & INVESTMENT LLC,2,76,0,262,338
"FIRST COMMUNITY MORTGAGE, INC.",2,198,0,136,334
Emporium TPO LLC,2,0,276,58,334
"NQM FUNDING, LLC",2,53,265,0,318
"GENEVA FINANCIAL, LLC",2,69,0,241,310
Nations Lending Corporation,2,78,0,231,309
"GUIDANCE RESIDENTIAL, LLC",2,59,0,245,304
BETTER MORTGAGE CORPORATION,2,80,0,191,271
PHH Mortgage Corporation,2,118,0,122,240
AMWEST FUNDING CORP.,2,77,0,153,230
"Sierra Pacific Mortgage Company, Inc.",2,144,0,81,225
"AMERICAN HERITAGE LENDING, LLC",2,87,0,114,201
HOMEXPRESS MORTGAGE CORP.,2,56,0,122,178
LENDSURE MORTGAGE CORP.,2,77,0,71,148
"NATIONS RELIABLE LENDING, LLC",2,83,0,61,144
Commercial Lender LLC,2,62,0,70,132
"JMAC LENDING, INC.",2,55,0,59,114
PREMIUM MORTGAGE CORPORATION,1,0,4738,0,4738
AMERICAN PACIFIC MORTGAGE CORPORATION,1,0,0,2215,2215
CONTOUR MORTGAGE CORPORATION,1,0,2069,0,2069
"NATIONWIDE MORTGAGE BANKERS, INC.",1,0,1703,0,1703
"FLAT BRANCH MORTGAGE, INC.",1,0,0,1632,1632
"1ST PRIORITY MORTGAGE, INC.",1,0,1424,0,1424
"PROPER RATE, LLC",1,0,0,1411,1411
"KEY MORTGAGE SERVICES, INC.",1,0,0,1392,1392
"TOTAL MORTGAGE SERVICES, LLC",1,1327,0,0,1327
"SALEM FIVE MORTGAGE COMPANY, LLC",1,1256,0,0,1256
"A & N MORTGAGE SERVICES, INC.",1,0,0,1162,1162
"FIRST STATE MORTGAGE SERVICES, LLC",1,0,0,1095,1095
"THE LOAN STORE, INC.",1,0,0,1079,1079
"HOME TOWN FUNDING, INC.",1,0,1051,0,1051
TOWNE MORTGAGE COMPANY,1,0,0,1043,1043
"COMPASS MORTGAGE, INC.",1,0,0,977,977
HUNT MORTGAGE CORPORATION,1,0,914,0,914
"LENNAR MORTGAGE, LLC",1,0,0,901,901
UNITED MORTGAGE CORP.,1,0,863,0,863
MEADOWBROOK FINANCIAL MORTGAGE BANKERS CORP.,1,0,858,0,858
"DHI MORTGAGE COMPANY, LTD.",1,0,0,831,831
"CLIFFCO, INC.",1,0,809,0,809
"FM Home Loans, LLC",1,0,772,0,772
SUFFOLK,1,0,766,0,766
"HARBORONE MORTGAGE, LLC",1,759,0,0,759
EAST COAST CAPITAL CORP.,1,0,702,0,702
UNITED NORTHERN MORTGAGE BANKERS LIMITED,1,0,691,0,691
DELMAR FINANCIAL COMPANY,1,0,0,616,616
"BAYCOAST MORTGAGE COMPANY, LLC",1,610,0,0,610
"ARK MORTGAGE, INC.",1,0,596,0,596
RADIUS FINANCIAL GROUP INC.,1,594,0,0,594
"RESICENTRAL, LLC",1,0,0,574,574
Logan Finance Corporation,1,0,566,0,566
"MSA MORTGAGE, LLC",1,539,0,0,539
"M/I FINANCIAL, LLC",1,0,0,489,489
FIRST NEW YORK,1,0,473,0,473
"Lendage, LLC",1,0,0,443,443
POINT MORTGAGE CORPORATION,1,0,0,441,441
EMM LOANS LLC,1,439,0,0,439
"UNITED HOME LOANS, INC.",1,0,0,437,437
MORTGAGE EQUITY PARTNERS LLC,1,431,0,0,431
FAMILY FIRST OF NY,1,0,422,0,422
WASHINGTON TRUST MORTGAGE COMPANY LLC,1,403,0,0,403
"NEW FED MORTGAGE, CORP.",1,402,0,0,402
"Farm Credit East, ACA",1,0,379,0,379
"GOLD STAR MORTGAGE FINANCIAL GROUP, CORPORATION",1,0,0,379,379
NJ LENDERS CORP.,1,0,367,0,367
"ENDEAVOR CAPITAL, LLC.",1,0,0,363,363
ICE LENDER HOLDINGS LLC,1,0,362,0,362
UMASSFIVE COLLEGE,1,356,0,0,356
AMERICAN PORTFOLIO MORTGAGE CORPORATION,1,0,0,356,356
"AMERIHOME MORTGAGE COMPANY, LLC",1,0,0,345,345
"AMERANT MORTGAGE, LLC",1,345,0,0,345
"NVR Mortgage Finance, Inc.",1,0,0,344,344
"PROVIDENT FUNDING ASSOCIATES, L.P.",1,0,0,343,343
"NORTHPOINT MORTGAGE, INC.",1,316,0,0,316
"DAS Acquisition Company, LLC",1,0,0,308,308
"HARTFORD FUNDING, LTD.",1,0,305,0,305
"Petefish, Skiles & Co.",1,0,0,300,300
SUMMIT MORTGAGE BANKERS INC.,1,0,293,0,293
DIAMOND RESIDENTIAL MORTGAGE CORPORATION,1,0,0,287,287
Homeland Mortgage Company,1,0,0,286,286
CALCON MUTUAL MORTGAGE LLC,1,0,0,286,286
GMFS LLC,1,0,0,282,282
US MORTGAGE CORPORATION,1,0,277,0,277
JET DIRECT FUNDING CORP,1,0,271,0,271
Equity Prime Mortgage LLC,1,0,0,265,265
COMMUNITY BANC MORTGAGE CORPORATION,1,0,0,263,263
