County,eligible_pop,non_enroll_rate,total_retailers,grocery,non_grocery,grocery_share,stores_per_10k_eligible,grocery_per_10k_eligible
Los Angeles,1357616.0,0.5867466755695278,8192.0,1921.0,6271.0,0.234,60.34,14.15
San Diego,311480.0,0.6535991890330037,2286.0,570.0,1716.0,0.249,73.39,18.3
San Bernardino,302066.0,0.5829564873239623,1984.0,368.0,1616.0,0.185,65.68,12.18
Riverside,299299.0,0.6140480696560965,1823.0,423.0,1400.0,0.232,60.91,14.13
Orange,285541.0,0.6791972886555696,2087.0,511.0,1576.0,0.245,73.09,17.9
Fresno,200459.0,0.5289250125960919,1000.0,233.0,767.0,0.233,49.89,11.62
Sacramento,184970.0,0.5798973747094124,1310.0,332.0,978.0,0.253,70.82,17.95
Kern,177291.0,0.545992185728548,918.0,239.0,679.0,0.26,51.78,13.48
Alameda,149333.0,0.6122197203565186,1057.0,342.0,715.0,0.324,70.78,22.9
Santa Clara,125076.0,0.6427400236656113,919.0,304.0,615.0,0.331,73.48,24.31
Tulare,98954.0,0.5353357216484427,474.0,120.0,354.0,0.253,47.9,12.13
San Joaquin,95589.0,0.6015214794589335,695.0,169.0,526.0,0.243,72.71,17.68
Contra Costa,87648.0,0.6615099135177073,717.0,227.0,490.0,0.317,81.8,25.9
San Francisco,83011.0,0.5813262651937695,584.0,206.0,378.0,0.353,70.35,24.82
Ventura,77449.0,0.6613556211184134,607.0,178.0,429.0,0.293,78.37,22.98
Stanislaus,67641.0,0.582291858488195,590.0,140.0,450.0,0.237,87.23,20.7
Santa Barbara,58467.0,0.6588816238219851,320.0,114.0,206.0,0.356,54.73,19.5
Monterey,54262.8,0.6405365731219177,332.0,124.0,208.0,0.373,61.18,22.85
Merced,53681.0,0.5678396434492651,291.0,73.0,218.0,0.251,54.21,13.6
Solano,44283.0,0.657857060271436,309.0,79.0,230.0,0.256,69.78,17.84
San Mateo,40766.0,0.7069373718294657,336.0,143.0,193.0,0.426,82.42,35.08
Butte,39231.0,0.5881,206.0,41.0,165.0,0.199,52.51,10.45
Sonoma,38070.0,0.6490542631993697,383.0,127.0,256.0,0.332,100.6,33.36
San Luis Obispo,33399.0,0.6981555375909457,205.0,64.0,141.0,0.312,61.38,19.16
Imperial,32522.0,0.5617,162.0,48.0,114.0,0.296,49.81,14.76
Yolo,32014.0,0.6699199412756919,172.0,51.0,121.0,0.297,53.73,15.93
Santa Cruz,30724.0,0.6800717029032678,179.0,64.0,115.0,0.358,58.26,20.83
Madera,28027.0,0.5887,181.0,42.0,139.0,0.232,64.58,14.99
Kings,27875.0,0.5541,129.0,37.0,92.0,0.287,46.28,13.27
Placer,27872.0,0.7306865671641791,250.0,73.0,177.0,0.292,89.7,26.19
Shasta,21830.0,0.5386,195.0,41.0,154.0,0.21,89.33,18.78
Humboldt,20548.0,0.6278,162.0,40.0,122.0,0.247,78.84,19.47
Sutter,15835.575,0.5756999999999999,107.0,26.0,81.0,0.243,67.57,16.42
Marin,14505.0,0.7436176215098242,126.0,57.0,69.0,0.452,86.87,39.3
Yuba,14327.425,0.5757,89.0,20.0,69.0,0.225,62.12,13.96
Mendocino,13098.133333333333,0.551,107.0,31.0,76.0,0.29,81.69,23.67
Napa,13077.0,0.6548,79.0,26.0,53.0,0.329,60.41,19.88
El Dorado,12406.0,0.7911,131.0,35.0,96.0,0.267,105.59,28.21
Nevada,11492.0,0.7305,75.0,22.0,53.0,0.293,65.26,19.14
Lake,11460.866666666667,0.551,73.0,19.0,54.0,0.26,63.7,16.58
Tehama,8648.9375,0.6064,71.0,14.0,57.0,0.197,82.09,16.19
San Benito,7347.200000000001,0.6977,28.0,11.0,17.0,0.393,38.11,14.97
Siskiyou,7015.111111111111,0.6262999999999999,77.0,20.0,57.0,0.26,109.76,28.51
Tuolumne,6545.593220338984,0.6346000000000002,43.0,12.0,31.0,0.279,65.69,18.33
Calaveras,5091.016949152542,0.6346,42.0,12.0,30.0,0.286,82.5,23.57
Glenn,4942.25,0.6064,39.0,10.0,29.0,0.256,78.91,20.23
Lassen,3946.0,0.6263,31.0,7.0,24.0,0.226,78.56,17.74
Del Norte,3946.0,0.6263,29.0,5.0,24.0,0.172,73.49,12.67
Colusa,3706.6875,0.6064,27.0,8.0,19.0,0.296,72.84,21.58
Amador,3636.4406779661017,0.6346,27.0,10.0,17.0,0.37,74.25,27.5
Plumas,3069.1111111111113,0.6263,22.0,9.0,13.0,0.409,71.68,29.32
Trinity,2471.125,0.6064,22.0,7.0,15.0,0.318,89.03,28.33
Mariposa,2181.8644067796613,0.6346,12.0,1.0,11.0,0.083,55.0,4.58
Inyo,2181.8644067796613,0.6346,20.0,8.0,12.0,0.4,91.66,36.67
Modoc,1753.7777777777778,0.6262999999999999,14.0,5.0,9.0,0.357,79.83,28.51
Mono,1454.5762711864406,0.6346,6.0,5.0,1.0,0.833,41.25,34.37
Sierra,442.0,0.7305,5.0,2.0,3.0,0.4,113.12,45.25
Alpine,363.64406779661016,0.6346,,,,,,
