County,total_retailers,grocery,non_grocery,grocery_share
LOS ANGELES,8192,1921,6271,0.234
SAN DIEGO,2286,570,1716,0.249
ORANGE,2087,511,1576,0.245
SAN BERNARDINO,1984,368,1616,0.185
RIVERSIDE,1823,423,1400,0.232
SACRAMENTO,1310,332,978,0.253
ALAMEDA,1057,342,715,0.324
FRESNO,1000,233,767,0.233
SANTA CLARA,919,304,615,0.331
KERN,918,239,679,0.26
CONTRA COSTA,717,227,490,0.317
SAN JOAQUIN,695,169,526,0.243
VENTURA,607,178,429,0.293
STANISLAUS,590,140,450,0.237
SAN FRANCISCO,584,206,378,0.353
TULARE,474,120,354,0.253
SONOMA,383,127,256,0.332
SAN MATEO,336,143,193,0.426
MONTEREY,332,124,208,0.373
SANTA BARBARA,320,114,206,0.356
SOLANO,309,79,230,0.256
MERCED,291,73,218,0.251
PLACER,250,73,177,0.292
BUTTE,206,41,165,0.199
SAN LUIS OBISPO,205,64,141,0.312
SHASTA,195,41,154,0.21
MADERA,181,42,139,0.232
SANTA CRUZ,179,64,115,0.358
YOLO,172,51,121,0.297
IMPERIAL,162,48,114,0.296
HUMBOLDT,162,40,122,0.247
EL DORADO,131,35,96,0.267
KINGS,129,37,92,0.287
MARIN,126,57,69,0.452
SUTTER,107,26,81,0.243
MENDOCINO,107,31,76,0.29
YUBA,89,20,69,0.225
NAPA,79,26,53,0.329
SISKIYOU,77,20,57,0.26
NEVADA,75,22,53,0.293
LAKE,73,19,54,0.26
TEHAMA,71,14,57,0.197
TUOLUMNE,43,12,31,0.279
CALAVERAS,42,12,30,0.286
GLENN,39,10,29,0.256
LASSEN,31,7,24,0.226
DEL NORTE,29,5,24,0.172
SAN BENITO,28,11,17,0.393
COLUSA,27,8,19,0.296
AMADOR,27,10,17,0.37
TRINITY,22,7,15,0.318
PLUMAS,22,9,13,0.409
INYO,20,8,12,0.4
MODOC,14,5,9,0.357
MARIPOSA,12,1,11,0.083
MONO,6,5,1,0.833
SIERRA,5,2,3,0.4
