County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Autauga,11705.3,0.398458,5711.6,2920.8,01001
Baldwin,29810.0,0.505434,12396.0,7156.0,01003
Barbour,5413.2,0.527891,2393.4,1438.7,01005
Bibb,5344.7,0.448662,2660.1,1298.4,01007
Blount,8210.8,0.444049,3574.4,1925.6,01009
Bullock,2294.9,0.605647,1244.9,801.7,01011
Butler,5413.2,0.527891,2393.4,1438.7,01013
Calhoun,30540.0,0.504584,12047.0,6465.0,01015
Chambers,5163.5,0.605647,2801.0,1803.8,01017
Cherokee,5667.3,0.446514,2328.4,1246.4,01019
Chilton,7188.0,0.503928,3146.1,2002.6,01021
Choctaw,2500.1,0.401961,1082.3,541.4,01023
Clarke,5625.2,0.401961,2435.2,1218.3,01025
Clay,2603.7,0.425349,1292.8,670.9,01027
Cleburne,2603.7,0.425349,1292.8,670.9,01029
Coffee,11149.9,0.561609,5574.4,3390.9,01031
Colbert,10423.3,0.665467,4841.2,3403.8,01033
Conecuh,3125.1,0.401961,1352.9,676.8,01035
Coosa,1721.2,0.605647,933.7,601.3,01037
Covington,8420.6,0.527891,3723.1,2238.0,01039
Crenshaw,3608.8,0.527891,1595.6,959.1,01041
Cullman,16061.6,0.506799,7278.8,3806.0,01043
Dale,9756.1,0.561609,4877.6,2967.1,01045
Dallas,11705.3,0.398458,5711.6,2920.8,01047
DeKalb,19283.7,0.59127,7776.8,4955.4,01049
Elmore,11501.5,0.344168,4625.4,2467.7,01051
Escambia,6250.2,0.401961,2705.7,1353.6,01053
Etowah,23377.7,0.446514,9604.6,5141.6,01055
Fayette,3340.4,0.448662,1662.6,811.5,01057
Franklin,7643.7,0.665467,3550.2,2496.2,01059
Geneva,4901.2,0.410425,2175.8,1108.4,01061
Greene,2672.3,0.448662,1330.0,649.2,01063
Hale,4676.6,0.448662,2327.6,1136.1,01065
Henry,4901.2,0.410425,2175.8,1108.4,01067
Houston,21238.6,0.410425,9428.4,4803.2,01069
Jackson,14692.3,0.59127,5925.2,3775.6,01071
Jefferson,112829.7,0.484289,51773.8,28664.7,01073
Lamar,2672.3,0.448662,1330.0,649.2,01075
Lauderdale,18067.0,0.665467,8391.5,5900.0,01077
Lawrence,4880.6,0.657097,2574.8,1861.6,01079
Lee,38556.5,0.699108,20310.9,14071.1,01081
Limestone,7752.0,0.419118,3940.0,2123.0,01083
Lowndes,2754.2,0.398458,1343.9,687.2,01085
Macon,6884.7,0.605647,3734.7,2405.1,01087
Madison,46283.3,0.660985,22228.9,16362.2,01089
Marengo,5344.7,0.448662,2660.1,1298.4,01091
Marion,8030.8,0.506799,3639.4,1903.0,01093
Marshall,19866.7,0.580441,8683.1,4915.8,01095
Mobile,67972.0,0.54521,34799.0,20481.0,01097
Monroe,5625.2,0.401961,2435.2,1218.3,01099
Montgomery,48094.5,0.476282,19793.6,10872.3,01101
Morgan,13754.4,0.657097,7256.2,5246.4,01103
Perry,2754.2,0.398458,1343.9,687.2,01105
Pickens,4008.5,0.448662,1995.1,973.8,01107
Pike,6616.2,0.527891,2925.3,1758.4,01109
Randolph,3905.5,0.425349,1939.3,1006.4,01111
Russell,9453.5,0.620601,4400.1,2828.9,01113
St. Clair,12316.2,0.444049,5361.6,2888.4,01115
Shelby,22663.0,0.688292,10419.9,7927.4,01117
Sumter,3340.4,0.448662,1662.6,811.5,01119
Talladega,15622.1,0.425349,7757.1,4025.7,01121
Tallapoosa,6884.7,0.605647,3734.7,2405.1,01123
Tuscaloosa,46466.0,0.594994,19894.0,13383.0,01125
Walker,11733.3,0.491322,5138.2,3030.3,01127
Washington,3125.1,0.401961,1352.9,676.8,01129
Wilcox,3125.1,0.401961,1352.9,676.8,01131
Winston,5840.6,0.506799,2646.8,1384.0,01133
