PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00100,16783,36134,4983,11800,24046,157,0.703092414943693,24809,18741,0.7554113426579064
00200,3940,7752,1817,2123,3249,45,0.5388324873096447,8632,6552,0.7590361445783133
00300,9831,18635,2723,7108,12245,89,0.72301902146272,18722,14584,0.7789766050635616
00401,5143,10017,436,4707,8881,42,0.9152245770950806,7598,7095,0.9337983679915768
00402,8137,19901,2094,6043,11902,70,0.7426569988939412,14653,11977,0.8173752815123183
00403,7947,14073,2902,5045,8479,60,0.634830753743551,12674,8799,0.6942559570774814
00501,9685,22159,4202,5483,12862,172,0.566133195663397,14705,9325,0.634138048282897
00600,13702,33976,4971,8731,20089,174,0.6372062472631732,23147,17366,0.7502484123212512
00700,11933,29045,5545,6388,12969,135,0.5353222157043492,19936,11997,0.6017756821829856
00800,12047,30540,5582,6465,15410,113,0.5366481281646883,18940,12552,0.6627243928194297
00900,8936,20527,4122,4814,9115,104,0.5387197851387645,14019,9433,0.6728725301376703
01000,13565,29933,6472,7093,15170,161,0.5228897899004792,21948,14510,0.6611080736285766
01100,15628,31400,8000,7628,14088,176,0.4880982851292552,24007,14331,0.5969508893239471
01201,3665,9395,1511,2154,5763,35,0.5877216916780355,7672,6081,0.7926225234619395
01202,16229,37071,5000,11229,21884,87,0.691909544642307,24885,17699,0.7112316656620454
01301,8478,19360,3478,5000,9512,103,0.5897617362585515,13991,9896,0.7073118433278536
01401,7639,17781,3370,4269,7577,66,0.5588427804686478,14281,9897,0.693018696169736
01402,6072,16936,2457,3615,8979,51,0.5953557312252964,11058,8317,0.7521251582564659
01403,26922,56172,13841,13081,25541,193,0.48588514969170193,40481,22982,0.5677231293693338
01404,7801,14314,2071,5730,8798,49,0.7345212152288169,13252,10525,0.7942197404165409
01501,4652,9485,396,4256,8958,36,0.9148753224419605,8222,7327,0.89114570664072
01502,8914,20366,3240,5674,10263,78,0.636526811756787,15153,10616,0.7005873424404409
01600,12282,24735,5908,6374,10521,120,0.5189708516528253,19623,11983,0.6106609590786323
01700,14111,28919,6895,7216,11523,115,0.5113741053079158,21330,12288,0.5760900140646976
01801,11506,28866,5601,5905,13423,79,0.5132104988701547,17894,10296,0.5753883983458142
01802,6900,15778,2673,4227,8296,38,0.6126086956521739,12069,8391,0.6952522992791449
01901,6013,14952,2805,3208,5146,55,0.5335107267586895,10162,6925,0.6814603424522732
02000,12449,22949,4432,8017,13899,126,0.6439874688730018,21094,14799,0.7015739072722101
02101,17133,31729,5105,12028,22718,116,0.7020370046109846,22585,16796,0.7436794332521585
02201,7578,16281,2706,4872,10104,65,0.6429136975455265,13640,9731,0.71341642228739
02300,13780,31041,6760,7020,12740,315,0.5094339622641509,23677,13983,0.5905731300418128
02400,10452,20906,4094,6358,11741,144,0.6083046306926904,15990,10883,0.6806128830519075
02500,13031,29472,5198,7833,15558,184,0.6011050571713606,20346,13296,0.6534945443821881
02600,12717,29376,6355,6362,11808,144,0.5002752221435873,20848,13039,0.6254316960859555
02701,5112,12870,2611,2501,4429,29,0.4892410015649452,12429,9359,0.7529970230911578
02702,7284,16940,2629,4655,10638,58,0.6390719384953323,12786,9909,0.7749882684185828
02801,10526,22345,3410,7116,12819,93,0.6760402812084363,17168,12157,0.7081197576887233
02802,7918,14780,2739,5179,10261,61,0.6540793129578176,15836,11266,0.7114170245011366
02803,16355,30847,8169,8186,13979,171,0.5005197187404463,27222,17494,0.6426419807508633
