County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Arkansas,5361.4,0.676669,2468.8,1706.6,05001
Ashley,4691.2,0.676669,2160.2,1493.3,05003
Baxter,8691.5,0.614922,3886.4,2681.8,05005
Benton,30329.0,0.872169,12942.0,11112.0,05007
Boone,6084.1,0.614922,2720.5,1877.3,05009
Bradley,3350.9,0.676669,1543.0,1066.6,05011
Calhoun,1167.4,0.742186,675.8,525.6,05013
Carroll,6953.2,0.614922,3109.1,2145.4,05015
Chicot,2680.7,0.676669,1234.4,853.3,05017
Clark,4526.5,0.751553,2215.4,1744.5,05019
Clay,4846.1,0.583537,2317.4,1422.3,05021
Cleburne,5227.8,0.585753,2544.8,1762.3,05023
Cleveland,1340.3,0.676669,617.2,426.7,05025
Columbia,4086.0,0.742186,2365.2,1839.6,05027
Conway,3786.0,0.726149,1997.7,1557.1,05029
Craighead,22766.3,0.571396,8255.9,5267.5,05031
Crawford,8924.7,0.838057,4225.9,3632.4,05033
Crittenden,12745.9,0.496983,5753.8,3284.1,05035
Cross,3823.8,0.496983,1726.1,985.2,05037
Dallas,1751.1,0.742186,1013.7,788.4,05039
Desha,3350.9,0.676669,1543.0,1066.6,05041
Drew,3350.9,0.676669,1543.0,1066.6,05043
Faulkner,12528.2,0.883733,6076.6,5231.1,05045
Franklin,2974.9,0.838057,1408.6,1210.8,05047
Fulton,2323.5,0.585753,1131.0,783.2,05049
Garland,22632.4,0.751553,11077.1,8722.4,05051
Grant,2447.5,0.837751,1230.7,1003.0,05053
Greene,9692.2,0.583537,4634.7,2844.7,05055
Hempstead,4086.0,0.742186,2365.2,1839.6,05057
Hot Spring,6789.7,0.751553,3323.1,2616.7,05059
Howard,2505.2,0.69511,1212.1,897.8,05061
Independence,5808.6,0.585753,2827.6,1958.1,05063
Izard,2323.5,0.585753,1131.0,783.2,05065
Jackson,4772.7,0.598895,2138.0,1497.5,05067
Jefferson,16084.1,0.676669,7406.2,5119.9,05069
Johnson,3786.0,0.726149,1997.7,1557.1,05071
Lafayette,1751.1,0.742186,1013.7,788.4,05073
Lawrence,4846.1,0.583537,2317.4,1422.3,05075
Lee,2549.2,0.496983,1150.8,656.8,05077
Lincoln,2680.7,0.676669,1234.4,853.3,05079
Little River,5010.4,0.69511,2424.3,1795.7,05081
Logan,5010.4,0.69511,2424.3,1795.7,05083
Lonoke,8053.8,0.883733,3906.4,3362.9,05085
Madison,3476.6,0.614922,1554.6,1072.7,05087
Marion,4345.8,0.614922,1943.2,1340.9,05089
Miller,11691.0,0.69511,5656.7,4189.9,05091
Mississippi,8922.1,0.496983,4027.7,2298.9,05093
Monroe,2386.4,0.598895,1069.0,748.7,05095
Montgomery,2263.2,0.751553,1107.7,872.2,05097
Nevada,1751.1,0.742186,1013.7,788.4,05099
Newton,1738.3,0.614922,777.3,536.4,05101
Ouachita,4669.7,0.742186,2703.1,2102.4,05103
Perry,1468.5,0.837751,738.4,601.8,05105
Phillips,4461.1,0.496983,2013.8,1149.4,05107
Pike,2263.2,0.751553,1107.7,872.2,05109
Poinsett,8278.7,0.571396,3002.1,1915.5,05111
Polk,5845.5,0.69511,2828.3,2095.0,05113
Pope,10727.0,0.726149,5660.0,4411.7,05115
Prairie,2386.4,0.598895,1069.0,748.7,05117
Pulaski,68128.0,0.711117,30131.0,22983.0,05119
Randolph,4038.4,0.583537,1931.1,1185.3,05121
St. Francis,4461.1,0.496983,2013.8,1149.4,05123
Saline,14685.0,0.837751,7383.9,6018.2,05125
Scott,2505.2,0.69511,1212.1,897.8,05127
Searcy,2607.5,0.614922,1165.9,804.5,05129
Sebastian,18444.4,0.838057,8733.5,7506.9,05131
Sevier,3340.3,0.69511,1616.2,1197.1,05133
Sharp,4846.1,0.583537,2317.4,1422.3,05135
Stone,2323.5,0.585753,1131.0,783.2,05137
Union,7004.5,0.742186,4054.7,3153.6,05139
Van Buren,3485.2,0.585753,1696.5,1174.9,05141
Washington,42107.0,0.888118,17223.0,15260.0,05143
White,15113.6,0.598895,6770.3,4741.9,05145
Woodruff,1590.9,0.598895,712.7,499.2,05147
Yell,3786.0,0.726149,1997.7,1557.1,05149
