PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00101,7930,20113,956,6974,17692,73,0.8794451450189155,13454,11747,0.8731232347257322
00102,5012,10216,874,4138,8760,43,0.8256185155626496,9776,8568,0.8764320785597381
00201,7510,21919,644,6866,20155,68,0.9142476697736351,14116,12824,0.9084726551431
00202,9713,20188,1319,8394,17241,77,0.8642026150519921,15936,13957,0.8758157630522089
00300,15157,33897,4698,10459,20844,180,0.6900442039981527,26717,21304,0.7973949170939851
00400,10462,21492,3217,7245,12589,149,0.6925062129611929,19360,15261,0.7882747933884298
00500,13518,28269,5221,8297,16496,187,0.6137742269566504,21317,15595,0.7315757376741567
00600,16686,36963,7162,9524,18370,202,0.5707778976387391,26722,18740,0.7012948132624803
00700,11258,31045,4075,7183,17739,105,0.6380351749866762,18613,13672,0.7345403750067158
00800,11759,26250,3523,8236,15721,158,0.700399693851518,18615,14738,0.7917271017996239
00900,9983,20582,1389,8594,18189,93,0.8608634678954222,18270,16405,0.89792008757526
01000,11653,22085,2570,9083,16037,131,0.7794559340942246,19074,15620,0.8189158016147635
01100,14368,30344,2018,12350,25430,169,0.8595489977728286,25278,22775,0.9009810902761295
01200,17374,35908,4505,12869,24960,187,0.7407045009784736,25893,20100,0.7762715791912872
01300,18831,38475,4003,14828,28916,198,0.7874249907068133,30445,26264,0.862670389226474
01400,9353,18601,1730,7623,15583,81,0.8150326098577997,16075,13943,0.8673716951788492
01501,14858,32401,3977,10881,21452,102,0.732332750033652,24181,19825,0.8198585666432323
01502,15273,35727,3171,12102,26995,98,0.7923787075230799,26703,22183,0.8307306295172827
01600,19750,42891,6097,13653,29023,226,0.6912911392405063,30500,22490,0.7373770491803279
01700,15205,26267,3379,11826,19495,161,0.7777704702400526,24083,20038,0.8320391977743636
