County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Apache,18171.2,0.353763,6943.4,3280.3,04001
Cochise,26106.7,0.515717,11759.5,6318.2,04003
Coconino,28317.0,0.552919,10867.0,7287.0,04005
Gila,10544.0,0.621288,4252.0,2586.3,04007
Graham,5931.0,0.621288,2391.8,1454.8,04009
Greenlee,1977.0,0.621288,797.2,484.9,04011
La Paz,4478.7,0.550223,1990.7,1261.1,04012
Maricopa,515148.0,0.648128,214929.0,154213.0,04013
Mohave,43028.0,0.702194,21795.0,15672.0,04015
Navajo,37351.8,0.353763,14272.6,6742.7,04017
Pima,163661.3,0.571773,74906.4,48969.4,04019
Pinal,59889.7,0.698115,25073.6,18102.6,04021
Santa Cruz,9618.3,0.515717,4332.5,2327.8,04023
Yavapai,37377.0,0.725259,18991.0,14672.0,04025
Yuma,34849.3,0.489815,14177.3,8674.9,04027
