PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00101,9177,16117,1158,8019,13268,88,0.8738149722131415,16095,14207,0.8826964895930414
00102,5735,12334,2051,3684,7997,63,0.6423714036617263,11943,8454,0.7078623461441849
00103,7636,20330,2804,4832,12494,68,0.6327920377160817,13293,9411,0.7079665989618596
00104,6583,16836,1646,4937,13536,66,0.7499620233935895,11119,8953,0.8051983092004676
00105,3533,9308,780,2753,6676,39,0.7792244551372771,6916,5826,0.8423944476576055
00106,5911,18301,1582,4329,9395,44,0.7323633902892912,9089,6806,0.7488172516228409
00107,3876,8528,354,3522,7164,39,0.9086687306501547,5966,5409,0.9066376131411331
00108,2622,6406,926,1696,2526,29,0.6468344774980931,5416,3515,0.6490029542097489
00109,6788,15155,1211,5577,11526,52,0.8215969357690042,11235,9261,0.8242990654205608
00110,5696,9893,363,5333,9350,57,0.9362710674157303,9493,9002,0.9482776782892658
00111,5070,10256,903,4167,7927,50,0.8218934911242604,7267,6364,0.8757396449704142
00112,3334,5934,487,2847,4911,38,0.8539292141571686,5047,4560,0.9035070338815138
00113,3297,6060,1108,2189,3552,33,0.6639369123445557,7384,5828,0.7892741061755146
00114,7210,19567,1442,5768,14300,57,0.8,11943,10120,0.8473582851879762
00115,5122,12169,1447,3675,7013,41,0.7174931667317455,11624,8928,0.7680660701995871
00116,10993,21259,4193,6800,12539,83,0.6185754571090694,16286,10931,0.6711899791231732
00117,4988,10413,1176,3812,8244,44,0.764234161988773,8612,7051,0.8187412912215514
00118,14019,29467,4366,9653,18593,105,0.6885655182252657,20184,14116,0.6993658343242172
00119,7373,19375,3345,4028,9878,63,0.5463176454631764,11571,6759,0.5841327456572466
00120,3684,8120,828,2856,4867,36,0.7752442996742671,5149,4004,0.7776267236356574
00121,6932,25328,2602,4330,12972,57,0.6246393537218696,13302,9027,0.6786197564276049
00122,7542,24623,3605,3937,13063,54,0.5220100769026783,12532,7399,0.5904085541015002
00123,6984,21629,2571,4413,13011,58,0.631872852233677,11356,6965,0.6133321592109898
00124,10881,27581,4766,6115,13455,75,0.5619887877952394,18025,11616,0.6444382801664355
00125,8284,20617,3932,4352,9669,53,0.5253500724287784,12822,8232,0.6420215255030417
00126,5271,11826,1436,3835,8342,40,0.727565926769114,10141,7606,0.7500246524011439
00127,5127,12471,1461,3666,8135,45,0.7150380339379754,8800,6054,0.6879545454545455
00128,5413,13939,2366,3047,6613,40,0.5629041197118049,8310,5893,0.7091456077015644
00129,4524,8209,376,4148,7163,45,0.9168877099911583,6987,6370,0.9116931444110491
00130,8487,14889,1411,7076,11686,82,0.8337457287616354,16875,15192,0.9002666666666667
00131,5419,9142,111,5308,8623,55,0.9795165159623547,10083,9166,0.9090548447882575
00132,4150,13220,1346,2804,7463,32,0.6756626506024096,7647,5617,0.7345364195109193
00133,5119,13529,1302,3817,9628,43,0.7456534479390506,9528,7748,0.8131821998320738
00134,5839,15693,1019,4820,12647,45,0.8254838157218701,11446,9246,0.8077931154988642
00135,2310,6624,242,2068,5656,27,0.8952380952380953,5023,4557,0.9072267569181763
00400,7441,18452,2915,4526,11464,89,0.6082515790888321,12331,8568,0.6948341578136404
00500,10867,28317,3580,7287,15657,163,0.6705622526916353,17130,12363,0.7217162872154116
00601,12704,27409,3790,8914,19271,121,0.701668765743073,21700,15885,0.7320276497695852
00602,9091,15619,2333,6758,10943,119,0.7433725662743372,15931,12241,0.7683761220262382
00701,7465,16795,2736,4729,9241,96,0.6334896182183523,15289,9780,0.639675583753025
00803,5442,11017,1362,4080,7525,65,0.7497243660418964,12345,9394,0.7609558525718915
00805,10418,29560,2442,7976,22388,93,0.7655980034555577,13602,10480,0.7704749301573298
00807,8889,18737,3095,5794,11493,90,0.6518168522893464,17045,12518,0.7344089175711352
00900,16092,35725,7446,8646,18424,195,0.5372856077554065,27316,16282,0.5960609166788695
01000,21216,55523,11193,10023,19642,402,0.4724264705882353,31847,17697,0.5556881338901624
01101,8703,22533,3496,5207,10293,78,0.5982994369757555,16693,10792,0.6464985323189361
01901,6690,15266,2717,3973,7578,75,0.5938714499252615,11445,8098,0.7075578855395369
01902,9048,21482,3465,5583,10609,90,0.6170424403183024,16353,11552,0.7064147251268881
01903,4869,8636,1080,3789,6059,54,0.7781885397412199,7893,6719,0.8512606106676802
01904,4766,8408,410,4356,7701,53,0.9139739823751574,8833,8328,0.9428280312464621
01905,4820,11491,946,3874,7809,57,0.8037344398340249,7714,6571,0.8518278454757584
01906,8884,14422,3787,5097,7997,85,0.5737280504277352,17913,11563,0.6455088483224474
01907,15451,31285,5180,10271,19359,127,0.6647466183418549,25091,18364,0.7318958989279024
01908,11030,30087,5094,5936,14966,99,0.5381686310063464,17271,10829,0.6270048057437323
01909,9673,23160,3330,6343,11903,80,0.6557427892070712,15749,10648,0.6761064194552036
02502,9712,19130,1623,8089,15600,123,0.8328871499176277,17684,15027,0.849751187514137
02503,9279,18247,2696,6583,11508,92,0.7094514495096454,15338,11330,0.7386882253227278
