puma_code,puma_raw,est_eligible_households,est_eligible_population,n_sample_households,est_non_enrollment_rate,observed_non_enrollment_rate,ci95_lo,ci95_hi,model_confidence,top_predictive_features,model_auc_cv5,model_version,acs_vintage
0600101,101,9737.0,15867.0,104,0.717,0.6142,0.6532,0.776,0.8772,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0600111,111,10656.0,17401.0,97,0.4562,0.4035,0.3915,0.5197,0.8718,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0600112,112,3966.0,5044.0,33,0.7252,0.739,0.5884,0.8232,0.7652,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0600113,113,8367.0,22678.0,62,0.517,0.6125,0.4399,0.5903,0.8497,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0600114,114,8257.0,17445.0,79,0.6805,0.7307,0.6108,0.7572,0.8536,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0600115,115,3706.0,8731.0,36,0.6521,0.7272,0.4961,0.7857,0.7103,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0600116,116,2096.0,5726.0,22,0.7074,0.7486,0.5043,0.8424,0.6619,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0600117,117,2427.0,4736.0,25,0.7239,0.8566,0.5941,0.8495,0.7446,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0600118,118,5125.0,12267.0,37,0.6182,0.6896,0.5039,0.743,0.7609,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0600119,119,2356.0,4694.0,21,0.7026,0.7615,0.615,0.8248,0.7902,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0600120,120,2682.0,4731.0,33,0.6765,0.5936,0.5714,0.7757,0.7957,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0600121,121,2783.0,6562.0,25,0.6815,0.7481,0.5462,0.8185,0.7277,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0600122,122,3879.0,10341.0,39,0.5848,0.5617,0.4983,0.6997,0.7986,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0600123,123,6645.0,13110.0,59,0.5402,0.481,0.4572,0.621,0.8362,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0600300,300,11515.0,21455.0,118,0.6346,0.6569,0.5511,0.7157,0.8354,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0600700,700,17173.0,39231.0,180,0.5881,0.4527,0.5436,0.6369,0.9066,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0601100,1100,7920.0,19769.0,104,0.6064,0.7003,0.5295,0.6691,0.8604,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0601301,1301,6776.0,14611.0,48,0.6044,0.7774,0.5051,0.6863,0.8188,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0601305,1305,2049.0,4184.0,18,0.8258,0.961,0.7494,0.8874,0.8621,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0601308,1308,4406.0,12174.0,35,0.6445,0.5794,0.5285,0.7443,0.7843,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0601309,1309,4203.0,10229.0,36,0.671,0.5515,0.5251,0.7814,0.7437,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0601310,1310,3198.0,7452.0,38,0.7536,0.6138,0.6644,0.8298,0.8346,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0601311,1311,3474.0,7377.0,32,0.7301,0.5112,0.6522,0.802,0.8502,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0601312,1312,2057.0,4641.0,23,0.7503,0.9169,0.6129,0.8744,0.7385,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0601313,1313,6277.0,12867.0,63,0.6065,0.6235,0.515,0.686,0.829,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0601314,1314,4708.0,14113.0,42,0.6162,0.6117,0.5197,0.706,0.8137,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0601500,1500,10314.0,19730.0,173,0.6263,0.6246,0.5664,0.6816,0.8847,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0601700,1700,6030.0,12406.0,59,0.7911,0.7174,0.726,0.8473,0.8787,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0601901,1901,10986.0,34679.0,105,0.5509,0.5376,0.4877,0.5982,0.8895,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0601902,1902,9102.0,20222.0,67,0.6622,0.6639,0.574,0.7458,0.8282,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0601903,1903,10334.0,34863.0,77,0.4758,0.3403,0.4102,0.551,0.8593,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0601904,1904,14448.0,43724.0,140,0.4551,0.4125,0.4014,0.5085,0.8929,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0601905,1905,8137.0,24892.0,67,0.5066,0.3742,0.4452,0.5695,0.8757,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0601906,1906,5484.0,12307.0,51,0.6598,0.5704,0.5854,0.7239,0.8616,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0601907,1907,9701.0,29772.0,87,0.548,0.5148,0.4859,0.6073,0.8786,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0602300,2300,10652.0,20548.0,118,0.6278,0.4751,0.5567,0.6963,0.8604,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0602500,2500,12603.0,32522.0,126,0.5617,0.462,0.5031,0.6133,0.8899,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0602903,2903,15464.0,43221.0,159,0.4991,0.4356,0.4569,0.5414,0.9155,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0602904,2904,10114.0,33216.0,110,0.5483,0.4666,0.4837,0.6,0.8838,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0602905,2905,16050.0,42953.0,151,0.5447,0.4921,0.4951,0.5916,0.9034,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
