County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Adams,45351.9,0.650509,18968.1,13565.4,08001
Alamosa,3836.7,0.467849,1747.1,1001.7,08003
Arapahoe,66306.4,0.58407,27184.3,17180.0,08005
Archuleta,1682.5,0.609999,951.9,656.0,08007
Baca,1534.7,0.467849,698.8,400.7,08009
Bent,1534.7,0.467849,698.8,400.7,08011
Boulder,33237.6,0.858483,17363.8,14140.4,08013
Broomfield,4329.2,0.817292,2585.4,2183.5,08014
Chaffee,2258.7,0.447396,1228.9,655.6,08015
Cheyenne,450.1,0.451576,204.2,112.0,08017
Clear Creek,458.2,0.696561,265.7,201.0,08019
Conejos,1534.7,0.467849,698.8,400.7,08021
Costilla,1534.7,0.467849,698.8,400.7,08023
Crowley,900.3,0.451576,408.3,224.1,08025
Custer,752.9,0.447396,409.6,218.5,08027
Delta,3378.0,0.54254,1859.7,1152.6,08029
Denver,75881.2,0.571004,44494.4,27069.7,08031
Dolores,336.5,0.609999,190.4,131.2,08033
Douglas,14593.9,0.895104,7505.8,6581.4,08035
Eagle,2180.7,1.0,1389.7,1389.7,08037
Elbert,3150.9,0.451576,1429.1,784.2,08039
El Paso,58024.0,0.554804,28594.0,18365.1,08041
Fremont,5646.7,0.447396,3072.2,1638.9,08043
Garfield,4446.9,0.762143,2353.3,1845.9,08045
Gilpin,229.1,0.696561,132.8,100.5,08047
Grand,817.8,1.0,521.1,521.1,08049
Gunnison,2019.0,0.609999,1142.3,787.2,08051
Hinsdale,336.5,0.609999,190.4,131.2,08053
Huerfano,1129.3,0.447396,614.4,327.8,08055
Jackson,136.3,1.0,86.9,86.9,08057
Jefferson,35348.7,0.67582,18765.7,14093.2,08059
Kiowa,450.1,0.451576,204.2,112.0,08061
Kit Carson,900.3,0.451576,408.3,224.1,08063
Lake,1129.3,0.447396,614.4,327.8,08065
La Plata,4038.0,0.609999,2284.6,1574.5,08067
Larimer,37081.0,0.668914,18297.0,12281.0,08069
Las Animas,4604.1,0.467849,2096.5,1202.1,08071
Lincoln,900.3,0.451576,408.3,224.1,08073
Logan,3150.9,0.451576,1429.1,784.2,08075
Mesa,19619.0,0.565059,11175.9,6282.2,08077
Mineral,767.3,0.467849,349.4,200.3,08079
Moffat,1482.3,0.762143,784.4,615.3,08081
Montezuma,2692.0,0.609999,1523.1,1049.6,08083
Montrose,4504.0,0.54254,2479.6,1536.8,08085
Morgan,3601.1,0.451576,1633.3,896.2,08087
Otero,5371.4,0.467849,2445.9,1402.4,08089
Ouray,750.7,0.54254,413.3,256.1,08091
Park,2258.7,0.447396,1228.9,655.6,08093
Phillips,900.3,0.451576,408.3,224.1,08095
Pitkin,817.8,1.0,521.1,521.1,08097
Prowers,3836.7,0.467849,1747.1,1001.7,08099
Pueblo,23284.3,0.492316,11780.4,6091.8,08101
Rio Blanco,741.1,0.762143,392.2,307.6,08103
Rio Grande,3069.4,0.467849,1397.7,801.4,08105
Routt,3705.7,0.762143,1961.1,1538.2,08107
Saguache,1534.7,0.467849,698.8,400.7,08109
San Juan,336.5,0.609999,190.4,131.2,08111
San Miguel,1501.3,0.54254,826.5,512.3,08113
Sedgwick,450.1,0.451576,204.2,112.0,08115
Summit,1635.5,1.0,1042.2,1042.2,08117
Teller,2109.0,0.619751,904.0,617.9,08119
Washington,900.3,0.451576,408.3,224.1,08121
Weld,34309.0,0.723425,13064.0,10281.0,08123
Yuma,900.3,0.451576,408.3,224.1,08125
