PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00100,5491,10376,1184,4307,7908,50,0.7843744308869058,8877,7141,0.8044384364086966
00200,3561,5588,0,3561,5588,26,1.0,6652,6590,0.9906794948887553
00301,7104,17082,1746,5358,12575,53,0.754222972972973,10139,7527,0.7423809054147352
00302,7553,13458,2757,4796,8863,60,0.6349794783529723,10901,7130,0.6540684340886157
00303,3640,6541,1513,2127,3366,40,0.5843406593406594,8473,6352,0.7496754396317715
00401,2192,3780,534,1658,2633,32,0.7563868613138686,3589,3007,0.8378378378378378
00501,5538,9682,1578,3960,7507,49,0.7150595882990249,8712,6515,0.7478191000918274
00502,9745,20048,1281,8464,18257,80,0.8685479733196511,14799,13178,0.8904655719981079
00601,5063,8478,787,4276,6929,54,0.8445585621173217,9498,8324,0.8763950305327437
00701,3004,5955,1327,1677,2803,32,0.5582556591211718,6736,5255,0.7801365795724465
00702,5766,9898,1355,4411,7217,56,0.7650017343045439,11437,8385,0.733146804231879
00703,5097,10593,927,4170,7477,42,0.8181283107710418,8680,7330,0.8444700460829493
00801,3207,5275,144,3063,4951,33,0.9550982226379794,4718,4486,0.9508266214497668
00901,3030,6283,743,2287,5143,26,0.7547854785478548,5819,4726,0.8121670390101392
00902,1993,4227,70,1923,4087,20,0.9648770697441044,3492,2975,0.8519473081328751
01001,3358,6973,582,2776,6317,37,0.8266825491363907,6656,5385,0.8090444711538461
01002,7017,21402,1944,5073,13151,53,0.7229585292860197,13236,9194,0.694620731338773
01003,2689,5934,257,2432,5352,27,0.9044254369654147,4466,4082,0.9140170174652933
01101,9024,18027,2840,6184,9906,66,0.6852836879432624,14369,10190,0.709165564757464
01201,2297,6754,282,2015,6236,21,0.8772311710927296,4971,3764,0.7571917119291893
01202,5993,15656,1391,4602,10986,43,0.7678958785249458,12457,8645,0.693987316368307
01301,8927,23659,4623,4304,11122,55,0.48213285538254735,13304,7527,0.5657696933253157
01401,1989,5028,399,1590,3231,19,0.799396681749623,3305,2906,0.8792738275340394
01501,5100,10253,1364,3736,7112,56,0.7325490196078431,8539,7047,0.8252722801264785
01601,5760,13919,2793,2967,5370,45,0.5151041666666667,9222,5889,0.6385816525699415
01602,2759,5144,708,2051,3470,33,0.743385284523378,5670,4387,0.7737213403880071
01603,4020,12669,442,3578,11381,33,0.890049751243781,5850,5224,0.892991452991453
01701,12807,14608,5649,7158,7513,89,0.5589130944014992,17501,10918,0.6238500657105308
01702,7856,18030,2944,4912,10998,54,0.6252545824847251,11639,8106,0.6964515851877309
01703,6585,13464,2244,4341,8565,51,0.6592255125284738,11167,8026,0.7187248141846512
01704,7420,10163,1655,5765,7956,52,0.7769541778975741,11016,8708,0.7904865649963689
01705,12094,24143,6071,6023,10211,82,0.4980155448982967,19267,12058,0.6258369232366222
01800,7554,16655,3409,4145,7521,147,0.54871591209955,12375,7688,0.6212525252525253
01900,13278,29159,5665,7613,13642,176,0.573354420846513,18940,11759,0.6208553326293559
02001,3277,7645,1037,2240,4738,41,0.683552029295087,6737,5262,0.7810598189104943
02002,2447,4197,591,1856,3222,26,0.7584797711483449,5200,4172,0.8023076923076923
02003,5767,9729,1709,4058,5681,66,0.7036587480492457,10452,7786,0.7449292001530807
02004,5001,7566,2303,2698,3770,57,0.5394921015796841,10345,7083,0.6846785886901885
02005,5372,14038,1656,3716,8429,35,0.691734921816828,9502,6723,0.7075352557356346
02006,7634,16958,3219,4415,7659,64,0.5783337699764213,13369,9004,0.6734983918019298
02101,7783,14305,3631,4152,6400,88,0.5334703841706283,12723,8222,0.6462312347716733
02200,6473,11441,2012,4461,6979,82,0.6891704001235903,11537,7834,0.6790326774724799
02301,11166,22155,5402,5764,10958,145,0.5162099229804764,21334,11580,0.5427955376394488
02401,6199,11260,2357,3842,6109,68,0.6197773834489434,11544,8119,0.7033090783090783
02501,10556,18493,4658,5898,10475,95,0.5587343690791967,16736,11228,0.6708891013384322
