PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
20100,5135,9803,2020,3115,6439,69,0.6066212268743915,9542,6257,0.6557325508279187
20201,15576,35139,9162,6414,13271,115,0.41178736517719566,22747,10760,0.47302941047171054
20202,5664,10036,2192,3472,6975,55,0.6129943502824858,10530,7126,0.67673314339981
20203,2968,6247,528,2440,5719,18,0.8221024258760108,4992,4267,0.8547676282051282
20204,9275,19401,3103,6172,12714,72,0.66544474393531,13902,9486,0.6823478636167458
20205,3552,6124,2355,1197,1523,30,0.33699324324324326,6368,3772,0.5923366834170855
20206,8889,18199,5569,3320,6094,69,0.37349533130835866,14281,7974,0.5583642602058679
20207,6079,9455,1442,4637,6918,57,0.7627899325546965,9044,7467,0.8256302521008403
20301,4051,6854,1925,2126,3066,59,0.5248086892125401,8116,5374,0.6621488417939871
20401,8576,17998,4803,3773,5530,64,0.43994869402985076,11995,6432,0.5362234264276782
20402,8592,17917,4493,4099,6837,79,0.47707169459962756,12987,6913,0.5323015323015323
20500,7313,13435,2015,5298,10386,71,0.7244632845617394,13557,10485,0.773401194954636
20601,14704,32136,7989,6715,14490,96,0.4566784548422198,22313,12136,0.5438981759512392
20602,5911,13384,1837,4074,8624,54,0.6892234816443918,9429,6944,0.7364513734224202
20603,9719,23668,4221,5498,14904,75,0.5656960592653565,14395,9610,0.6675929142063216
20604,4570,7579,851,3719,6196,50,0.8137855579868709,8562,7089,0.8279607568325158
20701,16575,47164,7490,9085,28622,81,0.5481146304675717,23962,13065,0.5452382939654453
20702,4647,9473,2190,2457,3809,48,0.5287282117495158,12087,8461,0.7000082733515347
20703,5831,11632,2178,3653,7413,53,0.6264791630938089,9821,6970,0.709703696161287
20801,12715,27167,7411,5304,11888,91,0.4171451042076288,20990,11221,0.5345878989995236
20802,5271,10924,1480,3791,8032,54,0.7192183646366913,8315,6394,0.768971737823211
20901,9359,15330,3200,6159,10330,73,0.6580831285393739,14376,9886,0.6876739009460211
20902,1717,3771,118,1599,3653,26,0.9312754804892254,2782,2664,0.9575844716031632
20903,5208,9758,2051,3157,5896,39,0.6061827956989247,8801,5533,0.6286785592546301
20904,7763,16542,2488,5275,11875,66,0.6795053458714414,12543,9522,0.7591485290600335
