County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Alachua,51043.0,0.702721,23919.0,17626.0,12001
Baker,1839.6,0.746758,918.0,716.1,12003
Bay,22056.0,0.52072,11517.0,6872.0,12005
Bradford,5019.3,0.555496,2242.9,1370.4,12007
Brevard,66553.0,0.70096,31839.0,24133.0,12009
Broward,258856.0,0.651857,120910.0,84038.0,12011
Calhoun,2559.3,0.446899,1128.7,575.1,12013
Charlotte,19741.0,0.774176,11048.0,8778.0,12015
Citrus,29881.0,0.709581,16266.0,12470.0,12017
Clay,21113.0,0.584521,9140.0,6395.0,12019
Collier,42558.0,0.685042,18984.0,14506.0,12021
Columbia,10875.2,0.555496,4859.5,2969.3,12023
DeSoto,5379.8,0.541893,2509.7,1532.2,12027
Dixie,5019.3,0.555496,2242.9,1370.4,12029
Duval,166225.0,0.497952,73054.0,43159.0,12031
Escambia,41902.0,0.54742,18290.0,11161.0,12033
Flagler,17344.0,0.573455,7793.0,5403.0,12035
Franklin,4478.7,0.446899,1975.2,1006.3,12037
Gadsden,6398.1,0.446899,2821.7,1437.6,12039
Gilchrist,4182.8,0.555496,1869.0,1142.0,12041
Glades,3753.1,0.57063,1494.7,837.7,12043
Gulf,3838.9,0.446899,1693.0,862.6,12045
Hamilton,3375.1,0.532673,1639.6,1054.7,12047
Hardee,4782.0,0.541893,2230.8,1362.0,12049
Hendry,7506.1,0.57063,2989.4,1675.5,12051
Hernando,27751.0,0.587186,12594.0,8548.0,12053
Highlands,21532.7,0.5459,9840.2,5947.9,12055
Hillsborough,217145.0,0.533537,100477.0,60951.0,12057
Holmes,3651.4,0.71452,1684.8,1334.4,12059
Indian River,19410.0,0.650953,11172.0,8621.0,12061
Jackson,8317.6,0.446899,3668.2,1868.9,12063
Jefferson,3838.9,0.446899,1693.0,862.6,12065
Lafayette,1687.5,0.532673,819.8,527.4,12067
Lake,49829.0,0.626804,27778.0,19431.0,12069
Lee,94957.0,0.755468,43247.0,34325.0,12071
Leon,53284.0,0.648581,24099.0,17017.0,12073
Levy,10875.2,0.555496,4859.5,2969.3,12075
Liberty,2559.3,0.446899,1128.7,575.1,12077
Madison,2812.6,0.532673,1366.4,878.9,12079
Manatee,43140.0,0.768799,23850.0,18977.0,12081
Marion,67775.0,0.475662,28615.0,16890.0,12083
Martin,24736.0,0.647235,11136.0,8379.0,12085
Miami-Dade,393156.1,0.482426,178445.6,90892.9,12086
Monroe,10596.9,0.562557,4563.4,2978.1,12087
Nassau,11037.4,0.746758,5508.0,4296.9,12089
Okaloosa,23012.0,0.641057,9243.0,6372.0,12091
Okeechobee,9007.4,0.57063,3587.2,2010.6,12093
Orange,186717.0,0.580906,80762.0,51257.0,12095
Osceola,51796.0,0.632462,20476.0,13897.0,12097
Palm Beach,166316.0,0.625887,79845.0,57482.0,12099
Pasco,63599.0,0.677102,34066.0,25316.0,12101
Pinellas,112012.0,0.5964,57221.0,38245.0,12103
Polk,108649.0,0.563429,47150.0,29068.0,12105
Putnam,14715.9,0.645349,6233.6,4103.8,12107
St. Johns,24139.1,0.756246,12067.4,9150.2,12109
St. Lucie,43312.0,0.651667,21770.0,15439.0,12111
Santa Rosa,16001.0,0.679458,7958.0,5755.0,12113
Sarasota,49020.0,0.844492,24266.0,20401.0,12115
Seminole,46348.0,0.648313,20533.0,13531.0,12117
Sumter,19132.0,0.616663,8164.0,5932.0,12119
Suwannee,6187.7,0.532673,3006.0,1933.7,12121
Taylor,4500.1,0.532673,2186.2,1406.3,12123
Union,3346.2,0.555496,1495.2,913.6,12125
Volusia,71876.0,0.561745,34918.0,22002.0,12127
Wakulla,5758.3,0.446899,2539.5,1293.9,12129
Walton,10954.2,0.71452,5054.4,4003.2,12131
Washington,3651.4,0.71452,1684.8,1334.4,12133
