PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00101,19668,40684,4871,14797,30877,110,0.7523388244864755,28575,22452,0.7857217847769029
00102,4251,10359,1422,2829,4992,45,0.6654904728299224,8557,6882,0.8042538272759144
00398,6426,12877,1413,5013,9616,70,0.7801120448179272,11640,9272,0.7965635738831615
00500,11517,22056,4645,6872,11485,121,0.5966831640184076,21908,15200,0.693810480189885
00798,17569,39318,6834,10735,21841,200,0.6110194091866356,27615,18008,0.652109360854608
00901,5450,9251,1409,4041,6296,74,0.7414678899082568,11028,8388,0.7606093579978237
00902,5980,12472,1079,4901,9600,73,0.8195652173913044,10059,8279,0.8230440401630381
00903,5692,11258,1846,3846,7750,62,0.6756851721714687,12308,9378,0.7619434514137147
00904,9561,20926,2515,7046,13257,89,0.7369522016525468,18989,14557,0.7666017167834009
00905,5156,12646,857,4299,9748,46,0.8337858805275408,9325,8064,0.8647721179624664
01101,1425,2625,149,1276,2404,18,0.895438596491228,3301,3152,0.9548621629809149
01102,6913,14614,1850,5063,9050,55,0.7323882540141762,11706,9136,0.7804544677942935
01103,9351,16709,2706,6645,10728,70,0.7106191851138915,15090,11752,0.7787939032471836
01104,9329,18575,1833,7496,15027,71,0.8035159181048344,15397,12449,0.8085341300253296
01105,7309,15324,2046,5263,9005,53,0.720071145163497,13863,10573,0.7626776311043786
01106,9441,17019,2401,7040,13586,84,0.7456837199449211,15477,11409,0.7371583640240357
01107,9962,24461,4395,5567,12046,70,0.5588235294117647,18069,11053,0.611710664674304
01108,10233,22676,4743,5490,10798,87,0.5364995602462621,16715,9707,0.5807358659886329
01109,6534,17960,1969,4565,13081,55,0.6986531986531986,11942,8850,0.7410818958298443
01110,7214,16559,971,6243,14034,50,0.8654006099251456,11232,8615,0.7670049857549858
01111,7386,12693,3176,4210,6620,55,0.569997292174384,11399,7737,0.6787437494517062
01112,4413,11320,1080,3333,7835,28,0.7552685248130524,7347,5144,0.7001497209745474
01113,9570,16872,3299,6271,11320,74,0.6552769070010449,17484,13106,0.7495996339510409
01114,7904,17421,3187,4717,8635,71,0.5967864372469636,13889,8891,0.6401468788249693
01115,4354,10558,844,3510,7968,31,0.8061552595314653,8158,6949,0.8518019122333905
01116,7209,16524,2030,5179,10524,81,0.7184075461229019,11486,9045,0.7874804109350514
01117,2363,6946,193,2170,6076,25,0.9183241641980533,3601,3408,0.9464037767286865
01398,16648,37749,8166,8482,16870,203,0.5094906295050456,27797,16704,0.6009281577148613
01500,11048,19741,2270,8778,15283,105,0.7945329471397538,21805,17922,0.821921577619812
01700,16266,29881,3796,12470,21203,137,0.7666297799090127,25874,20355,0.7866970704181804
01901,5827,12472,1668,4159,8416,56,0.7137463531834564,12094,9371,0.7748470315859104
01902,3313,8641,1077,2236,3925,33,0.6749169936613342,8325,6433,0.7727327327327327
02101,4522,8435,902,3620,5778,52,0.8005307386112339,8590,7190,0.8370197904540163
02102,7279,14184,1922,5357,10015,82,0.7359527407610935,11720,8962,0.7646757679180888
02103,7183,19939,1654,5529,13361,86,0.7697340943895309,12346,10335,0.8371132350558885
02799,13385,28692,5213,8172,15548,152,0.6105341800522973,21836,13943,0.6385326982963913
03101,8842,27079,3367,5475,15276,65,0.6192038000452387,15573,11156,0.7163680729467669
03102,16152,33731,9156,6996,10813,139,0.43313521545319467,24135,11846,0.49082245701263727
03103,13028,28334,6215,6813,12215,83,0.5229505680073687,21363,12569,0.5883536956419978
03104,11588,30588,4287,7301,15415,66,0.630048325854332,17356,12425,0.7158907582392257
03105,6044,14544,1576,4468,9168,48,0.7392455327597618,11303,8898,0.7872246306290366
03106,9752,18083,4001,5751,9702,64,0.5897251845775225,15771,11140,0.7063597742692284
03107,7648,13866,1293,6355,10183,62,0.8309361924686193,13392,10979,0.8198178016726404
03301,5820,12857,2386,3434,6708,56,0.5900343642611684,10863,7465,0.6871950658197551
03302,8559,20547,3883,4676,9535,80,0.5463255053160416,14368,9254,0.6440701559020044
03303,3911,8498,860,3051,6695,49,0.780107389414472,8067,6642,0.8233544068426925
03500,7793,17344,2390,5403,9946,64,0.6933145130245092,14646,11307,0.7720196640721017
04798,9018,18563,3217,5801,9888,114,0.6432690175205146,15864,11504,0.7251638930912758
05199,9267,23269,4073,5194,13278,78,0.5604834358476314,17506,11090,0.6334970867131269
05300,12594,27751,4046,8548,16295,114,0.678735905986978,24215,17495,0.7224860623580426
05701,15858,35547,7828,8030,16236,134,0.5063690250977425,24485,13110,0.5354298550132734
