year,month,ym,households,persons,issuance,footnote
1988,10,1988-10,592000.0,1696000.0,59547515.0,
1988,11,1988-11,600600.0,1718000.0,60552438.0,
1988,12,1988-12,610000.0,1748000.0,62068700.0,
1989,1,1989-01,615500.0,1758000.0,61941091.0,
1989,2,1989-02,619400.0,1769000.0,62616052.0,
1989,3,1989-03,636400.0,1812000.0,64730809.0,
1989,4,1989-04,635000.0,1809000.0,64010921.0,
1989,5,1989-05,630675.0,1780476.0,64330841.0,
1989,6,1989-06,634900.0,1797000.0,64539054.0,
1989,7,1989-07,630675.0,1780476.0,63377727.0,
1989,8,1989-08,647901.0,1827414.0,60492431.0,
1989,9,1989-09,644631.0,1814642.0,59000787.0,
1989,10,1989-10,653709.0,1848724.0,75315334.0,
1989,11,1989-11,682429.0,1920510.0,76897542.0,
1989,12,1989-12,668414.0,1883715.0,77991019.0,
1990,1,1990-01,682861.0,1921727.0,79179745.0,
1990,2,1990-02,683657.0,1926427.0,79517959.0,
1990,3,1990-03,704911.0,1993066.0,83102861.0,
1990,4,1990-04,698037.0,1972324.0,81930406.0,
1990,5,1990-05,710119.0,1977204.0,82203718.0,
1990,6,1990-06,709527.0,1999785.0,82500921.0,
1990,7,1990-07,708278.0,1963270.0,82198426.0,
1990,8,1990-08,674223.0,1862443.0,84062642.0,
1990,9,1990-09,702405.0,1974546.0,83571078.0,
1990,10,1990-10,727954.0,2009476.0,97745015.0,
1990,11,1990-11,738452.0,2040007.0,99415381.0,
1990,12,1990-12,745500.0,2077000.0,102577169.0,
1991,1,1991-01,766890.0,2105919.0,103530152.0,
1991,2,1991-02,782786.0,2150728.0,105831412.0,
1991,3,1991-03,805237.0,2209083.0,110399340.0,
1991,4,1991-04,860021.0,2358674.0,112021910.0,
1991,5,1991-05,838182.0,2291144.0,112489582.0,
1991,6,1991-06,842636.0,2300152.0,112333176.0,
1991,7,1991-07,848600.0,2302900.0,113695881.0,
1991,8,1991-08,864700.0,2364600.0,116262124.0,
1991,9,1991-09,865400.0,2333500.0,120708118.0,
1991,10,1991-10,889593.0,2394005.0,137034867.0,
1991,11,1991-11,898300.0,2426600.0,138900024.0,
1991,12,1991-12,923600.0,2482400.0,142053354.0,
1992,1,1992-01,923300.0,2462000.0,143065266.0,
1992,2,1992-02,931900.0,2511300.0,146251403.0,
1992,3,1992-03,969600.0,2582100.0,148646140.0,
1992,4,1992-04,980000.0,2613700.0,149739224.0,
1992,5,1992-05,979700.0,2613500.0,148766614.0,
1992,6,1992-06,988000.0,2629000.0,150082692.0,
1992,7,1992-07,1004501.0,2663607.0,151864229.0,
1992,8,1992-08,1002567.0,2658540.0,151494022.0,
1992,9,1992-09,1004310.0,2658346.0,151660340.0,
1992,10,1992-10,1021061.0,2658346.0,163096613.0,
1992,11,1992-11,1016161.0,2689726.0,162061529.0,
1992,12,1992-12,1030293.0,2729167.0,170088974.0,
1993,1,1993-01,1044703.0,2785282.0,168407474.0,
