County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Appling,5916.8,0.493912,2355.9,1455.0,13001
Atkinson,2420.0,0.454562,943.4,502.6,13003
Bacon,2420.0,0.454562,943.4,502.6,13005
Baker,1139.8,0.372284,575.0,257.6,13007
Baldwin,8989.8,0.576705,3432.1,2125.4,13009
Banks,2776.8,0.540616,1186.2,738.2,13011
Barrow,10083.1,0.495971,4264.5,2498.9,13013
Bartow,7528.0,0.819872,4756.0,3878.0,13015
Ben Hill,4178.5,0.513676,1942.1,1178.6,13017
Berrien,4178.5,0.513676,1942.1,1178.6,13019
Bibb,38937.0,0.305802,16770.0,6996.0,13021
Bleckley,2422.7,0.372326,1052.3,502.7,13023
Brantley,4033.3,0.454562,1572.3,837.7,13025
Brooks,4178.5,0.513676,1942.1,1178.6,13027
Bryan,5460.5,0.290446,1998.6,855.8,13029
Bulloch,11865.7,0.732081,5549.5,4068.6,13031
Burke,4585.8,0.387,2219.4,1093.6,13033
Butts,3186.2,0.620473,1507.2,1014.5,13035
Calhoun,1139.8,0.372284,575.0,257.6,13037
Camden,10729.7,0.561465,4025.7,2387.3,13039
Candler,1817.0,0.372326,789.2,377.0,13043
Carroll,15547.0,0.473403,7041.0,3990.0,13045
Catoosa,10270.9,0.658318,4272.1,2867.9,13047
Charlton,2420.0,0.454562,943.4,502.6,13049
Chatham,40126.0,0.618502,20470.0,13681.0,13051
Chattahoochee,3504.4,0.59526,1684.9,1118.0,13053
Chattooga,6162.5,0.658318,2563.3,1720.7,13055
Cherokee,20087.0,0.715288,9308.0,7311.0,13057
Clarke,33775.0,0.741702,13704.0,11356.0,13059
Clay,816.7,0.433986,335.2,154.1,13061
Clayton,58456.0,0.45234,20081.0,11269.0,13063
Clinch,1613.3,0.454562,628.9,335.1,13065
Cobb,69120.0,0.690871,27518.0,20672.0,13067
Coffee,9679.8,0.454562,3773.6,2010.4,13069
Colquitt,12221.1,0.490041,4776.4,2650.3,13071
Columbia,14092.0,0.846438,6376.0,5276.0,13073
Cook,3482.1,0.513676,1618.4,982.2,13075
Coweta,16750.0,0.884,6569.0,5501.0,13077
Crawford,1926.4,0.576705,735.5,455.4,13079
Crisp,4900.3,0.433986,2011.0,924.5,13081
Dade,3423.6,0.658318,1424.0,956.0,13083
Dawson,2825.1,0.652833,1407.5,1020.1,13085
Decatur,4559.2,0.372284,2300.0,1030.3,13087
DeKalb,102073.0,0.57596,46003.0,29519.0,13089
Dodge,4239.8,0.372326,1841.4,879.8,13091
Dooly,2450.2,0.433986,1005.5,462.3,13093
Dougherty,18320.2,0.253016,8077.7,2698.6,13095
Douglas,17250.0,0.615246,6978.0,4843.0,13097
Early,2849.5,0.372284,1437.5,643.9,13099
