PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00100,13386,32182,4400,8986,21186,141,0.6712983714328403,23683,18001,0.7600810708102859
00200,6406,18030,2285,4121,10984,56,0.6433031532937871,12917,9034,0.6993884028799257
00300,14369,30454,5268,9101,17205,148,0.6333774097014406,24308,16933,0.6966019417475728
00400,8847,17758,2435,6412,11593,134,0.7247654572171357,16343,13002,0.7955699687939791
00500,12159,28462,4592,7567,15387,144,0.6223373632700058,19973,13818,0.691833975867421
00601,3798,6987,1067,2731,4487,38,0.7190626645602949,6886,5557,0.8069997095556201
00602,8296,23393,2125,6171,16964,72,0.7438524590163934,12916,10324,0.7993186745122329
00701,3036,7773,545,2491,6566,29,0.8204874835309618,5189,4235,0.8161495471189054
00702,3972,9715,473,3499,7157,38,0.8809164149043303,7130,6599,0.9255259467040673
00801,3013,5990,359,2654,5256,39,0.8808496515101228,5350,4816,0.9001869158878505
00802,6295,14097,1638,4657,9112,50,0.7397934868943606,11559,9386,0.8120079591660179
00900,4756,7528,878,3878,6172,51,0.8153910849453322,10241,8266,0.8071477394785666
01000,16978,43852,7900,9078,19809,142,0.534691954293792,25570,15694,0.6137661321861556
01100,5325,14750,1206,4119,11042,43,0.7735211267605634,11689,8878,0.7595174950808452
01200,6978,17250,2135,4843,10613,53,0.6940384064201777,11903,9014,0.7572880786356381
01301,3762,7738,768,2994,6522,47,0.79585326953748,6205,5292,0.8528605962933118
01302,3550,7756,575,2975,5794,44,0.8380281690140845,6098,5523,0.905706789111184
01303,8452,21571,2299,6153,13104,65,0.7279933743492665,13737,10256,0.7465967824124627
01304,5601,15399,1620,3981,11695,54,0.710765934654526,9228,7117,0.7712397052449068
01305,6153,16656,1584,4569,10638,54,0.7425646026328621,13299,10722,0.8062260320324837
01401,4110,8045,324,3786,7303,46,0.9211678832116789,7134,6720,0.9419680403700589
01402,3491,6727,818,2673,4393,36,0.7656831853337153,5976,5158,0.8631191432396251
01403,4043,7548,867,3176,4633,32,0.7855552807321297,6479,5530,0.8535267788238926
01404,9058,15197,1451,7607,12460,63,0.8398101126076396,12606,10810,0.8575281611930826
01405,15403,26768,7220,8183,12900,104,0.5312601441277673,20192,11975,0.5930566561014263
01406,19884,38360,10908,8976,13397,124,0.45141822570911283,27869,13787,0.4947073809609243
01407,6893,17701,3128,3765,8992,46,0.5462062962425649,12565,8017,0.6380421806605651
01408,4537,7388,1228,3309,4709,39,0.7293365660127837,10225,7499,0.7333985330073349
01501,7070,15477,1546,5524,11496,57,0.7813295615275814,11082,8897,0.8028334235697527
01502,8444,23879,2813,5631,12979,77,0.6668640454760777,14211,10157,0.7147280275842657
01503,6909,14093,1987,4922,9590,58,0.7124041105804024,11742,9077,0.7730369613353772
01504,5578,8784,1633,3945,5547,64,0.7072427393330943,7896,5906,0.7479736575481256
01505,8430,18831,4774,3656,6380,55,0.4336892052194543,11276,5485,0.48643135863781484
01506,9572,21009,3731,5841,12798,65,0.610217300459674,14331,9455,0.6597585653478473
01601,6323,15141,686,5637,13224,63,0.8915071959512889,12038,10691,0.8881043362684832
01602,5075,13248,1366,3709,9125,47,0.7308374384236453,9110,7463,0.8192096597145994
01603,4331,14816,1137,3194,10351,42,0.7374740244747171,8173,6567,0.8034993270524899
01604,5620,15501,1422,4198,11669,44,0.7469750889679715,10451,8355,0.7994450291838101
01605,8817,24327,2818,5999,14433,71,0.680390155381649,13529,10194,0.7534924975977529
01606,7957,25340,2574,5383,14863,73,0.6765112479577731,13692,10523,0.768550978673678
01607,5715,16358,1258,4457,11618,57,0.7798775153105861,9269,6758,0.7290969899665551
01700,8292,19606,3433,4859,9724,81,0.5859864930053064,16592,11483,0.6920805207328833
01800,13704,33775,2348,11356,25051,100,0.8286631640396964,20069,16322,0.8132941352334446
01900,7837,21367,2405,5432,13664,103,0.6931223682531581,12457,9027,0.724652805651441
02000,8069,18758,2784,5285,12933,77,0.6549758334366093,14335,10520,0.7338681548657133
02100,8977,25604,4613,4364,11335,79,0.4861312242397237,17283,10295,0.595672047676908
02201,4530,9627,1387,3143,6146,40,0.6938189845474614,9544,8012,0.8394803017602682
02202,6716,18470,2616,4100,8493,51,0.6104824300178677,10584,6060,0.572562358276644
02301,11035,32520,5450,5585,12501,66,0.5061169007702764,20475,12436,0.6073748473748474
02302,9046,25936,3362,5684,13941,54,0.6283440194561132,14442,9795,0.67823016202742
02400,2653,4280,222,2431,3830,24,0.916321145872597,7443,6806,0.914416230014779
02500,6569,16750,1068,5501,14807,51,0.8374181762825392,10961,8893,0.8113310829303896
02600,7041,15547,3051,3990,7360,65,0.5666808691947166,12746,8461,0.6638160991683666
02700,9588,22770,5547,4041,7541,95,0.4214643304130163,14486,8034,0.554604445671683
02800,11756,24852,3843,7913,15420,122,0.6731030962912555,18435,12922,0.7009492812584758
02900,12993,34033,4947,8046,19627,136,0.6192565227430155,24124,17121,0.7097081744321008
03000,16770,38937,9774,6996,11907,140,0.4171735241502683,25607,13232,0.5167337056273675
03100,11414,23584,5790,5624,9127,140,0.4927282284913264,20235,12597,0.6225352112676056
03200,6376,14092,1100,5276,11928,45,0.8274780426599749,10912,8639,0.7916972140762464
03301,10144,20005,6130,4014,6747,93,0.3957018927444795,16314,9111,0.558477381390217
03302,8714,25337,4769,3945,8768,61,0.4527197613036493,11885,6241,0.525115692048801
03400,11654,24918,3110,8544,18242,110,0.733138836451004,18505,13822,0.7469332612807349
03500,12364,28467,6457,5907,10599,168,0.4777580071174377,19826,11647,0.5874609099162715
03600,11655,29571,3977,7678,17691,90,0.6587730587730588,18297,12799,0.6995135814614417
03700,15753,38386,8511,7242,16659,186,0.4597219577223386,25788,14811,0.5743369008841321
03800,21567,44856,7257,14310,26701,170,0.6635137014883851,31604,22260,0.7043412226300468
03900,12075,23936,6666,5409,8911,144,0.4479503105590062,20180,11622,0.5759167492566898
04000,10306,23374,6863,3443,5914,101,0.33407723656122645,17624,8674,0.4921697684975034
04100,11145,28516,4961,6184,13974,126,0.5548676536563482,18840,11492,0.6099787685774947
04200,13271,28553,5217,8054,14667,154,0.6068871976490091,21519,14605,0.6787025419396812
04300,12244,27942,5309,6935,14977,82,0.5663998693237504,19534,13121,0.671700624552063
04400,15409,39526,7200,8209,17967,156,0.5327406061392692,25855,16271,0.6293173467414427
04500,16155,40572,6178,9977,20039,184,0.6175796966883318,23557,15367,0.6523326399796239
04600,7106,19415,4063,3043,5639,83,0.42822966507177035,13490,8266,0.6127501853224611
04701,15211,30810,5515,9696,18340,151,0.6374334363289724,22612,14595,0.6454537413762604
04702,5259,9316,1274,3985,6478,54,0.7577486214109146,9836,7869,0.8000203334688898
04800,12077,32189,4915,7162,18073,107,0.5930280698849052,19594,13510,0.6894967847300194
