PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00100,12991,34310,4690,8301,18627,125,0.6389808328843045,21354,15909,0.7450126440011239
00200,15836,31839,4530,11306,21997,151,0.7139429148774943,24435,18059,0.7390628197258031
00301,4997,15190,1906,3091,9963,53,0.6185711426856114,7440,5379,0.722983870967742
00302,4615,10388,690,3925,7456,41,0.8504875406283857,7843,6384,0.8139742445492796
00303,3631,7233,335,3296,6325,43,0.9077389148994768,5485,5011,0.9135824977210574
00304,10825,16084,3202,7623,10575,88,0.704203233256351,16154,12460,0.7713259873715489
00305,8780,20172,4665,4115,6064,88,0.46867881548974943,13095,7332,0.5599083619702176
00306,6380,14620,1644,4736,11392,59,0.742319749216301,11772,9915,0.8422528032619776
00307,4426,9203,1132,3294,6613,51,0.7442385901491189,7746,6001,0.7747224373870385
00308,4630,12632,1901,2729,5538,39,0.5894168466522678,6746,4131,0.6123628817076786
