County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Adair,1144.7,0.552327,550.7,357.0,19001
Adams,937.4,0.653471,367.3,236.0,19003
Allamakee,1669.2,0.659388,786.2,551.2,19005
Appanoose,2343.6,0.653471,918.3,589.9,19007
Audubon,1144.7,0.552327,550.7,357.0,19009
Benton,3577.4,0.652179,1561.0,1001.0,19011
Black Hawk,19697.0,0.50231,8943.0,5396.0,19013
Boone,2738.4,0.899481,1441.6,1321.4,19015
Bremer,2670.7,0.659388,1257.9,881.9,19017
Buchanan,1981.3,0.58652,1109.6,707.9,19019
Buena Vista,2158.5,0.596516,1050.5,579.5,19021
Butler,1588.9,0.471119,816.9,478.9,19023
Calhoun,1439.0,0.596516,700.4,386.3,19025
Carroll,2158.5,0.596516,1050.5,579.5,19027
Cass,1907.8,0.552327,917.8,595.0,19029
Cedar,2924.4,0.54742,1339.1,771.5,19031
Cerro Gordo,4274.7,0.753743,2564.7,1959.3,19033
Cherokee,1798.8,0.596516,875.4,482.9,19035
Chickasaw,1335.4,0.659388,628.9,440.9,19037
Clarke,1406.1,0.653471,551.0,353.9,19039
Clay,1608.8,0.544225,743.9,520.7,19041
Clayton,2003.1,0.659388,943.4,661.4,19043
Clinton,7018.6,0.54742,3213.9,1851.5,19045
Crawford,2158.5,0.596516,1050.5,579.5,19047
Dallas,6858.2,0.830161,3977.6,3059.8,19049
Davis,1054.9,0.590674,482.1,297.0,19051
Decatur,1406.1,0.653471,551.0,353.9,19053
Delaware,1320.8,0.58652,739.7,471.9,19055
Des Moines,5509.9,0.613562,2687.7,1830.8,19057
Dickinson,1930.5,0.544225,892.7,624.8,19059
Dubuque,8915.7,0.58652,4993.1,3185.4,19061
Emmet,1287.0,0.544225,595.1,416.5,19063
Fayette,2336.9,0.659388,1100.7,771.7,19065
Floyd,1781.1,0.753743,1068.6,816.4,19067
Franklin,953.3,0.471119,490.1,287.3,19069
Fremont,1406.1,0.653471,551.0,353.9,19071
Greene,1439.0,0.596516,700.4,386.3,19073
Grundy,1271.1,0.471119,653.5,383.1,19075
Guthrie,1144.7,0.552327,550.7,357.0,19077
Hamilton,1588.9,0.471119,816.9,478.9,19079
Hancock,1424.9,0.753743,854.9,653.1,19081
Hardin,1906.7,0.471119,980.3,574.7,19083
Harrison,1907.8,0.552327,917.8,595.0,19085
Henry,2504.5,0.613562,1221.7,832.2,19087
Howard,1001.5,0.659388,471.7,330.7,19089
Humboldt,1271.1,0.471119,653.5,383.1,19091
Ida,1079.3,0.596516,525.3,289.7,19093
Iowa,2044.2,0.652179,892.0,572.0,19095
Jackson,1981.3,0.58652,1109.6,707.9,19097
Jasper,2824.4,0.569822,1589.4,1104.1,19099
Jefferson,2637.2,0.590674,1205.1,742.6,19101
Johnson,18803.0,0.733872,10040.0,7853.0,19103
Jones,4094.2,0.54742,1874.8,1080.1,19105
Keokuk,2109.7,0.590674,964.1,594.1,19107
Kossuth,2137.3,0.753743,1282.3,979.7,19109
Lee,5509.9,0.613562,2687.7,1830.8,19111
Linn,23956.0,0.643847,12571.0,8363.0,19113
Louisa,1502.7,0.613562,733.0,499.3,19115
Lucas,1874.8,0.653471,734.7,471.9,19117
Lyon,965.3,0.544225,446.4,312.4,19119
Madison,1443.8,0.830161,837.4,644.2,19121
Mahaska,3692.0,0.590674,1687.2,1039.6,19123
Marion,2824.4,0.569822,1589.4,1104.1,19125
Marshall,5621.7,0.652179,2453.0,1573.0,19127
Mills,1907.8,0.552327,917.8,595.0,19129
Mitchell,1068.7,0.753743,641.2,489.8,19131
Monona,1439.0,0.596516,700.4,386.3,19133
Monroe,1406.1,0.653471,551.0,353.9,19135
Montgomery,1874.8,0.653471,734.7,471.9,19137
Muscatine,5848.8,0.54742,2678.2,1542.9,19139
O'Brien,1287.0,0.544225,595.1,416.5,19141
Osceola,643.5,0.544225,297.6,208.3,19143
Page,2812.3,0.653471,1102.0,707.9,19145
Palo Alto,1287.0,0.544225,595.1,416.5,19147
Plymouth,2366.1,0.586364,1154.7,628.5,19149
Pocahontas,1079.3,0.596516,525.3,289.7,19151
Polk,54846.0,0.620136,23390.0,15612.0,19153
Pottawattamie,11446.6,0.552327,5507.1,3570.0,19155
Poweshiek,2555.3,0.652179,1115.0,715.0,19157
Ringgold,937.4,0.653471,367.3,236.0,19159
Sac,1439.0,0.596516,700.4,386.3,19161
Scott,19866.0,0.553509,8662.0,6008.0,19163
Shelby,1526.2,0.552327,734.3,476.0,19165
Sioux,2895.8,0.544225,1339.1,937.2,19167
Story,10562.6,0.899481,5560.4,5096.6,19169
Tama,3066.4,0.652179,1338.0,858.0,19171
Taylor,1406.1,0.653471,551.0,353.9,19173
Union,1874.8,0.653471,734.7,471.9,19175
Van Buren,1054.9,0.590674,482.1,297.0,19177
Wapello,5801.8,0.590674,2651.3,1633.6,19179
Warren,3954.2,0.569822,2225.2,1545.8,19181
Washington,3164.6,0.590674,1446.2,891.1,19183
Wayne,1406.1,0.653471,551.0,353.9,19185
Webster,4131.1,0.471119,2123.9,1245.1,19187
Winnebago,1068.7,0.753743,641.2,489.8,19189
Winneshiek,1669.2,0.659388,786.2,551.2,19191
Woodbury,11435.9,0.586364,5581.3,3037.5,19193
Worth,1068.7,0.753743,641.2,489.8,19195
Wright,1588.9,0.471119,816.9,478.9,19197
