PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00100,5505,11905,1652,3853,6479,72,0.6999091734786558,10456,8433,0.806522570772762
00200,7694,12824,1816,5878,9666,94,0.7639719261762412,14097,11565,0.8203873164503086
00301,3694,6512,1011,2683,4062,28,0.7263129399025446,8051,6680,0.8297105949571482
00302,8877,17444,3197,5680,11362,51,0.6398558071420525,15125,9727,0.6431074380165289
00400,5975,12686,1786,4189,8365,89,0.7010878661087866,12380,10473,0.8459612277867529
00500,8943,19697,3547,5396,9894,60,0.6033769428603377,15693,10885,0.6936213598419677
00600,7352,14300,3042,4310,6737,111,0.5862350380848749,13625,9733,0.714348623853211
00700,7952,14199,2879,5073,8328,86,0.6379527162977867,14384,10161,0.7064098998887653
00800,9106,19886,3860,5246,10886,89,0.5761036679112673,14356,8777,0.6113820005572583
00900,8662,19866,2654,6008,10996,61,0.6936042484414685,17319,13379,0.772504186153935
01100,10040,18803,2187,7853,13799,60,0.7821713147410359,15350,12984,0.8458631921824105
01200,7359,16865,2640,4719,10999,92,0.6412556053811659,12434,8617,0.6930191410648222
01300,7002,13301,584,6418,11964,56,0.9165952584975722,12338,11279,0.9141676122548225
01400,5404,9603,1650,3754,5472,60,0.6946706143597335,10407,8109,0.7791870856154511
01501,4301,10449,1103,3198,6420,21,0.7435480120902116,10109,7180,0.710258185775052
01502,6803,16519,1530,5273,12120,33,0.7750992209319418,13015,9771,0.7507491356127545
01503,12286,27878,5145,7141,15472,64,0.5812306690542081,21264,14039,0.6602238525206923
01600,4815,8302,1111,3704,6892,43,0.7692627206645898,7776,6265,0.8056841563786008
01800,8265,21092,2956,5309,13783,133,0.6423472474289171,14695,10145,0.6903708744470909
01900,7879,16189,3533,4346,9657,128,0.5515928417311842,13965,9962,0.7133548156104547
02000,6736,13802,3070,3666,8093,64,0.5442399049881235,12272,8223,0.6700619295958279
02100,10647,22130,3745,6902,12223,131,0.6482577251808022,19124,14299,0.7476992261033256
02200,8918,19515,3423,5495,11527,101,0.6161695447409733,14229,10414,0.7318855857755289
02300,7330,15027,2337,4993,9220,57,0.6811732605729878,14272,11652,0.8164237668161435
