STATE,STATEFIPS,COUNTY,COUNTYFIPS,YM,YEAR,MONTH,HOUSEHOLDS,INDIVIDUALS,ISSUANCE,APPS_RECEIVED,APPS_APPROVED,APPS_DENIED,APPS_DENIED_NEEDBASED,APPS_DENIED_PROCEDURAL
California,6,alameda,1,2016m7,2016,7,60323,115631,16403972,4285,3149,1062,434,525
California,6,alameda,1,2016m8,2016,8,60357,115341,16484993,5115,3592,1356,542,666
California,6,alameda,1,2016m9,2016,9,60124,115295,16418129,4458,3339,1303,504,704
California,6,alameda,1,2016m10,2016,10,59986,114855,16188738,4230,3154,1144,446,595
California,6,alameda,1,2016m11,2016,11,59482,114093,16038520,3910,2973,1064,395,581
California,6,alameda,1,2016m12,2016,12,59072,113430,15989041,4102,2934,1018,391,532
California,6,alameda,1,2017m1,2017,1,58727,111820,15641304,5064,3408,1276,490,665
California,6,alameda,1,2017m2,2017,2,57353,110176,15343029,4092,2964,1187,401,697
California,6,alameda,1,2017m3,2017,3,57764,109769,15483638,4893,3473,1415,493,746
California,6,alameda,1,2017m4,2017,4,56804,108049,15138874,4304,2943,1187,406,647
California,6,alameda,1,2017m5,2017,5,57144,107958,15155309,4820,3279,1385,459,776
California,6,alameda,1,2017m6,2017,6,57141,108000,15165991,4980,3265,1464,516,768
California,6,alameda,1,2017m7,2017,7,56864,107183,15133286,5174,3215,1470,477,791
California,6,alameda,1,2017m8,2017,8,57382,107694,15200950,6024,3594,2074,644,1215
California,6,alameda,1,2017m9,2017,9,57189,107586,15104692,5367,3233,1967,552,1222
California,6,alameda,1,2017m10,2017,10,57502,107669,14858422,5532,3288,2135,564,1375
California,6,alameda,1,2017m11,2017,11,56882,106861,14668194,4870,2912,2014,577,1283
California,6,alameda,1,2017m12,2017,12,56587,106310,14603061,4270,2799,1721,469,1091
California,6,alameda,1,2018m1,2018,1,56497,104937,14649581,5746,3319,1715,472,1044
California,6,alameda,1,2018m2,2018,2,55019,103106,14165010,4710,2966,1780,433,1148
California,6,alameda,1,2018m3,2018,3,55632,103157,14314706,5220,3368,1961,500,1203
California,6,alameda,1,2018m4,2018,4,55132,102099,14119393,4935,3058,1788,444,1107
California,6,alameda,1,2018m5,2018,5,55154,101559,14115775,5269,3171,1920,451,1164
California,6,alameda,1,2018m6,2018,6,55241,101859,14148657,4948,2933,1776,435,1064
California,6,alameda,1,2018m7,2018,7,54734,100430,13968285,5379,3191,1939,486,1151
California,6,alameda,1,2018m8,2018,8,54766,100106,13971600,6350,3704,2115,552,1243
California,6,alameda,1,2018m9,2018,9,54088,99547,13769594,5261,2987,2125,468,1385
California,6,alameda,1,2018m10,2018,10,54429,99336,13860664,5743,3273,2516,558,1628
California,6,alameda,1,2018m11,2018,11,53759,98389,13665684,4744,2734,2117,411,1425
California,6,alameda,1,2018m12,2018,12,53319,97312,13514022,4152,2551,1896,410,1257
California,6,alameda,1,2019m1,2019,1,53529,93512,24294722,5515,3099,1715,454,1033
California,6,alameda,1,2019m2,2019,2,8320,12515,1966510,4478,2597,1914,434,1277
California,6,alameda,1,2019m3,2019,3,51429,92704,13032602,5041,3168,1986,473,1279
California,6,alameda,1,2019m4,2019,4,51134,91764,12715909,5253,3225,1892,450,1176
California,6,alameda,1,2019m5,2019,5,51206,91776,12718005,8074,3006,1993,443,1242
California,6,alameda,1,2019m6,2019,6,58481,98504,13300837,10955,8774,2322,569,1458
California,6,alameda,1,2019m7,2019,7,59750,104208,13385661,8442,5809,2614,570,1759
California,6,alameda,1,2019m8,2019,8,62122,107992,13635481,7459,4769,2327,499,1554
