CASEID,STATE,STATEFIPS,YM,YEAR,MONTH,POLICY_NAME,VALUE,EXTENDCERT_PERIOD,SOURCE,NOTES
1657,6,6,2019m1,2019,1,10,0, ,wayback machine of https://www.fns.usda.gov/snap/online-purchasing-pilot, 
1658,6,6,2019m2,2019,2,10,0, ,wayback machine of https://www.fns.usda.gov/snap/online-purchasing-pilot, 
1659,6,6,2019m3,2019,3,10,0, ,wayback machine of https://www.fns.usda.gov/snap/online-purchasing-pilot, 
1660,6,6,2019m4,2019,4,10,0, ,wayback machine of https://www.fns.usda.gov/snap/online-purchasing-pilot, 
1661,6,6,2019m5,2019,5,10,0, ,wayback machine of https://www.fns.usda.gov/snap/online-purchasing-pilot, 
1662,6,6,2019m6,2019,6,10,0, ,wayback machine of https://www.fns.usda.gov/snap/online-purchasing-pilot, 
1663,6,6,2019m7,2019,7,10,0, ,wayback machine of https://www.fns.usda.gov/snap/online-purchasing-pilot, 
1664,6,6,2019m8,2019,8,10,0, ,wayback machine of https://www.fns.usda.gov/snap/online-purchasing-pilot, 
1665,6,6,2019m9,2019,9,10,0, ,wayback machine of https://www.fns.usda.gov/snap/online-purchasing-pilot, 
1666,6,6,2019m10,2019,10,10,0, ,wayback machine of https://www.fns.usda.gov/snap/online-purchasing-pilot, 
1667,6,6,2019m11,2019,11,10,0, ,wayback machine of https://www.fns.usda.gov/snap/online-purchasing-pilot, 
1668,6,6,2019m12,2019,12,10,0, ,wayback machine of https://www.fns.usda.gov/snap/online-purchasing-pilot, 
1669,6,6,2020m1,2020,1,10,0, ,wayback machine of https://www.fns.usda.gov/snap/online-purchasing-pilot, 
1670,6,6,2020m2,2020,2,10,0, ,wayback machine of https://www.fns.usda.gov/snap/online-purchasing-pilot, 
1671,6,6,2020m3,2020,3,1,0, , , 
1672,6,6,2020m3,2020,3,2,0, , , 
1673,6,6,2020m3,2020,3,3,0, , , 
1674,6,6,2020m3,2020,3,4,0, , , 
1675,6,6,2020m3,2020,3,5,0, , , 
1676,6,6,2020m3,2020,3,6,0, , , 
1677,6,6,2020m3,2020,3,7,0, , , 
1678,6,6,2020m3,2020,3,8,0, , , 
1679,6,6,2020m3,2020,3,9,0, , , 
1680,6,6,2020m3,2020,3,10,0, ,wayback machine of https://www.fns.usda.gov/snap/online-purchasing-pilot, 
1681,6,6,2020m4,2020,4,1,1, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1682,6,6,2020m4,2020,4,2,1, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1683,6,6,2020m4,2020,4,3,1, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1684,6,6,2020m4,2020,4,4,1, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1685,6,6,2020m4,2020,4,5,1, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1686,6,6,2020m4,2020,4,6,1, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1687,6,6,2020m4,2020,4,7,0, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1688,6,6,2020m4,2020,4,8,1, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1689,6,6,2020m4,2020,4,9,1, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1690,6,6,2020m4,2020,4,10,1, ,wayback machine of https://www.fns.usda.gov/snap/online-purchasing-pilot, 
1691,6,6,2020m5,2020,5,1,1, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1692,6,6,2020m5,2020,5,2,1, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1693,6,6,2020m5,2020,5,3,1, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1694,6,6,2020m5,2020,5,4,1, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1695,6,6,2020m5,2020,5,5,1, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1696,6,6,2020m5,2020,5,6,1, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1697,6,6,2020m5,2020,5,7,0, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1698,6,6,2020m5,2020,5,8,1, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1699,6,6,2020m5,2020,5,9,1, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1700,6,6,2020m5,2020,5,10,1, ,wayback machine of https://www.fns.usda.gov/snap/online-purchasing-pilot, 
1701,6,6,2020m6,2020,6,1,1, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1702,6,6,2020m6,2020,6,2,1, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1703,6,6,2020m6,2020,6,3,1, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1704,6,6,2020m6,2020,6,4,1, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1705,6,6,2020m6,2020,6,5,1, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1706,6,6,2020m6,2020,6,6,1, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1707,6,6,2020m6,2020,6,7,0, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1708,6,6,2020m6,2020,6,8,1, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1709,6,6,2020m6,2020,6,9,1, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1710,6,6,2020m6,2020,6,10,1, ,wayback machine of https://www.fns.usda.gov/snap/online-purchasing-pilot, 
1711,6,6,2020m7,2020,7,1,1, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1712,6,6,2020m7,2020,7,2,1, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1713,6,6,2020m7,2020,7,3,1, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1714,6,6,2020m7,2020,7,4,0, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1715,6,6,2020m7,2020,7,5,0, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1716,6,6,2020m7,2020,7,6,0, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1717,6,6,2020m7,2020,7,7,0, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1718,6,6,2020m7,2020,7,8,1, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1719,6,6,2020m7,2020,7,9,1, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1720,6,6,2020m7,2020,7,10,1, ,wayback machine of https://www.fns.usda.gov/snap/online-purchasing-pilot, 
1721,6,6,2020m8,2020,8,1,1, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1722,6,6,2020m8,2020,8,2,1, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
1723,6,6,2020m8,2020,8,3,1, ,https://www.fns.usda.gov/disaster/pandemic/covid-19/california#snap, 
