STATE,SA,SFC,EA_AD,EA_PEFD,EA_FID,EA_PEXD,EA_LID,EA_AM,SCH1920,SCH1920_YN,SCH2021,SCH2021_YN,CC2021,CC2021_YN,SUSCH2021,SUSCH2021_YN,SUCC2021,SUCC2021_YN,SCH2122,SCH2122_YN,CC2122,CC2122_YN,SUSCH2122,SUSCH2122_YN,SUCC2122,SUCC2122_YN,SCH2223,SCH2223_YN,CC2223,CC2223_YN,SUSCH2223,SUSCH2223_YN,SUCC2223,SUCC2223_YN,TSCC_ST,TSCC_EX,SATLW_Q1,WIRI_ST,WIRI_EX,WFFI_ST,WFFI_EX,PESI_ST,PESI_EX,ECP_ST,ECP_EX,APR_ST,APR_EX,PRRH_ST,PRRH_EX
Idaho,ID,16,  4/2/2020, 4/11/2020, 4/11/2020, 3/30/2021, 4/15/2021,95, 8/13/2020,1, 3/23/2021,1,,0, 10/1/2021,1, 10/1/2021,1,,0,11/22/2022,1,,0,11/22/2022,1,,0, 5/15/2023,1,,0,,0,,,1,,,,,,,,,,,,
North Dakota,ND,38,  4/2/2020, 4/10/2020,4./10/20, 5/31/2021, 5/25/2021,95,  5/1/2020,1, 3/10/2021,1,,0,,0,,0,,0, 7/12/2022,1, 7/15/2022,1, 7/15/2022,1,,0,  3/9/2023,1, 4/21/2023,1,,0,,,1,,,,,,,,,,,,
Nebraska,NE,31,  4/7/2020,  4/7/2020,  4/7/2020, 6/30/2021, 8/10/2021,95, 6/16/2020,1, 3/10/2021,1, 6/16/2021,1, 7/15/2021,1, 7/15/2021,1, 2/17/2022,1, 8/24/2022,1, 8/30/2022,1, 8/30/2022,1,  5/1/2023,1, 4/21/2023,1, 3/20/2023,1,,0,,,0,,,,,,,,,,,,
Arkansas,AR,5, 3/23/2020, 3/27/2020, 3/27/2020, 6/30/2021, 6/25/2021,95, 5/21/2020,1, 6/21/2021,1, 6/21/2021,1, 7/13/2021,1, 7/13/2021,1,,0,  6/9/2022,1,  7/7/2022,1,  7/7/2022,1,,0,,0, 4/10/2023,1,,0, 4/15/2020, 6/30/2020,0, 12/1/2020, 6/30/2021,,,,,,,,,,
Florida,FL,12, 3/30/2020,  4/4/2020,  4/4/2020, 7/26/2021,  7/8/2021,95, 5/27/2020,1,  3/1/2021,1,  8/3/2021,1, 9/27/2021,1, 9/27/2021,1,,0,  3/9/2022,1, 8/30/2022,1, 8/30/2022,1,,0,,0, 6/20/2023,1,,0,,,0,11/25/2020, 6/30/2021,,,11/23/2020, 6/30/2021,,,,,,
Montana,MT,30,  4/1/2020,  4/1/2020,  4/2/2020, 7/31/2021,  7/6/2021,95, 6/26/2020,1,  4/5/2021,1, 6/16/2021,1, 7/21/2021,1, 7/21/2021,1,,0, 5/24/2022,1,  7/8/2022,1,  7/8/2022,1,,0,,0,,0,,0, 4/10/2020, 6/30/2020,1,,,,,,,,,,,,
South Dakota,SD,46,  4/9/2020,  4/9/2020, 4/24/2020, 8/31/2021, 8/31/2021,95, 6/22/2020,1, 5/13/2021,1,  9/7/2021,1,  9/1/2021,1,  9/1/2021,1,,0,,0,,0,,0,,0,,0,,0,,0,,,1,,,,,,,,,,,,
Missouri,MO,29, 3/30/2020, 3/30/2020, 3/30/2020, 8/31/2021, 8/31/2021,95, 5/15/2020,1, 6/10/2021,1, 6/10/2021,1, 8/13/2021,1, 8/13/2021,1,  6/6/2022,1,10/19/2022,1,10/19/2022,1,10/19/2022,1,,0,,0,,0,,0,,,0,12/28/2020, 6/30/2021,12/14/2020, 6/30/2021,,,,,,,,
Mississippi,MS,28, 3/27/2020,  4/2/2020, 3/28/2020,11/20/2021,12/31/2021,95,  6/1/2020,1, 6/21/2021,1,,0,  9/1/2021,1,,0,,0, 7/26/2022,1, 7/26/2022,1, 7/26/2022,1,,0,,0,,0,,0, 4/10/2020, 5/31/2020,0,,,,,,,,,,,,
Tennessee,TN,47, 3/24/2020,  4/1/2020,  4/1/2020,12/31/2021,12/20/2021,95, 5/19/2020,1, 1/26/2021,1, 6/16/2021,1, 6/28/2021,1, 6/28/2021,1, 2/17/2022,1,,0, 8/24/2022,1, 8/24/2022,1, 4/19/2023,1, 4/19/2023,1, 3/29/2023,1,,0,,,1,,,,,,,,,,,,
