County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Ada,41948.6,0.669698,19719.7,14695.3,16001
Adams,873.5,0.778204,427.0,359.7,16003
Bannock,13084.2,0.481442,5099.3,2933.6,16005
Bear Lake,1090.4,0.481442,424.9,244.5,16007
Benewah,1062.5,0.756952,492.2,388.3,16009
Bingham,6213.7,0.651629,2579.5,1683.6,16011
Blaine,5282.5,0.708424,1863.2,1373.5,16013
Boise,1310.2,0.778204,640.5,539.5,16015
Bonner,8499.7,0.756952,3937.4,3106.7,16017
Bonneville,18705.0,0.730607,6562.0,4308.0,16019
Boundary,1062.5,0.756952,492.2,388.3,16021
Butte,436.7,0.778204,213.5,179.8,16023
Camas,660.3,0.708424,232.9,171.7,16025
Canyon,22713.7,0.619016,8782.3,6340.4,16027
Caribou,1090.4,0.481442,424.9,244.5,16029
Cassia,4320.8,0.735133,1444.7,1112.1,16031
Clark,436.7,0.778204,213.5,179.8,16033
Clearwater,1310.2,0.778204,640.5,539.5,16035
Custer,436.7,0.778204,213.5,179.8,16037
Elmore,4622.2,0.708424,1630.3,1201.8,16039
Franklin,1090.4,0.481442,424.9,244.5,16041
Fremont,2519.4,0.667997,1052.0,693.9,16043
Gem,2098.1,0.674785,874.6,637.9,16045
Gooding,2641.2,0.708424,931.6,686.8,16047
Idaho,2620.4,0.778204,1281.1,1079.0,16049
Jefferson,3779.0,0.667997,1578.0,1040.9,16051
Jerome,3961.9,0.708424,1397.4,1030.1,16053
Kootenai,25626.7,0.646449,10431.3,7470.5,16055
Latah,4781.1,0.756952,2214.8,1747.5,16057
Lemhi,1310.2,0.778204,640.5,539.5,16059
Lewis,1310.2,0.778204,640.5,539.5,16061
Lincoln,660.3,0.708424,232.9,171.7,16063
Madison,6928.2,0.667997,2893.0,1908.4,16065
Minidoka,3301.6,0.708424,1164.5,858.4,16067
Nez Perce,4367.3,0.778204,2135.1,1798.4,16069
Oneida,545.2,0.481442,212.5,122.2,16071
Owyhee,1458.6,0.553145,534.3,360.5,16073
Payette,2622.6,0.674785,1093.2,797.4,16075
Power,1090.4,0.481442,424.9,244.5,16077
Shoshone,1593.7,0.756952,738.3,582.5,16079
Teton,4408.9,0.667997,1841.0,1214.4,16081
Twin Falls,12242.2,0.735133,4093.3,3150.9,16083
Valley,1746.9,0.778204,854.1,719.4,16085
Washington,1573.5,0.674785,655.9,478.5,16087
