PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00100,8613,18593,1817,6796,14074,103,0.7890398235225822,15367,13208,0.859504132231405
00200,9693,24033,2805,6888,15360,73,0.7106159083874961,19724,15854,0.8037923342121274
00300,7900,16159,1246,6654,12575,119,0.8422784810126582,14018,12602,0.8989870166928235
00400,6778,16260,1834,4944,10972,73,0.7294187075833579,12686,9998,0.7881128803405328
00500,5521,15072,1796,3725,8337,60,0.6746966129324398,13015,10663,0.8192854398770649
00600,4719,11311,883,3836,8372,51,0.8128840856113584,12104,10535,0.8703734302709848
00701,3622,7882,679,2943,4325,32,0.8125345113197129,8329,7327,0.8796974426701885
00702,4945,10759,1049,3896,7552,44,0.7878665318503539,9398,7457,0.7934666950414981
00800,6075,11131,2109,3966,7649,53,0.6528395061728395,11005,8147,0.7402998636983189
00900,5538,16563,1275,4263,12176,54,0.7697724810400867,12554,10341,0.8237215230205512
01000,7453,21130,1959,5494,14969,74,0.7371528243660271,13424,10849,0.8081793802145412
01100,9731,23304,3312,6419,15567,91,0.6596444353098345,15860,11655,0.7348675914249685
01200,6562,18705,2254,4308,13666,49,0.6565071624504725,11746,8196,0.6977694534309552
01300,7224,18536,3068,4156,8924,83,0.5753045404208195,13485,9353,0.6935854653318502
