County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Adams,8164.7,0.503738,4158.6,2521.3,17001
Alexander,1763.4,0.394408,797.5,343.3,17003
Bond,2208.8,0.542521,947.6,534.7,17005
Boone,7449.3,0.259084,2842.3,1093.7,17007
Brown,859.4,0.503738,437.7,265.4,17009
Bureau,4132.5,0.426002,2338.0,1355.2,17011
Calhoun,744.1,0.577536,379.9,205.7,17013
Carroll,2178.0,0.50153,1261.7,751.0,17015
Cass,1860.3,0.577536,949.7,514.2,17017
Champaign,38513.3,0.737875,22638.9,18165.9,17019
Christian,4715.3,0.391255,2444.7,974.7,17021
Clark,1837.1,0.462804,1085.8,611.9,17023
Clay,1800.3,0.364379,804.2,330.8,17025
Clinton,4969.8,0.542521,2132.1,1203.1,17027
Coles,5970.6,0.462804,3528.8,1988.6,17029
Cook,728176.0,0.461704,349032.0,185318.0,17031
Crawford,2755.7,0.462804,1628.7,917.8,17033
Cumberland,1377.8,0.462804,814.3,458.9,17035
DeKalb,10558.3,0.373109,5764.1,2785.6,17037
De Witt,1859.5,0.39959,964.3,539.6,17039
Douglas,2296.4,0.462804,1357.2,764.9,17041
DuPage,65973.0,0.547557,30865.0,21036.0,17043
Edgar,2296.4,0.462804,1357.2,764.9,17045
Edwards,1322.6,0.394408,598.1,257.4,17047
Effingham,3600.6,0.364379,1608.4,661.6,17049
Fayette,3150.6,0.364379,1407.4,578.9,17051
Ford,2920.2,0.387181,1385.5,646.2,17053
Franklin,7709.7,0.267011,3815.8,1357.1,17055
Fulton,5156.7,0.503738,2626.5,1592.4,17057
Gallatin,881.7,0.394408,398.7,171.6,17059
Greene,1860.3,0.577536,949.7,514.2,17061
Grundy,3787.2,0.472969,1908.8,980.5,17063
Hamilton,1322.6,0.394408,598.1,257.4,17065
Hancock,2947.8,0.481461,1451.7,742.0,17067
Hardin,881.7,0.394408,398.7,171.6,17069
Henderson,1263.3,0.481461,622.2,318.0,17071
Henry,5895.6,0.481461,2903.4,1484.0,17073
Iroquois,5256.4,0.387181,2494.0,1163.2,17075
Jackson,10922.0,0.267011,5405.7,1922.6,17077
Jasper,1350.2,0.364379,603.2,248.1,17079
Jefferson,6074.2,0.542521,2605.9,1470.5,17081
Jersey,2232.4,0.577536,1139.6,617.0,17083
Jo Daviess,2541.0,0.50153,1471.9,876.2,17085
Johnson,1763.4,0.394408,797.5,343.3,17087
Kane,41936.0,0.538583,17849.0,11419.0,17089
Kankakee,11361.8,0.472969,5726.2,2941.5,17091
Kendall,4020.0,0.807711,1605.0,1337.0,17093
Knox,6612.0,0.426002,3740.7,2168.4,17095
Lake,53810.0,0.643988,24205.0,16400.0,17097
LaSalle,10915.6,0.374173,5792.3,2548.7,17099
Lawrence,2250.4,0.364379,1005.3,413.5,17101
Lee,3267.0,0.50153,1892.5,1126.5,17103
Livingston,3898.4,0.374173,2068.7,910.3,17105
Logan,2975.2,0.39959,1542.9,863.4,17107
McDonough,4632.2,0.481461,2281.2,1166.0,17109
McHenry,21660.0,0.612558,9229.0,6343.0,17111
McLean,21216.0,0.584323,11602.0,6537.0,17113
Macon,17446.7,0.391255,9045.3,3606.3,17115
Macoupin,4836.9,0.577536,2469.1,1336.9,17117
Madison,31049.0,0.380753,16345.0,7434.0,17119
Marion,6626.4,0.542521,2842.8,1604.2,17121
Marshall,2066.2,0.426002,1169.0,677.6,17123
Mason,2578.3,0.503738,1313.2,796.2,17125
Massac,1763.4,0.394408,797.5,343.3,17127
Menard,1115.7,0.39959,578.6,323.8,17129
Mercer,1684.5,0.481461,829.5,424.0,17131
Monroe,2439.6,0.603082,1120.5,675.4,17133
Montgomery,2975.2,0.39959,1542.9,863.4,17135
Morgan,3720.7,0.577536,1899.3,1028.4,17137
Moultrie,1487.6,0.39959,771.5,431.7,17139
Ogle,5967.7,0.373109,3257.9,1574.4,17141
Peoria,39230.0,0.509279,18664.0,11307.0,17143
Perry,3854.8,0.267011,1907.9,678.6,17145
Piatt,1487.6,0.39959,771.5,431.7,17147
Pike,2148.6,0.503738,1094.4,663.5,17149
Pope,881.7,0.394408,398.7,171.6,17151
Pulaski,881.7,0.394408,398.7,171.6,17153
Putnam,826.5,0.426002,467.6,271.0,17155
Randolph,5522.0,0.542521,2369.0,1336.8,17157
Richland,2250.4,0.364379,1005.3,413.5,17159
Rock Island,22816.0,0.329243,11126.0,5343.0,17161
St. Clair,27631.4,0.493595,14914.5,7397.6,17163
Saline,3967.7,0.394408,1794.3,772.3,17165
Sangamon,22569.0,0.545793,11969.0,6895.0,17167
Schuyler,1289.2,0.503738,656.6,398.1,17169
Scott,744.1,0.577536,379.9,205.7,17171
Shelby,2231.4,0.39959,1157.2,647.5,17173
Stark,826.5,0.426002,467.6,271.0,17175
Stephenson,4719.0,0.50153,2733.6,1627.2,17177
Tazewell,12730.0,0.524588,7579.0,4539.0,17179
Union,2204.3,0.394408,996.8,429.1,17181
Vermilion,14017.0,0.387181,6650.6,3101.7,17183
Wabash,1763.4,0.394408,797.5,343.3,17185
Warren,2105.6,0.481461,1036.9,530.0,17187
Washington,2208.8,0.542521,947.6,534.7,17189
Wayne,2250.4,0.364379,1005.3,413.5,17191
White,2204.3,0.394408,996.8,429.1,17193
Whiteside,6897.0,0.50153,3995.3,2378.2,17195
Will,58115.0,0.625656,22023.0,13893.0,17197
Williamson,11564.5,0.267011,5723.7,2035.7,17199
Winnebago,48139.7,0.288826,20774.7,7518.3,17201
Woodford,3719.3,0.426002,2104.2,1219.7,17203
