PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00100,10287,20197,4050,6237,10174,168,0.6062992125984252,17292,11353,0.6565463798288226
00701,8527,22348,5246,3281,5790,65,0.3847777647472734,13389,6477,0.48375532153260137
01901,20422,33841,3290,17132,26609,152,0.8388992263245519,28374,23031,0.8116938041869317
01902,12747,26866,6802,5945,10402,201,0.46638424727386835,21598,12681,0.5871376979349939
02900,9772,16534,4265,5507,7652,138,0.563548915268113,16341,10449,0.6394345511290619
03101,3867,6840,1274,2593,4203,30,0.6705456426170158,7757,5742,0.740234626788707
03102,3317,8915,767,2550,6480,25,0.7687669580946639,6543,5423,0.8288246981506954
03103,3990,8852,1211,2779,6130,30,0.6964912280701754,7532,5403,0.7173393520977164
03104,8161,12469,1190,6971,10146,41,0.854184536208798,10864,9120,0.8394698085419735
03105,4496,7239,2398,2098,3376,38,0.4666370106761566,6996,4038,0.5771869639794168
03106,3408,6544,317,3091,6099,31,0.9069835680751174,5333,4873,0.9137446090380649
03107,7133,12949,2582,4551,7870,61,0.6380204682461798,12289,8039,0.6541622589307511
03108,6818,14229,2056,4762,7775,60,0.69844529187445,11564,8607,0.7442926323071601
03109,6159,11365,1988,4171,6400,39,0.6772203279753207,9741,6929,0.7113232727646033
03110,5706,10919,1948,3758,6716,44,0.6586049772169646,10422,6955,0.6673383227787373
03111,5104,7711,1405,3699,6262,35,0.7247257053291536,6816,5112,0.75
03112,7204,23819,4026,3178,5978,40,0.4411438089950028,12611,7327,0.5810007136626755
03113,8646,18684,3415,5231,8401,61,0.6050196622715707,14621,9534,0.6520757814103002
03114,7734,14485,3676,4058,5435,60,0.5246961468838893,14268,8322,0.5832632464255677
03115,7149,9883,1705,5444,6780,45,0.7615051056091761,9954,7438,0.747237291541089
03116,7213,18450,2379,4834,11132,53,0.6701788437543325,13657,9641,0.7059383466354251
03117,13585,28062,6722,6863,14121,94,0.5051895472948105,22992,12542,0.5454940848990953
03118,11771,30107,7020,4751,11519,75,0.40361906380086654,17759,7677,0.4322878540458359
03151,8204,20540,3143,5061,9247,48,0.6168941979522184,12909,9606,0.744132000929584
03152,9114,23770,3536,5578,9069,55,0.6120254553434277,13390,8518,0.6361463778939507
03153,14530,26308,5075,9455,16337,80,0.6507226428079835,22856,14996,0.6561078053902695
03154,8699,11413,1565,7134,9488,65,0.8200942637084723,11211,9362,0.8350726964588351
03155,7252,17137,2134,5118,9202,55,0.7057363485934914,11834,8746,0.7390569545377725
03156,6357,12219,2333,4024,6882,47,0.6330029888312096,11808,8137,0.689109078590786
03157,13909,32256,8774,5135,12640,54,0.36918541951254585,22390,10361,0.462751228226887
03158,18381,42477,12370,6011,14783,102,0.3270224688537076,25309,9655,0.3814848472875262
03159,11540,17039,6029,5511,7641,68,0.47755632582322355,16169,8605,0.5321912301317335
03160,13187,19211,3141,10046,14703,56,0.7618108743459467,18063,12917,0.7151082322980679
03161,17485,31825,11491,5994,9060,141,0.34280812124678295,23423,9492,0.4052427101566836
03162,13320,33258,7094,6226,17794,74,0.46741741741741744,21317,12795,0.600225172397617
03163,10511,31711,6111,4400,12966,50,0.41860907620587956,16469,7226,0.438763737931872
03164,10045,23599,4177,5868,11088,65,0.5841712294673967,14669,9819,0.669370781921058
03165,16693,35560,11377,5316,10120,92,0.31845683819565085,27294,11259,0.41250824357001536
03166,10095,20853,5887,4208,6488,58,0.41684001981178803,14653,6714,0.4581996860711117
03167,16857,33292,11240,5617,11709,105,0.33321468826007,24944,10314,0.41348620910840284
03168,21392,44186,12158,9234,12162,89,0.43165669409124907,28868,14529,0.5032908410696966
03700,9022,16526,4662,4360,6166,80,0.48326313455996456,15064,9153,0.6076075411577271
04301,5733,13418,2184,3549,6522,46,0.6190476190476191,10288,7226,0.7023716951788491
04302,4283,11860,1035,3248,7777,30,0.7583469530702779,6543,5350,0.8176677365123032
04303,5196,8184,664,4532,6696,42,0.8722093918398768,8544,6842,0.8007958801498127
04304,3746,7904,1731,2015,3636,28,0.5379071009076348,5898,3540,0.6002034587995931
04305,3543,11280,1540,2003,3114,31,0.5653401072537397,6401,4675,0.7303546320887362
04306,2014,3657,386,1628,2672,19,0.8083416087388282,4496,3321,0.7386565836298933
04307,6350,9670,2289,4061,5707,52,0.6395275590551182,10212,6899,0.6755777516647082
04900,7439,16653,4379,3060,6068,141,0.4113456109692163,14127,7998,0.5661499256742408
07300,9125,18529,4461,4664,8921,166,0.5111232876712328,14308,9002,0.6291585127201565
08901,4189,9815,1554,2635,5395,35,0.6290284077345428,6436,4725,0.7341516469857055
08902,4469,12572,1460,3009,8332,33,0.6733049899306333,10668,7779,0.7291901012373453
08903,1805,3425,377,1428,2414,20,0.7911357340720222,3590,2955,0.8231197771587744
08904,7386,16124,3039,4347,6445,49,0.5885458976441917,10938,6578,0.6013896507588224
09100,7635,15149,3713,3922,7165,85,0.5136869679109365,15193,9365,0.6164022905285329
09300,1605,4020,268,1337,3247,16,0.8330218068535825,4760,4239,0.8905462184873949
09500,10287,18183,4324,5963,7746,174,0.5796636531544668,16644,10657,0.6402907954818553
09701,6009,14488,2181,3828,9238,47,0.6370444333499751,11450,7572,0.6613100436681223
09702,7406,19983,2755,4651,12904,51,0.628004320820956,13924,10289,0.7389399597816719
09703,4414,8419,1147,3267,5291,43,0.7401449932034436,7409,5853,0.7899851531920637
09704,3692,6331,819,2873,4231,37,0.778169014084507,5483,4394,0.8013861024986322
09705,2684,4589,903,1781,2989,28,0.6635618479880775,4316,3202,0.741890639481001
09900,7861,14814,4402,3459,5543,104,0.4400203536445745,15262,9033,0.5918621412658891
11101,3889,8590,1478,2411,4607,38,0.6199537156081255,7760,5688,0.7329896907216494
11102,5340,13070,1408,3932,8661,56,0.7363295880149813,9141,6698,0.7327425883382562
11300,11602,21216,5065,6537,12397,96,0.5634373383899328,18753,12363,0.6592545192769157
11500,11490,22162,6909,4581,8671,137,0.3986945169712794,17822,9111,0.5112220850634048
11700,8167,15999,3745,4422,9240,136,0.5414472878658014,17176,11633,0.6772822543083372
11901,12477,23630,7366,5111,7399,118,0.40963372605594295,21315,11766,0.5520056298381422
11902,3868,7419,1545,2323,4423,50,0.6005687693898656,7673,5523,0.7197966896911248
12100,11845,27610,5161,6684,14979,237,0.5642887294216969,21207,13731,0.6474748903663885
13500,7329,14132,3228,4101,5647,162,0.5595579205894392,15817,10610,0.6707972434722135
14300,18664,39230,7357,11307,19979,127,0.6058186883840548,26476,17925,0.6770282520018129
16100,11126,22816,5783,5343,7512,100,0.4802264964946971,18040,11093,0.6149113082039911
16301,11713,20661,6245,5468,9435,90,0.4668317254332793,19576,11600,0.5925623212096445
16302,4322,9410,1717,2605,5675,45,0.6027302174919019,9181,4873,0.530770068619976
16500,9769,21602,5564,4205,8520,196,0.43044323881666496,16194,8910,0.5502037791774731
16700,11969,22569,5074,6895,12318,123,0.5760715180883951,18855,12295,0.6520816759480244
17900,7579,12730,3040,4539,6678,88,0.5988916743633724,11727,8443,0.719962479747591
19500,11355,19602,4596,6759,9831,163,0.5952443857331572,19840,13540,0.6824596774193549
19701,2791,8993,829,1962,6130,26,0.7029738445001792,5831,4734,0.811867604184531
19702,3485,9920,1080,2405,7276,30,0.6901004304160688,6799,4912,0.7224591851742903
19703,8155,20120,3978,4177,10403,78,0.5122011036174127,12893,7112,0.5516171565966028
19704,3143,8593,714,2429,6147,30,0.7728285077951003,5640,4671,0.8281914893617022
19705,4449,10489,1529,2920,6404,42,0.6563272645538323,8781,5795,0.6599476141669514
19900,16853,34051,10859,5994,9092,220,0.35566368005696314,26465,12472,0.47126393349707163
