County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Adams,3409.7,0.723642,1443.8,1038.9,18001
Allen,57634.0,0.629125,25278.0,18148.0,18003
Bartholomew,8029.6,0.571365,4266.1,2514.4,18005
Benton,1200.2,0.533676,536.2,344.9,18007
Blackford,2178.1,0.462726,1020.1,570.1,18009
Boone,4279.0,0.827062,2900.0,2213.0,18011
Brown,1938.5,0.642899,910.3,614.7,18013
Carroll,2800.4,0.533676,1251.1,804.8,18015
Cass,5874.3,0.51784,2713.7,1797.5,18017
Clark,11737.0,0.671126,6874.0,5311.0,18019
Clay,2794.7,0.720295,1333.7,1040.2,18021
Clinton,3200.4,0.533676,1429.8,919.8,18023
Crawford,1546.3,0.591413,773.1,504.7,18025
Daviess,3593.4,0.614703,1993.6,1316.4,18027
Dearborn,6150.3,0.674417,2881.2,2145.0,18029
Decatur,4011.2,0.52546,1520.0,1045.0,18031
DeKalb,4843.7,0.699191,2232.0,1657.7,18033
Delaware,21393.0,0.456131,9880.0,5731.0,18035
Dubois,4639.0,0.591413,2319.4,1514.1,18037
Elkhart,25649.0,0.705291,10703.0,8402.0,18039
Fayette,4262.8,0.429568,1915.6,945.2,18041
Floyd,7791.1,0.809469,4514.4,3584.4,18043
Fountain,2328.9,0.720295,1111.4,866.9,18045
Franklin,2365.5,0.674417,1108.2,825.0,18047
Fulton,2509.4,0.777311,1302.0,989.2,18049
Gibson,3380.6,0.540916,1731.1,1090.6,18051
Grant,14384.5,0.609285,6639.1,4013.6,18053
Greene,4042.6,0.614703,2242.8,1481.0,18055
Hamilton,26170.0,0.700267,10809.0,8186.0,18057
Hancock,5062.2,0.548181,2705.4,1959.6,18059
Harrison,3506.0,0.809469,2031.5,1613.0,18061
Hendricks,12137.0,0.708248,5270.0,4182.0,18063
Henry,7078.9,0.462726,3315.4,1852.9,18065
Howard,11214.6,0.51784,5180.8,3431.5,18067
Huntington,4383.9,0.723642,1856.3,1335.8,18069
Jackson,5520.4,0.571365,2932.9,1728.6,18071
Jasper,3345.9,0.777311,1736.0,1318.9,18073
Jay,3811.7,0.462726,1785.2,997.7,18075
Jefferson,4679.8,0.52546,1773.3,1219.2,18077
Jennings,4011.2,0.52546,1520.0,1045.0,18079
Johnson,12842.0,0.513082,6395.0,3931.0,18081
Knox,5669.9,0.591413,2834.8,1850.6,18083
Kosciusko,9695.0,0.77683,4214.0,3531.8,18085
LaGrange,4843.7,0.699191,2232.0,1657.7,18087
Lake,77763.0,0.507208,32549.0,19559.0,18089
LaPorte,18897.0,0.434619,7603.0,3402.0,18091
Lawrence,5839.3,0.614703,3239.6,2139.2,18093
Madison,17416.0,0.464975,8393.0,4592.0,18095
Marion,146108.0,0.603868,66520.0,42661.0,18097
Marshall,5540.0,0.77683,2408.0,2018.2,18099
Martin,1347.5,0.614703,747.6,493.7,18101
Miami,8990.3,0.609285,4149.4,2508.5,18103
Monroe,23412.0,0.798864,11137.0,9181.0,18105
Montgomery,3600.5,0.533676,1608.5,1034.8,18107
Morgan,6591.1,0.642899,3095.1,2089.9,18109
Newton,1673.0,0.777311,868.0,659.4,18111
Noble,5381.9,0.699191,2480.0,1841.9,18113
Ohio,946.2,0.674417,443.3,330.0,18115
Orange,2695.1,0.614703,1495.2,987.3,18117
Owen,2695.1,0.614703,1495.2,987.3,18119
Parke,2328.9,0.720295,1111.4,866.9,18121
Perry,2577.2,0.591413,1288.6,841.2,18123
Pike,2061.8,0.591413,1030.8,672.9,18125
Porter,15018.0,0.543082,6590.0,4448.0,18127
Posey,2958.1,0.540916,1514.7,954.3,18129
Pulaski,1673.0,0.777311,868.0,659.4,18131
Putnam,3489.4,0.642899,1638.6,1106.4,18133
Randolph,4356.2,0.462726,2040.2,1140.2,18135
Ripley,3311.7,0.674417,1551.4,1155.0,18137
Rush,3044.8,0.429568,1368.3,675.2,18139
St. Joseph,41533.0,0.630342,19729.0,13123.0,18141
Scott,3342.7,0.52546,1266.7,870.8,18143
Shelby,3374.8,0.548181,1803.6,1306.4,18145
Spencer,3092.7,0.591413,1546.3,1009.4,18147
Starke,2927.7,0.777311,1519.0,1154.0,18149
Steuben,4843.7,0.699191,2232.0,1657.7,18151
Sullivan,3726.2,0.720295,1778.2,1387.0,18153
Switzerland,1419.3,0.674417,664.9,495.0,18155
Tippecanoe,30354.0,0.737662,14977.0,11243.0,18157
Tipton,2670.1,0.51784,1233.5,817.0,18159
Union,1217.9,0.429568,547.3,270.1,18161
Vanderburgh,25031.0,0.49219,12169.0,7834.0,18163
Vermillion,2328.9,0.720295,1111.4,866.9,18165
Vigo,19455.0,0.523002,10531.0,6261.0,18167
Wabash,7192.2,0.609285,3319.5,2006.8,18169
Warren,1397.3,0.720295,666.8,520.1,18171
Warrick,6761.3,0.540916,3462.2,2181.2,18173
Washington,2726.9,0.809469,1580.1,1254.6,18175
Wayne,10961.4,0.429568,4925.8,2430.6,18177
Wells,3409.7,0.723642,1443.8,1038.9,18179
White,3600.5,0.533676,1608.5,1034.8,18181
Whitley,3896.8,0.723642,1650.1,1187.4,18183
