PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00101,11878,29225,5185,6693,12991,94,0.5634787001178649,17341,10866,0.6266074620840782
00102,10739,26946,5878,4861,8838,86,0.45264922246019185,20337,12706,0.624772581993411
00103,5790,11942,1519,4271,9597,50,0.7376511226252159,9752,7862,0.8061936013125512
00104,4142,9650,408,3734,8016,37,0.9014968614196041,9298,8571,0.9218111421811143
00200,6590,15018,2142,4448,8156,65,0.6749620637329287,14299,11473,0.8023638016644521
00300,7603,18897,4201,3402,8213,64,0.44745495199263446,12773,7539,0.5902293901197839
00401,12053,24312,4856,7197,13063,119,0.5971127520119472,17795,11939,0.6709187974150043
00402,7676,17221,1750,5926,13117,82,0.7720166753517457,13758,11425,0.8304259340020351
00501,6629,12733,1686,4943,8089,52,0.7456629959269875,13542,11503,0.8494313986117265
00502,4074,12916,615,3459,10001,46,0.8490427098674521,8512,7710,0.9057800751879699
00600,9176,19913,2361,6815,13923,125,0.7426983435047951,17484,14848,0.8492335849919926
00700,6293,12129,1512,4781,9428,92,0.7597330367074527,12313,9655,0.7841305936814749
00800,6622,15235,1072,5550,11835,96,0.8381153729990939,11897,9767,0.8209632680507691
00900,6394,15100,1793,4601,10927,83,0.7195808570534876,13847,11473,0.8285549216436773
01001,13592,34219,4712,8880,18331,114,0.6533254855797528,22791,16824,0.7381861261024089
01002,7830,14883,2158,5672,10663,66,0.7243933588761174,15488,12886,0.8319989669421488
01003,3856,8532,260,3596,7265,37,0.9325726141078838,7608,6997,0.919689800210305
01100,6434,14402,2295,4139,7686,99,0.6433012123096052,13719,10486,0.7643414243020629
01200,14977,30354,3734,11243,22391,110,0.7506843827201709,24059,19714,0.8194023026725965
01300,9128,19759,3082,6046,10232,101,0.6623575810692375,18815,13810,0.7339888386925325
01400,14108,30567,5579,8529,18624,118,0.6045506095832152,21389,15014,0.7019496002618169
01500,8161,17425,3600,4561,8063,124,0.5588775885308173,12866,8308,0.6457329395305457
01600,7113,14905,1565,5548,10736,107,0.7799803177281035,14514,12543,0.8642000826787929
01700,10531,19455,4270,6261,10175,99,0.5945304339568892,16940,12095,0.7139905548996458
01801,5800,8558,1374,4426,7078,42,0.7631034482758621,9318,7901,0.847928740072977
01901,2734,6920,977,1757,3402,21,0.6426481346013168,4543,3566,0.7849438696896324
01902,5175,14971,959,4216,11385,35,0.8146859903381642,9334,7898,0.8461538461538461
02000,8393,17416,3801,4592,8098,91,0.5471226021684737,14832,9927,0.6692961165048543
02100,9880,21393,4149,5731,9758,110,0.5800607287449393,17229,11873,0.6891287944744326
02200,5644,12019,1833,3811,7727,78,0.6752303330970942,12298,8690,0.7066189624329159
02300,5270,12137,1088,4182,8596,50,0.7935483870967742,9662,8476,0.8772510867315255
02401,5575,11159,2594,2981,5222,30,0.5347085201793722,9859,6857,0.6955066436758292
02402,4616,7257,2550,2066,3242,42,0.4475736568457539,8787,5877,0.6688289518607033
02403,5760,11485,1767,3993,8574,29,0.6932291666666667,10095,7995,0.7919762258543833
02404,10534,26421,3791,6743,15347,72,0.6401177140687299,20205,15736,0.7788171244741401
02405,15082,31378,5678,9404,16796,101,0.623524731467975,23302,16213,0.6957771865075959
02406,13790,32355,3725,10065,25152,64,0.7298767222625091,21951,17910,0.8159081590815909
02407,11163,26053,3754,7409,13897,70,0.6637104720953149,19719,14493,0.734976418682489
02500,6395,12842,2464,3931,6589,48,0.6146989835809226,12777,9520,0.745088831494091
02600,4509,8437,1243,3266,4625,41,0.7243291195387004,11086,8228,0.7421973660472668
02700,8757,19487,4436,4321,8371,119,0.4934338243690762,14557,8736,0.600123651851343
02800,11214,20213,3809,7405,12425,150,0.6603352951667558,20014,14866,0.7427800539622265
02900,11137,23412,1956,9181,18703,71,0.8243692197180569,21097,18643,0.883680144096317
03000,7199,13550,2956,4243,7742,62,0.5893874149187387,11754,8566,0.7287731835970733
03100,6080,16045,1900,4180,8431,56,0.6875,13456,10677,0.7934750297265161
03200,6649,14193,1699,4950,9572,93,0.7444728530606106,11228,9065,0.807356608478803
03300,6708,13100,2482,4226,7086,84,0.6299940369707812,12266,9207,0.750611446274254
03400,12169,25031,4335,7834,12320,113,0.6437669488043389,23861,18493,0.7750303843091236
03500,9793,19587,3400,6393,11584,154,0.652813233942612,16930,12587,0.7434731246308328
03600,8126,14024,1674,6452,11352,90,0.7939945852818114,14784,12784,0.8647186147186147
03700,6874,11737,1563,5311,7877,57,0.7726214722141402,11899,9683,0.8137658626775359
