County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Allen,2834.2,0.583114,1267.4,831.8,20001
Anderson,1133.7,0.583114,507.0,332.7,20003
Atchison,1504.1,0.709184,753.4,591.0,20005
Barber,1393.2,0.701303,457.0,339.0,20007
Barton,5572.9,0.701303,1827.9,1355.9,20009
Bourbon,2834.2,0.583114,1267.4,831.8,20011
Brown,902.5,0.709184,452.1,354.6,20013
Butler,9163.0,0.684492,4496.7,3303.0,20015
Chase,413.5,0.643165,204.7,146.7,20017
Chautauqua,413.5,0.643165,204.7,146.7,20019
Cherokee,3401.0,0.583114,1520.9,998.2,20021
Cheyenne,422.5,0.813448,217.7,182.6,20023
Clark,621.7,0.816327,180.2,142.1,20025
Clay,1009.2,0.651341,471.7,329.1,20027
Cloud,2018.4,0.651341,943.5,658.2,20029
Coffey,1240.6,0.643165,614.1,440.2,20031
Comanche,696.6,0.701303,228.5,169.5,20033
Cowley,5964.4,0.677117,2370.6,1727.9,20035
Crawford,6802.0,0.583114,3041.9,1996.4,20037
Decatur,422.5,0.813448,217.7,182.6,20039
Dickinson,3027.6,0.651341,1415.2,987.3,20041
Doniphan,902.5,0.709184,452.1,354.6,20043
Douglas,14555.0,0.781381,8385.0,6852.0,20045
Edwards,1393.2,0.701303,457.0,339.0,20047
Elk,413.5,0.643165,204.7,146.7,20049
Ellis,3379.7,0.813448,1741.6,1461.2,20051
Ellsworth,1009.2,0.651341,471.7,329.1,20053
Finney,7460.8,0.816327,2162.6,1705.8,20055
Ford,5595.6,0.816327,1622.0,1279.3,20057
Franklin,3401.0,0.583114,1520.9,998.2,20059
Geary,5646.0,0.760066,2821.7,2335.0,20061
Gove,422.5,0.813448,217.7,182.6,20063
Graham,422.5,0.813448,217.7,182.6,20065
Grant,1243.5,0.816327,360.4,284.3,20067
Gray,1243.5,0.816327,360.4,284.3,20069
Greeley,422.5,0.813448,217.7,182.6,20071
Greenwood,1240.6,0.643165,614.1,440.2,20073
Hamilton,621.7,0.816327,180.2,142.1,20075
Harper,2089.8,0.701303,685.5,508.5,20077
Harvey,2394.6,0.924079,1037.8,964.4,20079
Haskell,621.7,0.816327,180.2,142.1,20081
Hodgeman,621.7,0.816327,180.2,142.1,20083
Jackson,902.5,0.709184,452.1,354.6,20085
Jefferson,1203.3,0.709184,602.7,472.8,20087
Jewell,504.6,0.651341,235.9,164.6,20089
Johnson,29613.0,0.779185,17029.0,13899.0,20091
Kearny,621.7,0.816327,180.2,142.1,20093
Kingman,2089.8,0.701303,685.5,508.5,20095
Kiowa,696.6,0.701303,228.5,169.5,20097
Labette,4534.7,0.583114,2027.9,1330.9,20099
Lane,422.5,0.813448,217.7,182.6,20101
Leavenworth,7821.0,0.346587,3840.5,2165.4,20103
Lincoln,504.6,0.651341,235.9,164.6,20105
Linn,1234.9,0.346587,606.4,341.9,20107
Logan,422.5,0.813448,217.7,182.6,20109
Lyon,4962.6,0.643165,2456.2,1760.9,20111
McPherson,2950.4,0.68594,1581.5,1062.4,20113
Marion,1654.2,0.643165,818.7,587.0,20115
Marshall,2018.4,0.651341,943.5,658.2,20117
Meade,1243.5,0.816327,360.4,284.3,20119
Miami,3293.1,0.346587,1617.1,911.7,20121
Mitchell,1009.2,0.651341,471.7,329.1,20123
Montgomery,4962.6,0.643165,2456.2,1760.9,20125
Morris,827.1,0.643165,409.4,293.5,20127
Morton,621.7,0.816327,180.2,142.1,20129
Nemaha,1513.8,0.651341,707.6,493.7,20131
Neosho,2834.2,0.583114,1267.4,831.8,20133
Ness,422.5,0.813448,217.7,182.6,20135
Norton,422.5,0.813448,217.7,182.6,20137
Osage,1504.1,0.709184,753.4,591.0,20139
Osborne,422.5,0.813448,217.7,182.6,20141
Ottawa,1009.2,0.651341,471.7,329.1,20143
Pawnee,1393.2,0.701303,457.0,339.0,20145
Phillips,1267.4,0.813448,653.1,547.9,20147
Pottawatomie,2566.4,0.760066,1282.6,1061.4,20149
Pratt,2089.8,0.701303,685.5,508.5,20151
Rawlins,422.5,0.813448,217.7,182.6,20153
Reno,7165.2,0.68594,3840.7,2580.2,20155
Republic,1513.8,0.651341,707.6,493.7,20157
Rice,1264.4,0.68594,677.8,455.3,20159
Riley,8725.6,0.760066,4360.8,3608.6,20161
Rooks,844.9,0.813448,435.4,365.3,20163
Rush,696.6,0.701303,228.5,169.5,20165
Russell,844.9,0.813448,435.4,365.3,20167
Saline,6559.8,0.651341,3066.3,2139.2,20169
Scott,422.5,0.813448,217.7,182.6,20171
Sedgwick,67911.4,0.571232,31541.5,20832.6,20173
Seward,3108.7,0.816327,901.1,710.7,20175
Shawnee,21841.3,0.675575,11066.9,8038.0,20177
Sheridan,422.5,0.813448,217.7,182.6,20179
Sherman,844.9,0.813448,435.4,365.3,20181
Smith,844.9,0.813448,435.4,365.3,20183
Stafford,1393.2,0.701303,457.0,339.0,20185
Stanton,621.7,0.816327,180.2,142.1,20187
Stevens,1243.5,0.816327,360.4,284.3,20189
Sumner,4179.7,0.701303,1370.9,1016.9,20191
Thomas,844.9,0.813448,435.4,365.3,20193
Trego,422.5,0.813448,217.7,182.6,20195
Wabaunsee,601.7,0.709184,301.4,236.4,20197
Wallace,422.5,0.813448,217.7,182.6,20199
Washington,1009.2,0.651341,471.7,329.1,20201
Wichita,422.5,0.813448,217.7,182.6,20203
Wilson,1654.2,0.643165,818.7,587.0,20205
Woodson,827.1,0.643165,409.4,293.5,20207
Wyandotte,33974.0,0.706069,12852.0,9678.0,20209
