PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00100,8055,15631,1297,6758,12715,141,0.8389819987585351,15484,13872,0.8958925342288814
00200,10614,22707,3209,7405,14790,156,0.6976634633502921,19141,14815,0.7739929993208297
00300,8465,16938,1460,7005,12874,74,0.8275251033668045,14622,13073,0.8940637395705102
00400,12852,33974,3174,9678,23988,82,0.7530345471521942,19894,15569,0.7825977681713079
00501,9560,18833,2704,6856,12622,67,0.7171548117154811,17584,13657,0.776671974522293
00601,5274,10529,1137,4137,7467,114,0.7844141069397043,11555,9574,0.8285590653396798
00700,8385,14555,1533,6852,11373,49,0.8171735241502683,15534,13218,0.850907686365392
00801,3414,4853,243,3171,4530,35,0.9288224956063269,6101,5747,0.9419767251270283
00802,6623,12837,2268,4355,7883,39,0.6575569983391213,11662,9394,0.8055222088835534
00803,3227,4748,100,3127,4648,24,0.9690114657576696,5535,5435,0.98193315266486
00804,3765,7175,519,3246,6013,28,0.8621513944223107,9456,8712,0.9213197969543148
00900,6064,12349,2645,3419,4280,46,0.5638192612137203,10314,7512,0.7283304246655032
01000,12421,27775,4269,8152,16196,162,0.6563078657112954,26437,20529,0.7765253243560162
01101,10439,21091,2955,7484,13565,167,0.7169269087077306,19309,15234,0.7889585167538453
01201,10396,20707,2435,7961,15287,84,0.7657752981916122,15526,12608,0.8120571943836146
01301,5189,11973,367,4822,11064,40,0.9292734630950087,12967,11749,0.9060692527184391
01401,10019,20981,4473,5546,8935,68,0.5535482583092125,19641,14284,0.7272542131256046
01501,11472,25808,4701,6771,11992,75,0.5902196652719666,18285,12335,0.6745966639321849
01600,6100,11380,2002,4098,7806,69,0.6718032786885246,10377,8172,0.7875108412836079
01701,8911,27168,2301,6610,19053,138,0.741779822691056,15681,12855,0.8197819016644347
01800,7389,25491,1561,5828,20809,68,0.7887400189470835,14877,13108,0.8810916179337231
