County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Adair,4977.2,0.588443,2689.2,1640.6,21001
Allen,4521.7,0.498906,1991.0,1035.8,21003
Anderson,3096.0,0.506907,1273.4,766.0,21005
Ballard,1866.8,0.533366,940.4,598.1,21007
Barren,9796.9,0.498906,4313.8,2244.2,21009
Bath,3322.4,0.424637,1636.2,870.7,21011
Bell,8215.1,0.485197,3607.3,1891.7,21013
Boone,10539.0,0.603852,5468.0,2821.0,21015
Bourbon,4124.0,0.504232,1854.7,1060.0,21017
Boyd,10536.2,0.550887,5123.0,3294.5,21019
Boyle,4266.2,0.68528,1911.7,1301.3,21021
Bracken,2491.8,0.424637,1227.1,653.0,21023
Breathitt,6042.3,0.326239,2486.0,951.2,21025
Breckinridge,3611.2,0.594723,1649.2,1107.0,21027
Bullitt,8586.8,0.748226,4454.2,3464.2,21029
Butler,4521.7,0.498906,1991.0,1035.8,21031
Caldwell,2869.9,0.621997,1213.1,799.6,21033
Calloway,6845.0,0.533366,3448.0,2193.1,21035
Campbell,12602.7,0.540601,5404.3,3914.1,21037
Carlisle,1866.8,0.533366,940.4,598.1,21039
Carroll,1512.3,0.540601,648.5,469.7,21041
Carter,5619.3,0.550887,2732.3,1757.1,21043
Casey,4266.2,0.588443,2305.0,1406.2,21045
Christian,12089.0,0.493341,4693.5,2724.8,21047
Clark,5155.0,0.504232,2318.4,1325.0,21049
Clay,7900.9,0.317014,3232.9,1469.4,21051
Clinton,2844.1,0.588443,1536.7,937.5,21053
Crittenden,2869.9,0.621997,1213.1,799.6,21055
Cumberland,1422.1,0.588443,768.3,468.7,21057
Daviess,14274.0,0.502172,6079.0,3660.0,21059
Edmonson,3768.1,0.498906,1659.2,863.1,21061
Elliott,2107.2,0.550887,1024.6,658.9,21063
Estill,2918.3,0.654398,1360.5,861.4,21065
Fayette,59323.0,0.674207,27177.0,20395.0,21067
Fleming,3322.4,0.424637,1636.2,870.7,21069
Floyd,14815.0,0.425991,6105.3,2885.9,21071
Franklin,10320.0,0.506907,4244.6,2553.3,21073
Fulton,1244.5,0.533366,626.9,398.7,21075
Gallatin,1512.3,0.540601,648.5,469.7,21077
Garrard,3656.7,0.68528,1638.6,1115.4,21079
Grant,3528.8,0.540601,1513.2,1096.0,21081
Graves,6222.7,0.533366,3134.6,1993.7,21083
Grayson,5416.7,0.594723,2473.7,1660.5,21085
Green,2844.1,0.588443,1536.7,937.5,21087
Greenup,6321.7,0.550887,3073.8,1976.7,21089
Hancock,1763.5,0.574048,779.1,524.8,21091
Hardin,19965.0,0.491761,8816.0,4794.0,21093
Harlan,10040.7,0.485197,4409.0,2312.0,21095
Harrison,2577.5,0.504232,1159.2,662.5,21097
Hart,4521.7,0.498906,1991.0,1035.8,21099
Henderson,8229.7,0.574048,3635.7,2448.8,21101
Henry,2765.4,0.56485,1075.3,666.0,21103
Hickman,622.3,0.533366,313.5,199.4,21105
Hopkins,9327.1,0.621997,3942.4,2598.9,21107
Jackson,4938.1,0.317014,2020.6,918.4,21109
Jefferson,126516.0,0.57588,57525.0,35637.0,21111
Jessamine,6704.0,0.68528,3004.1,2044.9,21113
Johnson,7407.5,0.425991,3052.7,1442.9,21115
Kenton,20956.0,0.581218,9121.0,5802.0,21117
Knott,4315.9,0.326239,1775.7,679.4,21119
Knox,10040.7,0.485197,4409.0,2312.0,21121
Larue,3009.3,0.594723,1374.3,922.5,21123
Laurel,15801.9,0.317014,6465.9,2938.8,21125
Lawrence,4214.5,0.550887,2049.2,1317.8,21127
Lee,2589.6,0.326239,1065.4,407.7,21129
Leslie,3452.7,0.326239,1420.6,543.5,21131
Letcher,8631.9,0.326239,3551.4,1358.8,21133
Lewis,3322.4,0.424637,1636.2,870.7,21135
Lincoln,4266.2,0.68528,1911.7,1301.3,21137
Livingston,2152.4,0.621997,909.8,599.7,21139
Logan,4521.7,0.498906,1991.0,1035.8,21141
Lyon,2302.7,0.493341,894.0,519.0,21143
McCracken,11823.2,0.533366,5955.7,3788.1,21145
McCreary,4860.8,0.411075,1950.8,988.7,21147
McLean,1763.5,0.574048,779.1,524.8,21149
Madison,15078.1,0.654398,7029.4,4450.4,21151
Magoffin,5291.1,0.425991,2180.5,1030.7,21153
Marion,3611.2,0.594723,1649.2,1107.0,21155
Marshall,6222.7,0.533366,3134.6,1993.7,21157
Martin,4232.8,0.425991,1744.4,824.5,21159
Mason,4153.0,0.424637,2045.2,1088.4,21161
Meade,5416.7,0.594723,2473.7,1660.5,21163
Menifee,1661.2,0.424637,818.1,435.4,21165
Mercer,2580.0,0.506907,1061.2,638.3,21167
Metcalfe,2260.8,0.498906,995.5,517.9,21169
Monroe,3014.4,0.498906,1327.3,690.5,21171
Montgomery,5814.3,0.424637,2863.3,1523.8,21173
Morgan,4153.0,0.424637,2045.2,1088.4,21175
Muhlenberg,7174.7,0.621997,3032.6,1999.1,21177
Nelson,6620.5,0.594723,3023.5,2029.5,21179
Nicholas,1031.0,0.504232,463.7,265.0,21181
Ohio,4702.7,0.574048,2077.6,1399.3,21183
Oldham,8296.3,0.56485,3225.9,1998.1,21185
Owen,2016.4,0.540601,864.7,626.3,21187
Owsley,1726.4,0.326239,710.3,271.8,21189
Pendleton,2016.4,0.540601,864.7,626.3,21191
Perry,8631.9,0.326239,3551.4,1358.8,21193
Pike,23280.7,0.425991,9594.1,4535.0,21195
Powell,1945.6,0.654398,907.0,574.2,21197
Pulaski,17012.9,0.411075,6827.9,3460.3,21199
Robertson,830.6,0.424637,409.0,217.7,21201
Rockcastle,4938.1,0.317014,2020.6,918.4,21203
Rowan,4983.7,0.424637,2454.3,1306.1,21205
Russell,3555.1,0.588443,1920.9,1171.9,21207
Scott,9794.5,0.504232,4405.0,2517.5,21209
Shelby,6637.1,0.56485,2580.7,1598.5,21211
Simpson,3768.1,0.498906,1659.2,863.1,21213
Spencer,1561.2,0.748226,809.8,629.8,21215
Taylor,4977.2,0.588443,2689.2,1640.6,21217
Todd,2302.7,0.493341,894.0,519.0,21219
Trigg,4029.7,0.493341,1564.5,908.2,21221
Trimble,1106.2,0.56485,430.1,266.4,21223
Union,2351.3,0.574048,1038.8,699.7,21225
Warren,23251.0,0.57533,11930.0,8616.0,21227
Washington,2407.4,0.594723,1099.4,738.0,21229
Wayne,7291.2,0.411075,2926.2,1483.0,21231
Webster,2351.3,0.574048,1038.8,699.7,21233
Whitley,10953.5,0.485197,4809.8,2522.2,21235
Wolfe,1726.4,0.326239,710.3,271.8,21237
Woodford,4128.0,0.506907,1697.8,1021.3,21239
