PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00100,18494,36714,6731,11763,19582,200,0.6360441224180815,29908,21782,0.728300120369132
00200,10311,24394,3514,6797,15173,109,0.6591989137813985,18132,12875,0.7100705934259872
00300,8046,20724,3375,4671,10224,79,0.5805369127516778,15159,11284,0.7443762781186094
00400,17919,40695,8597,9322,20303,203,0.5202299235448407,30935,20685,0.6686600937449491
00500,11930,23251,3314,8616,13377,71,0.7222129086336966,20308,16099,0.7927417766397479
00600,13446,24886,5243,8203,14644,152,0.6100699092666965,18550,12749,0.687277628032345
00700,11705,29165,5773,5932,11989,127,0.5067919692439129,18168,11741,0.6462461470717745
00800,13740,33579,7495,6245,10645,131,0.4545123726346434,19924,10772,0.540654487050793
00900,17235,39250,8197,9038,19044,159,0.5243980272700899,23723,13588,0.5727774733381107
01000,15271,37117,9428,5843,12109,153,0.38262065352629165,21824,11117,0.5093933284457478
01100,22677,55027,11958,10719,23441,187,0.47268157163645985,33592,19071,0.5677244582043344
01200,13743,30093,4518,9225,17897,139,0.6712508185985593,24440,17704,0.7243862520458265
01300,8816,19965,4022,4794,9818,68,0.5437840290381125,15417,10229,0.6634883570084971
01400,9349,21162,3052,6297,12148,134,0.6735479730452455,16498,12164,0.7373014910898291
01500,6079,14274,2419,3660,7168,56,0.6020727093271919,12060,8764,0.7266998341625207
01600,5264,10148,1170,4094,7593,45,0.7777355623100304,8437,7073,0.8383311603650587
01701,22928,46588,12244,10684,18896,162,0.4659804605722261,32526,18541,0.5700362786693722
01702,5197,7505,580,4617,6352,62,0.8883971522031942,7690,6934,0.9016905071521456
01703,4345,10156,644,3701,8388,54,0.8517836593785961,8750,7988,0.9129142857142857
01704,5735,12032,1113,4622,9366,61,0.8059285091543156,10616,9503,0.8951582516955539
01705,9440,23691,2635,6805,16713,65,0.7208686440677966,17461,13733,0.7864956188076284
01706,9880,26544,4672,5208,13143,74,0.5271255060728745,19155,11982,0.625528582615505
01800,7312,18805,2783,4529,10622,88,0.6193927789934355,11956,8672,0.7253261960521914
01901,14691,29257,2608,12083,23060,92,0.822476346062215,20576,17218,0.8368001555209953
01902,6979,16484,2268,4711,10323,44,0.675025075225677,9351,6456,0.6904074430542188
01903,5507,13582,1906,3601,6613,33,0.6538950426729617,10590,8148,0.7694050991501417
02000,8277,20124,3298,4979,10201,71,0.6015464540292377,13426,9431,0.702443021004022
02100,8466,18893,2703,5763,12947,96,0.6807228915662651,15203,11168,0.7345918568703546
02200,9297,19942,3411,5886,13050,99,0.633107454017425,15380,10374,0.6745123537061118
02300,10201,22682,4371,5830,11437,118,0.5715125968042348,15153,9749,0.6433709496469346
02400,9121,20956,3319,5802,12180,86,0.6361144611336477,13864,9928,0.7160992498557415
02500,5468,10539,2647,2821,6364,44,0.5159107534747622,9035,5787,0.6405091311566131
02600,9944,23189,2742,7202,12536,127,0.7242558326629123,17502,14302,0.8171637527139756
02700,16771,34055,7846,8925,14461,175,0.532168624411186,24517,15130,0.617122812742179
02800,14003,28799,4998,9005,15865,147,0.6430764836106548,22293,16323,0.7322029336563046
