County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Acadia Parish,16070.0,0.556381,7589.8,4932.8,22001
Allen Parish,4444.3,0.421308,1869.4,931.7,22003
Ascension Parish,15056.0,0.650837,7470.0,4989.0,22005
Assumption Parish,5371.5,0.40414,2076.3,1010.1,22007
Avoyelles Parish,10276.3,0.306951,4589.0,1888.7,22009
Beauregard Parish,5714.1,0.421308,2403.5,1197.9,22011
Bienville Parish,4140.2,0.496712,2144.8,1111.9,22013
Bossier Parish,19511.6,0.397382,8473.1,4200.3,22015
Caddo Parish,57248.0,0.387647,26099.0,12284.0,22017
Calcasieu Parish,39007.6,0.476509,16408.8,9042.3,22019
Caldwell Parish,2443.8,0.45674,1079.9,579.9,22021
Cameron Parish,3697.7,0.509539,1555.5,906.2,22023
Catahoula Parish,2569.1,0.306951,1147.2,472.2,22025
Claiborne Parish,4968.2,0.496712,2573.8,1334.3,22027
Concordia Parish,5138.2,0.306951,2294.5,944.3,22029
De Soto Parish,7452.3,0.496712,3860.7,2001.5,22031
East Baton Rouge Parish,87550.0,0.590154,40939.0,24724.0,22033
East Carroll Parish,2443.8,0.45674,1079.9,579.9,22035
East Feliciana Parish,1597.8,0.567971,868.7,598.5,22037
Evangeline Parish,6921.5,0.581418,3893.4,2728.8,22039
Franklin Parish,4887.6,0.45674,2159.9,1159.9,22041
Grant Parish,5994.5,0.306951,2676.9,1101.7,22043
Iberia Parish,18645.5,0.40639,7549.2,3790.4,22045
Iberville Parish,2876.0,0.567971,1563.6,1077.4,22047
Jackson Parish,4073.0,0.45674,1799.9,966.6,22049
Jefferson Parish,75378.7,0.56596,33660.7,22607.0,22051
Jefferson Davis Parish,5916.3,0.509539,2488.9,1449.9,22053
Lafayette Parish,40769.0,0.533984,19026.0,11902.0,22055
Lafourche Parish,20718.5,0.40414,8008.7,3895.9,22057
LaSalle Parish,2569.1,0.306951,1147.2,472.2,22059
Lincoln Parish,9936.4,0.496712,5147.6,2668.7,22061
Livingston Parish,22406.9,0.491224,9350.9,5508.0,22063
Madison Parish,4073.0,0.45674,1799.9,966.6,22065
Morehouse Parish,6516.8,0.45674,2879.8,1546.5,22067
Natchitoches Parish,9108.4,0.496712,4718.6,2446.3,22069
Orleans Parish,78651.0,0.510928,41187.0,21715.0,22071
Ouachita Parish,30614.0,0.340465,15335.0,6102.0,22073
Plaquemines Parish,4819.8,0.401373,1900.5,1018.6,22075
Pointe Coupee Parish,2236.9,0.567971,1216.1,837.9,22077
Rapides Parish,25247.2,0.53675,11531.9,6794.5,22079
Red River Parish,1656.1,0.496712,857.9,444.8,22081
Richland Parish,4887.6,0.45674,2159.9,1159.9,22083
Sabine Parish,7452.3,0.496712,3860.7,2001.5,22085
St. Bernard Parish,8675.6,0.401373,3420.9,1833.4,22087
St. Charles Parish,6700.5,0.617036,3317.5,2410.9,22089
St. Helena Parish,1977.1,0.491224,825.1,486.0,22091
St. James Parish,3607.9,0.617036,1786.4,1298.2,22093
St. John the Baptist Parish,5669.6,0.617036,2807.1,2040.0,22095
St. Landry Parish,17618.5,0.581418,9910.6,6946.2,22097
St. Martin Parish,13781.5,0.40639,5579.8,2801.6,22099
St. Mary Parish,8764.8,0.411339,3989.8,2135.1,22101
St. Tammany Parish,41366.0,0.689189,17483.0,12316.0,22103
Tangipahoa Parish,28428.4,0.380372,13581.5,6727.7,22105
Tensas Parish,2443.8,0.45674,1079.9,579.9,22107
Terrebonne Parish,18045.2,0.411339,8214.2,4395.9,22109
Union Parish,4887.6,0.45674,2159.9,1159.9,22111
Vermilion Parish,13009.0,0.556381,6144.2,3993.2,22113
Vernon Parish,10357.8,0.53675,4731.1,2787.5,22115
Washington Parish,11921.6,0.380372,5695.5,2821.3,22117
Webster Parish,7686.4,0.397382,3337.9,1654.7,22119
West Baton Rouge Parish,1917.4,0.567971,1042.4,718.2,22121
West Carroll Parish,2443.8,0.45674,1079.9,579.9,22123
West Feliciana Parish,2236.9,0.567971,1216.1,837.9,22125
Winn Parish,4281.8,0.306951,1912.1,786.9,22127
