PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00101,15278,31968,7756,7522,12173,125,0.4923419295719335,21129,11561,0.5471626674239197
00102,10821,25280,6059,4762,10019,78,0.4400702338046391,16173,9049,0.5595127681939034
00200,11811,27198,5956,5855,10808,135,0.4957243247819829,20562,13156,0.639821029082774
00300,23164,44714,11155,12009,22210,332,0.5184337765498187,33859,20772,0.6134853362473789
00400,15335,30614,9233,6102,10423,152,0.39791327029670687,25353,13336,0.5260127006665878
00500,17279,39101,8000,9279,17859,202,0.5370102436483593,26326,16171,0.6142596672491073
00600,13767,30829,8101,5666,9463,180,0.41156388465170335,20526,10987,0.5352723375231414
00700,16263,35605,6681,9582,19111,214,0.5891901863124884,26007,17254,0.6634367670242627
00801,10415,24761,5224,5191,10432,128,0.4984157465194431,17984,10960,0.6094306049822064
00901,14311,34019,5974,8337,17334,106,0.5825588707986863,23045,15842,0.6874376220438273
01000,13804,24540,4129,9675,14268,140,0.7008838017965807,21805,15446,0.7083696399908278
01100,13734,29079,4808,8926,16179,141,0.6499199068006407,20361,13890,0.6821865330779431
01201,9221,19295,4974,4247,6086,90,0.46057911289448,16539,10848,0.655904226374025
01202,9805,21474,2150,7655,15684,70,0.7807241203467619,17428,13789,0.7911980720679367
01300,13129,32427,6537,6592,13178,126,0.5020945997410313,20154,11896,0.5902550362210975
01400,5907,10865,1837,4070,6171,83,0.6890130353817505,10556,7858,0.7444107616521409
01501,5954,10525,2704,3250,5010,33,0.5458515283842795,9564,6229,0.6512965286491008
01502,16132,37411,7470,8662,21589,108,0.5369452020828167,24248,13884,0.5725833058396569
01503,12260,23781,2996,9264,15661,86,0.7556280587275693,19548,15718,0.8040720278289339
01504,6593,15833,3045,3548,9408,36,0.5381465190353405,9078,5590,0.6157743996474995
01600,7470,15056,2481,4989,9799,52,0.6678714859437751,11516,8003,0.6949461618617575
01700,10176,24384,4182,5994,11978,88,0.5890330188679245,18325,12603,0.6877489768076398
01800,19277,40350,9728,9549,15348,157,0.4953571613840328,27937,15193,0.5438307620718044
01900,7911,15978,2162,5749,9859,60,0.726709644798382,11273,8912,0.7905615186729353
02000,10085,26090,5179,4906,10544,111,0.48646504709965294,17419,10730,0.6159940295080085
02100,12204,26810,5673,6531,11028,170,0.5351524090462143,21010,13421,0.6387910518800571
02201,8068,17311,1496,6572,13707,65,0.8145761031234506,13858,12221,0.8818732861884832
02202,9415,24055,3671,5744,14802,59,0.6100902814657462,14849,10912,0.7348643006263048
02301,8002,17993,1625,6377,12148,67,0.7969257685578606,12662,9988,0.7888169325540989
02302,8048,15156,1892,6156,10490,65,0.7649105367793241,17119,14921,0.871604649804311
02303,14950,35482,6302,8648,17315,93,0.5784615384615385,23502,16056,0.6831758999234108
02401,13393,27245,5307,8086,16164,107,0.603748226685582,19473,12419,0.6377548400349201
02402,15294,26075,8821,6473,11532,144,0.4232378710605466,21055,10995,0.5222037520778913
02403,12500,25331,5344,7156,12489,128,0.57248,15571,9981,0.6409992935585384
02501,7982,20243,3704,4278,8125,73,0.5359559007767477,14819,9069,0.6119846143464471
