County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Barnstable,20869.2,0.605551,11844.7,7662.1,25001
Berkshire,13282.0,0.446921,9837.0,5012.0,25003
Bristol,80713.0,0.323901,39097.0,14229.0,25005
Dukes,1341.6,0.663594,930.5,638.3,25007
Essex,88432.0,0.429019,45079.0,19398.0,25009
Franklin,7875.5,0.406112,4429.5,2152.1,25011
Hampden,83436.0,0.228522,38421.0,11601.0,25013
Hampshire,15608.5,0.546348,9788.5,6384.9,25015
Middlesex,114676.0,0.563518,60850.0,37517.0,25017
Nantucket,1878.2,0.663594,1302.7,893.6,25019
Norfolk,56227.0,0.503726,30176.0,16078.0,25021
Plymouth,37780.0,0.521678,21635.0,12000.0,25023
Suffolk,104623.0,0.368733,57123.0,23660.0,25025
Worcester,96153.0,0.37484,43939.0,17132.0,25027
