puma_code,puma_5,state_fips,primary_county_fips,county_label,project_bread_catchment,n_sample_hh,weighted_hh,eligible_130_weighted,eligible_130_with_snap_weighted,eligible_130_without_snap_weighted,non_enrollment_rate_130,eligible_200_weighted,eligible_200_with_snap_weighted,eligible_200_without_snap_weighted,non_enrollment_rate_200
2500100,00100,25,25003,other MA,False,963.0,70074,9837,4825,5012,0.5095,13851,6266,7585,0.5476
2500201,00201,25,25011,other MA,False,1137.0,55392,6994,3596,3398,0.4858,11684,5051,6633,0.5677
2500301,00301,25,25015,other MA,False,434.0,46298,7224,2085,5139,0.7114,10231,2685,7546,0.7376
2500401,00401,25,25013,Hampden,True,706.0,69524,10949,7252,3697,0.3377,17568,9706,7862,0.4475
2500402,00402,25,25013,Hampden,True,520.0,61647,18990,16489,2501,0.1317,26616,20553,6063,0.2278
2500403,00403,25,25013,Hampden,True,661.0,66473,8482,3079,5403,0.637,14312,5910,8402,0.5871
2500501,00501,25,25027,Worcester,True,582.0,47868,5120,2517,2603,0.5084,9610,3782,5828,0.6065
2500502,00502,25,25027,Worcester,True,480.0,46839,6427,4676,1751,0.2724,8941,5454,3487,0.39
2500503,00503,25,25027,Worcester,True,656.0,60936,3239,1419,1820,0.5619,6452,2159,4293,0.6654
2500504,00504,25,25027,Worcester,True,333.0,46744,7825,4410,3415,0.4364,11630,6982,4648,0.3997
2500505,00505,25,25027,Worcester,True,368.0,43416,10310,5955,4355,0.4224,13968,7095,6873,0.4921
2500506,00506,25,25027,Worcester,True,587.0,48240,3539,2279,1260,0.356,5741,3136,2605,0.4538
2500507,00507,25,25027,Worcester,True,647.0,63191,7479,5551,1928,0.2578,11953,7254,4699,0.3931
2500601,00601,25,25017,Middlesex,True,591.0,48202,3236,1673,1563,0.483,5495,2811,2684,0.4884
2500602,00602,25,25017,Middlesex,True,388.0,45389,7891,4224,3667,0.4647,12455,6433,6022,0.4835
2500603,00603,25,25017,Middlesex,True,387.0,39853,3231,843,2388,0.7391,5694,1383,4311,0.7571
2500604,00604,25,25017,Middlesex,True,505.0,46214,3631,1125,2506,0.6902,5235,1677,3558,0.6797
2500605,00605,25,25017,Middlesex,True,411.0,44136,4547,1986,2561,0.5632,7423,2910,4513,0.608
2500606,00606,25,25017,Middlesex,True,482.0,42076,2712,997,1715,0.6324,4079,1254,2825,0.6926
2500607,00607,25,25017,Middlesex,True,571.0,50395,2347,794,1553,0.6617,3424,794,2630,0.7681
2500608,00608,25,25017,Middlesex,True,663.0,71644,6805,1835,4970,0.7303,9058,2202,6856,0.7569
2500609,00609,25,25017,Middlesex,True,466.0,54661,6043,2119,3924,0.6493,10314,4467,5847,0.5669
2500610,00610,25,25017,Middlesex,True,578.0,60631,7241,3516,3725,0.5144,12170,5120,7050,0.5793
2500611,00611,25,25017,Middlesex,True,644.0,55678,4628,1739,2889,0.6242,7274,2130,5144,0.7072
2500612,00612,25,25017,Middlesex,True,579.0,46244,2749,388,2361,0.8589,4098,613,3485,0.8504
2500613,00613,25,25017,Middlesex,True,641.0,61580,5789,2094,3695,0.6383,7078,2489,4589,0.6483
2500701,00701,25,25009,Essex,True,460.0,46500,5880,4149,1731,0.2944,8849,5491,3358,0.3795
2500702,00702,25,25009,Essex,True,365.0,45694,9719,7969,1750,0.1801,15140,10535,4605,0.3042
2500703,00703,25,25009,Essex,True,501.0,52339,4292,1637,2655,0.6186,8058,2770,5288,0.6562
2500704,00704,25,25009,Essex,True,735.0,68183,7824,2636,5188,0.6631,11921,3848,8073,0.6772
2500705,00705,25,25009,Essex,True,343.0,40531,7981,5104,2877,0.3605,11224,6364,4860,0.433
2500706,00706,25,25009,Essex,True,809.0,77585,9383,4186,5197,0.5539,15776,6041,9735,0.6171
2500801,00801,25,25025,Suffolk,True,480.0,49300,9739,4317,5422,0.5567,12725,5596,7129,0.5602
2500802,00802,25,25025,Suffolk,True,901.0,88967,10559,5377,5182,0.4908,14896,6745,8151,0.5472
2500803,00803,25,25025,Suffolk,True,516.0,61464,8446,5173,3273,0.3875,12933,7680,5253,0.4062
2500804,00804,25,25025,Suffolk,True,443.0,56324,15900,11685,4215,0.2651,23171,15948,7223,0.3117
2500805,00805,25,25025,Suffolk,True,544.0,57697,5864,2290,3574,0.6095,10884,3748,7136,0.6556
2500806,00806,25,25025,Suffolk,True,410.0,47383,6615,4621,1994,0.3014,13086,6567,6519,0.4982
2500901,00901,25,25021,Norfolk,True,511.0,42552,2647,1029,1618,0.6113,3723,1091,2632,0.707
2500902,00902,25,25021,Norfolk,True,508.0,47546,4022,1339,2683,0.6671,7148,1710,5438,0.7608
2500903,00903,25,25021,Norfolk,True,376.0,49551,6856,3622,3234,0.4717,10113,5545,4568,0.4517
2500904,00904,25,25021,Norfolk,True,544.0,58767,6628,3776,2852,0.4303,10401,5179,5222,0.5021
2500905,00905,25,25021,Norfolk,True,497.0,47404,6468,3037,3431,0.5305,9132,3965,5167,0.5658
2500906,00906,25,25021,Norfolk,True,560.0,51493,3555,1295,2260,0.6357,6798,2269,4529,0.6662
2501001,01001,25,25005,other MA,False,430.0,52245,4638,2057,2581,0.5565,9264,3038,6226,0.6721
2501002,01002,25,25005,other MA,False,574.0,61660,6636,3735,2901,0.4372,10868,5555,5313,0.4889
2501003,01003,25,25005,other MA,False,574.0,60089,12668,10033,2635,0.208,19569,12908,6661,0.3404
2501004,01004,25,25005,other MA,False,751.0,71733,15155,9043,6112,0.4033,23304,12276,11028,0.4732
2501101,01101,25,25023,other MA,False,311.0,37924,6747,3910,2837,0.4205,10990,5702,5288,0.4812
2501102,01102,25,25023,other MA,False,495.0,50431,3676,1623,2053,0.5585,8409,3587,4822,0.5734
2501103,01103,25,25023,other MA,False,616.0,59915,5261,1539,3722,0.7075,7877,2635,5242,0.6655
2501104,01104,25,25023,other MA,False,635.0,71462,5951,2563,3388,0.5693,10362,4517,5845,0.5641
