PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00100,9837,13282,4825,5012,5936,113,0.5095049303649487,13851,7585,0.5476138906938127
00201,6994,12435,3596,3398,5050,122,0.48584501000857877,11684,6633,0.5676994180075317
00301,7224,11049,2085,5139,6676,51,0.7113787375415282,10231,7546,0.7375623106245723
00401,10949,21185,7252,3697,5128,98,0.3376564069778062,17568,7862,0.4475182149362477
00402,18990,47516,16489,2501,5024,139,0.1317008952080042,26616,6063,0.22779531109107304
00403,8482,14735,3079,5403,8915,74,0.6369959915114359,14312,8402,0.5870598099496925
00501,5120,9985,2517,2603,4093,60,0.5083984375,9610,5828,0.6064516129032258
00502,6427,14449,4676,1751,4860,59,0.272444375291738,8941,3487,0.3900011184431272
00503,3239,5443,1419,1820,2417,36,0.561901821549861,6452,4293,0.6653750774953503
00504,7825,16352,4410,3415,6387,53,0.4364217252396166,11630,4648,0.3996560619088564
00505,10310,25510,5955,4355,11978,68,0.4224054316197866,13968,6873,0.49205326460481097
00506,3539,7833,2279,1260,2053,43,0.3560327776207968,5741,2605,0.4537537014457412
00507,7479,16581,5551,1928,4254,61,0.2577884743949726,11953,4699,0.3931230653392454
00601,3236,5219,1673,1563,2364,38,0.4830037082818294,5495,2684,0.48844404003639674
00602,7891,14971,4224,3667,6172,66,0.46470662780382715,12455,6022,0.4835006021678041
00603,3231,7566,843,2388,3765,31,0.7390900649953575,5694,4311,0.7571127502634352
00604,3631,5528,1125,2506,3614,34,0.6901679977967502,5235,3558,0.6796561604584527
00605,4547,8322,1986,2561,4886,41,0.5632285023092148,7423,4513,0.6079752121783646
00606,2712,6528,997,1715,3827,23,0.6323746312684366,4079,2825,0.6925717087521451
00607,2347,4297,794,1553,2511,25,0.6616957818491691,3424,2630,0.768107476635514
00608,6805,10849,1835,4970,7228,52,0.7303453343130052,9058,6856,0.7568999779200707
00609,6043,14725,2119,3924,8664,48,0.649346351150091,10314,5847,0.5668993600930774
00610,7241,13804,3516,3725,7008,55,0.5144317083275791,12170,7050,0.5792933442892358
00611,4628,8307,1739,2889,4020,55,0.6242437337942955,7274,5144,0.7071762441572724
00612,2749,4788,388,2361,4248,34,0.8588577664605311,4098,3485,0.8504148365056124
00613,5789,9772,2094,3695,6315,55,0.6382794955950941,7078,4589,0.648346990675332
00701,5880,10993,4149,1731,3047,51,0.2943877551020408,8849,3358,0.3794779071081478
00702,9719,19249,7969,1750,2489,66,0.180059676921494,15140,4605,0.30416116248348746
00703,4292,10902,1637,2655,7097,36,0.6185927306616962,8058,5288,0.6562422437329362
00704,7824,16597,2636,5188,9839,67,0.6630879345603272,11921,8073,0.6772082878953108
00705,7981,15349,5104,2877,7927,55,0.3604811427139456,11224,4860,0.43300071275837493
00706,9383,15342,4186,5197,7540,80,0.5538740274965362,15776,9735,0.6170765720081136
00801,9739,14943,4317,5422,7182,90,0.5567306705000513,12725,7129,0.5602357563850687
00802,10559,17337,5377,5182,8208,101,0.4907661710389241,14896,8151,0.5471938775510204
00803,8446,14293,5173,3273,5516,63,0.38752071986739284,12933,5253,0.4061702621201577
00804,15900,35670,11685,4215,8558,114,0.2650943396226415,23171,7223,0.3117258642268353
00805,5864,9742,2290,3574,5411,48,0.609481582537517,10884,7136,0.6556413083425211
00806,6615,12638,4621,1994,3703,56,0.3014361300075586,13086,6519,0.49816597890875747
00901,2647,3789,1029,1618,2226,25,0.6112580279561768,3723,2632,0.7069567553048617
00902,4022,7760,1339,2683,5332,33,0.6670810542018896,7148,5438,0.7607722439843313
00903,6856,11838,3622,3234,5913,50,0.4717036172695449,10113,4568,0.45169583704143185
00904,6628,11708,3776,2852,4358,58,0.4302957151478576,10401,5222,0.5020671089318335
00905,6468,14846,3037,3431,7247,50,0.5304576376004947,9132,5167,0.5658125273762593
00906,3555,6286,1295,2260,3247,37,0.6357243319268636,6798,4529,0.6662253604001177
01001,4638,7244,2057,2581,3260,35,0.5564898663216904,9264,6226,0.6720639032815199
01002,6636,16708,3735,2901,5427,57,0.4371609403254973,10868,5313,0.4888663967611336
01003,12668,25350,10033,2635,5393,110,0.2080044205873066,19569,6661,0.3403853032858092
01004,15155,31411,9043,6112,12063,149,0.40329924117452987,23304,11028,0.47322348094747685
01101,6747,16251,3910,2837,7243,52,0.4204831777086112,10990,5288,0.48116469517743404
01102,3676,5616,1623,2053,3327,41,0.558487486398259,8409,4822,0.5734332263051493
01103,5261,7495,1539,3722,5193,55,0.7074700627257176,7877,5242,0.6654817824044688
01104,5951,8418,2563,3388,3946,52,0.5693160813308688,10362,5845,0.5640802933796565
01201,7006,13893,2663,4343,8008,63,0.6198972309449043,11806,8469,0.7173471116381501
01301,7072,10196,2221,4851,6766,65,0.6859445701357466,12137,8862,0.7301639614402241
